postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
AB101AU,AB10 1AU,AB,17.2,15.9,33.38,6,17.7,33,33,,1.1,1.5,10,0.8,1.1,10,10,,1,0,3,12,1,0,1,246,198,145,238,2,2,
AB101BA,AB10 1BA,AB,18.7,16.2,22.57,3.3,18.9,,,,1,1,1.28,0.7,1.1,,,,0,3,0,15,0,0,0,164,40,8,140,,,
AB101FG,AB10 1FG,AB,16.7,16.3,18.38,,16.3,,,,1.1,1.1,1.24,,1.1,,,,0,0,0,19,0,0,0,253,210,,226,,,
AB101FL,AB10 1FL,AB,19.3,23.9,79.13,,18.6,77,77,,1.1,2.8,20,,1.1,20,20,,0,0,0,20,2,0,2,302,211,,219,524,524,
AB101HF,AB10 1HF,AB,16.6,20,62.69,,15.8,63,63,,1.1,2.5,15.76,,1.1,16,16,,0,0,0,10,1,0,1,239,107,,167,718,718,
AB101HP,AB10 1HP,AB,16.4,17.7,39.87,5,16.2,40,40,,1,2.1,9.99,1,1,10,10,,0,1,0,6,1,0,1,191,145,432,101,488,488,
AB101HW,AB10 1HW,AB,14,13.7,19.55,8,16.1,,,,0.8,0.8,1.16,1,0.7,,,,0,0,3,7,0,0,0,58,55,5,39,,,
AB101JE,AB10 1JE,AB,16.4,15.1,18.08,,15.1,,,,1,1.1,1.25,,1,,,,0,0,0,7,0,0,0,195,85,,167,,,
AB101JS,AB10 1JS,AB,15.2,17.5,41.77,,14.8,42,42,,1.1,2.2,12.1,,1.1,12,12,,0,0,0,9,1,0,1,225,78,,76,892,892,
AB101JT,AB10 1JT,AB,15.8,17.2,20.82,,17.1,,,,1.1,1.2,1.25,,1.1,,,,0,0,0,7,0,0,0,149,65,,149,,,
AB101JX,AB10 1JX,AB,16.8,16.5,20.11,,16.5,,,,1.1,1.1,1.24,,1,,,,0,0,0,6,0,0,0,74,12,,62,,,
AB101NN,AB10 1NN,AB,66.9,64.7,156.04,8,17,79.6,79.6,,19.5,15.4,29.35,1,1,19.6,19.6,,0,0,1,1,7,0,7,368,329,154,63,442,442,
AB101NP,AB10 1NP,AB,71.6,118.6,328.7,,,66,118.6,329,20,25.2,49.9,,,19,25.2,50,0,0,0,0,4,1,5,451,309,,,486,451,309
AB101PE,AB10 1PE,AB,59.4,56.2,62.6,,,56.1,56.1,,17.9,15.2,20,,,15.3,15.3,,0,0,0,0,7,0,7,199,126,,,199,199,
AB101PF,AB10 1PF,AB,52.2,52.3,59.16,,,52.3,52.3,,14.2,14.4,20,,,14.3,14.3,,0,0,0,0,6,0,6,293,165,,,293,293,
AB101PR,AB10 1PR,AB,20.5,20,21.62,,20,,,,1.2,1.1,1.25,,1,,,,0,0,0,5,0,0,0,462,228,,462,,,
AB101QE,AB10 1QE,AB,39.7,39.5,74.96,4,22.5,49.6,49.6,,11.2,10.8,20,1,6.5,13.4,13.4,,0,1,0,2,7,0,7,255,147,132,291,226,226,
AB101QH,AB10 1QH,AB,66.1,57.5,80,,13.8,65.9,65.9,,19.5,14.6,20,,1,17.2,17.2,,0,0,0,4,21,0,21,496,325,,328,504,504,
AB101QJ,AB10 1QJ,AB,73.6,73.6,80,,,73.6,73.6,,19.5,19.4,20,,,19.4,19.4,,0,0,0,0,7,0,7,453,364,,,453,453,
AB101QL,AB10 1QL,AB,54.8,46.3,79.76,,15,58,58,,10,10.2,20,,1,13.6,13.6,,0,0,0,3,8,0,8,216,95,,27,287,287,
AB101QN,AB10 1QN,AB,51.4,53.3,100,,16,58.6,58.6,,10,11.6,19.98,,1,12.3,12.3,,0,0,0,2,14,0,14,343,174,,101,378,378,
AB101RB,AB10 1RB,AB,16.6,19,39.89,5,17.4,40,40,,1.2,2.4,9.99,1,1.2,10,10,,0,0,1,5,1,0,1,194,26,8,173,483,483,
AB101RJ,AB10 1RJ,AB,46.2,75.9,327.72,5,14.7,77,139.8,328,10.6,14.2,49.93,0,1,20,27.5,50,0,1,0,3,3,1,4,218,165,50,132,316,270,131
AB101RP,AB10 1RP,AB,54,63,277.91,,14,76.4,76.4,,18.2,16.3,49.91,,1,20.5,20.5,,0,0,0,3,11,0,11,313,158,,65,352,352,
AB101RR,AB10 1RR,AB,66.6,48.7,74.43,,14,71.7,71.7,,15,11.2,19.53,,1,18,18,,0,0,0,2,3,0,3,516,152,,6,856,856,
AB101RT,AB10 1RT,AB,43.5,43.4,78.11,7,13,75.7,75.7,,10.3,10.4,20,1,1,20,20,,0,0,1,2,3,0,3,270,117,30,80,476,476,
AB101RX,AB10 1RX,AB,52,52.9,143.76,8,20,62.1,62.1,,19.3,14.7,23.42,1,1.5,18.2,18.2,,0,0,1,2,12,0,12,439,434,71,12,467,467,
AB101RY,AB10 1RY,AB,16.3,26.3,62.14,9,15.8,59.5,59.5,,1.2,5.1,19.53,1,1.1,17.3,17.3,,0,0,1,11,4,0,4,358,301,0,230,531,531,
AB101SB,AB10 1SB,AB,69.1,54.5,79.94,9,13,63.7,63.7,,19.2,13.5,20,1,1,16.1,16.1,,0,0,2,2,19,0,19,353,236,59,218,379,379,
AB101SE,AB10 1SE,AB,40,41.4,74.79,9,13.7,45.5,45.5,,10,11.2,20,3,1,12.6,12.6,,0,0,1,3,28,0,28,393,208,5,143,433,433,
AB101SL,AB10 1SL,AB,25.2,36.1,77.79,8,10.5,62.3,62.3,,5.6,7.9,20,1,1,14.7,14.7,,0,0,1,2,3,0,3,179,118,0,1,299,299,
AB101SN,AB10 1SN,AB,73.9,60.7,140.9,7.7,17,76.2,76.2,,19.5,14.4,26.25,1,1,18.5,18.5,,0,0,3,1,13,0,13,328,231,246,96,339,339,
AB101SP,AB10 1SP,AB,40,38.1,79.2,7.3,12,62.2,62.2,,10,9.7,20,1,1,16.8,16.8,,0,1,2,2,6,0,6,159,113,38,62,200,200,
AB101SQ,AB10 1SQ,AB,57,50.7,69.4,,12,60.3,60.3,,17.6,14.2,20,,1,17.5,17.5,,0,0,0,1,4,0,4,461,62,,0,461,461,
AB101SS,AB10 1SS,AB,66.8,61.7,80,,15,65.6,65.6,,19.5,15.4,20,,1,16.5,16.5,,0,0,0,2,24,0,24,471,475,,11,490,490,
AB101ST,AB10 1ST,AB,48.8,45.7,72.62,,13.3,53.4,53.4,,10,12.4,20,,1,15.1,15.1,,0,0,0,4,17,0,17,546,370,,117,582,582,
AB101SY,AB10 1SY,AB,49.7,51.1,79.74,,14,54.8,54.8,,14.1,13.3,20,,1,14.6,14.6,,0,0,0,1,10,0,10,304,257,,2,335,335,
AB101TA,AB10 1TA,AB,40,42.1,80,10,17,49.8,49.8,,10,11.1,20,1,4,13.3,13.3,,0,0,1,3,14,0,14,324,260,1221,391,245,245,
AB101TB,AB10 1TB,AB,54.8,51.6,79.91,6,14.3,58.2,58.2,,11.5,13.1,20,1,1,15.1,15.1,,0,0,1,3,24,0,24,443,344,2,77,470,470,
AB101TD,AB10 1TD,AB,59.6,56.3,78.12,,28,59.9,59.9,,18.5,15.3,19.53,,12,15.8,15.8,,0,0,0,1,8,0,8,421,306,,17,472,472,
AB101TE,AB10 1TE,AB,44.4,43.3,70.86,,14.5,52.8,52.8,,10,11,19.53,,1,14.3,14.3,,0,0,0,2,6,0,6,460,258,,462,459,459,
AB101TF,AB10 1TF,AB,78.1,65.2,80,,,65.2,65.2,,19.5,16.4,20,,,16.4,16.4,,0,0,0,0,9,0,9,659,599,,,659,659,
AB101TH,AB10 1TH,AB,75.1,60.8,79.67,4,14,72.2,72.2,,19.5,15.4,20,1,1,18.6,18.6,,0,1,0,1,9,0,9,312,85,59,287,343,343,
AB101TJ,AB10 1TJ,AB,8.6,28.1,79.66,7.4,,79.5,79.5,,1,6.4,20,1,,20,20,,0,1,4,0,2,0,2,45,18,53,,24,24,
AB101TL,AB10 1TL,AB,23.1,32.6,68.84,7.7,,57.7,57.7,,5.7,7.8,19.53,1,,14.3,14.3,,0,0,3,0,3,0,3,386,374,13,,373,373,
AB101TP,AB10 1TP,AB,10,8.8,13.82,6.5,11.7,,,,0.8,0.8,1.08,0.8,1,,,,0,1,3,3,0,0,0,98,83,90,108,,,
AB101TS,AB10 1TS,AB,67.8,63,151.13,5,15,78.4,78.4,,20,15.2,30,1,1,19.4,19.4,,0,1,0,2,10,0,10,197,123,23,2,194,194,
AB101TT,AB10 1TT,AB,61.3,52.9,71.98,,15,60.6,60.6,,15.9,13.8,20,,1,16.4,16.4,,0,0,0,1,5,0,5,173,143,,36,200,200,
AB101TX,AB10 1TX,AB,69.1,66,79.75,,10,70.7,70.7,,20,17.4,20,,1,18.8,18.8,,0,0,0,1,12,0,12,238,137,,218,240,240,
AB101TY,AB10 1TY,AB,77.6,153.9,500,,,67.3,153.8,500,19,16.9,19.53,,,17,13.6,0,0,0,0,0,4,1,5,595,602,,,594,595,602
AB101TZ,AB10 1TZ,AB,60.6,52.1,76.65,7,13.5,65.7,65.7,,18.7,13.6,20,1,1,17.8,17.8,,0,0,1,2,9,0,9,290,228,0,258,330,330,
