postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
AL100AB,AL10 0AB,AL,107,124,460,,29,106.1,127.6,395.5,17.5,16,36,,7,14.8,16.3,36,0,0,0,1,25,2,27,599,475,,1301,573,551,272
AL100AE,AL10 0AE,AL,107,157.1,331,,,113.8,157.2,331,20,21.3,36,,,17.8,21.4,36,0,0,0,0,4,1,5,554,290,,,676,554,69
AL100AH,AL10 0AH,AL,83.7,117.2,593,,,96.5,117.2,593,18.6,16.6,39,,,15.7,16.6,39,0,0,0,0,23,1,24,799,647,,,730,699,0
AL100AJ,AL10 0AJ,AL,43,116.9,331,,,86.4,117,331,16.1,18.1,36,,,15.6,18.1,36,0,0,0,0,7,1,8,919,773,,,1050,919,0
AL100AL,AL10 0AL,AL,107,128.8,593,7,16,101.3,137.9,418.3,10,13.7,39,1,2,11.8,14.7,37,0,0,1,1,23,3,26,714,505,0,1024,723,675,307
AL100AN,AL10 0AN,AL,107,142.3,593,,26.2,125.4,162.2,383.4,10,15.6,39,,6,14,17.2,36.6,0,0,0,6,30,5,35,556,484,,633,519,463,125
AL100AQ,AL10 0AQ,AL,56,85.7,460,,14,71.3,89,460,10,12.4,36,,1,11.8,12.9,36,0,0,0,1,21,1,22,408,281,,763,407,392,66
AL100AT,AL10 0AT,AL,68.9,113.3,593,,19.5,77.9,119.3,505.7,16.8,16.4,39,,1,15.1,17.4,38,0,0,0,2,28,3,31,544,385,,243,523,528,575
AL100AU,AL10 0AU,AL,80,123,331,,20.7,109.3,134.8,330.3,20,17.9,49.98,,1.3,17.1,19.8,40.7,0,0,0,3,23,3,26,689,599,,469,669,714,1056
AL100AW,AL10 0AW,AL,55.3,86.2,331,,20.3,87.7,105.1,331,10,11.6,36,,1.3,12.9,14.6,36,0,0,0,4,13,1,14,449,397,,279,536,498,3
AL100AY,AL10 0AY,AL,107,169.9,593,6,19,146.2,236.4,462,10,14.9,39,1,1,14.4,21,37.5,0,0,1,2,5,2,7,361,268,272,158,433,329,69
AL100AZ,AL10 0AZ,AL,60.5,74.4,205,0,20.2,88.6,88.6,,10,10,21,0,1.8,12,12,,1,0,0,6,28,0,28,314,140,0,151,315,315,
AL100BA,AL10 0BA,AL,107,112.3,331,,21.9,103,133.4,331,10,12.8,36,,1.1,12.3,15.5,36,0,0,0,7,26,4,30,428,239,,149,441,464,617
AL100BB,AL10 0BB,AL,107,148.9,593,,,124.2,148.8,593,19.5,17,39,,,15.7,16.9,39,0,0,0,0,18,1,19,941,830,,,941,892,0
AL100BD,AL10 0BD,AL,107,146.7,593,,27,97.1,151.1,462,14.4,17.1,39,,4,14.1,17.6,37.5,0,0,0,1,23,4,27,604,383,,2014,552,484,96
