postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BA100AA,BA10 0AA,BA,61.6,52.9,80,,19.5,66.2,66.2,,12.9,11,20,,1,15,15,,0,0,0,4,10,0,10,160,81,,97,169,169,
BA100AB,BA10 0AB,BA,66.5,59.7,79.67,,18,70.1,70.1,,15,13.2,20,,1,16.3,16.3,,0,0,0,2,8,0,8,270,104,,71,253,253,
BA100AE,BA10 0AE,BA,54.8,50,66.72,,15,58.8,58.8,,10,10.5,20,,1,13,13,,0,0,0,1,4,0,4,223,123,,120,249,249,
BA100AF,BA10 0AF,BA,39.6,76.8,1000,,17.5,58.7,82.8,1000,7.9,13,115,,2.3,11.4,14.1,115,0,0,0,4,38,1,39,680,501,,477,701,700,673
BA100AH,BA10 0AH,BA,43.1,50.1,76.33,,15.5,56.4,56.4,,10,11.4,20,,3,12.9,12.9,,0,0,0,2,11,0,11,208,153,,77,232,232,
BA100AJ,BA10 0AJ,BA,50.3,55,80,,22,59.9,59.9,,15,13.9,20,,1,15.7,15.7,,0,0,0,1,7,0,7,483,383,,105,537,537,
BA100AL,BA10 0AL,BA,69.9,56,79.76,,15.3,71.3,71.3,,19.4,13.7,20,,1,18.4,18.4,,0,0,0,3,8,0,8,301,126,,59,392,392,
BA100AS,BA10 0AS,BA,54.8,49.7,79.67,,22.7,67.7,67.7,,10,10.3,20,,1,16.4,16.4,,0,0,0,6,9,0,9,63,14,,15,88,88,
BA100AT,BA10 0AT,BA,70.3,56.5,79.67,,19.5,75,75,,12.9,11.4,20,,1,16.5,16.5,,0,0,0,2,4,0,4,214,116,,109,266,266,
BA100AW,BA10 0AW,BA,62,53.6,79.66,8,23,66.3,66.3,,19.8,13.8,20,0,1,18.3,18.3,,0,0,1,1,6,0,6,214,186,8,21,245,245,
BA100AZ,BA10 0AZ,BA,54.8,55.4,79.67,,21,59.8,59.8,,10,12.7,20,,1,14.3,14.3,,0,0,0,1,8,0,8,251,163,,108,269,269,
BA100BB,BA10 0BB,BA,40,58.1,159.95,8,20,89.8,89.8,,10,12.3,30.02,0,3,20,20,,0,0,1,2,4,0,4,141,181,3,269,112,112,
BA100BE,BA10 0BE,BA,63.7,55.3,79.67,,19,67.4,67.4,,13.5,12.1,20,,1,15.9,15.9,,0,0,0,3,9,0,9,211,50,,24,274,274,
BA100BT,BA10 0BT,BA,38.7,38.3,78.5,,22.9,43.9,43.9,,6.6,7,20,,4.2,8,8,,0,0,0,9,25,0,25,582,465,,336,670,670,
BA100BU,BA10 0BU,BA,40,47.6,79.67,,21,55.6,55.6,,10,11.1,20,,2,13.8,13.8,,0,0,0,3,10,0,10,390,217,,169,456,456,
BA100BX,BA10 0BX,BA,58.2,53,79.67,,20,58.4,58.4,,13.5,13.3,20,,1,15.3,15.3,,0,0,0,2,12,0,12,287,231,,157,309,309,
BA100BZ,BA10 0BZ,BA,40,44.3,76.97,,21.3,50.1,50.1,,9.7,9.8,19.53,,1.3,12,12,,0,0,0,3,12,0,12,312,193,,305,314,314,
BA100DA,BA10 0DA,BA,33.5,30,52.46,6,18.3,38.9,38.9,,6,5.3,10,2,1.7,7.7,7.7,,0,0,1,7,12,0,12,626,474,395,374,792,792,
BA100DD,BA10 0DD,BA,73.5,59.9,80,0,22,66.9,66.9,,19.5,14.5,20,1,1,16.4,16.4,,1,0,0,1,14,0,14,377,267,4,407,402,402,
BA100DG,BA10 0DG,BA,54.8,55.4,79.67,,20.3,68.5,68.5,,10,12,20,,1,16.3,16.3,,0,0,0,3,8,0,8,252,207,,175,281,281,
BA100DJ,BA10 0DJ,BA,70.3,64,80,,,64,64,,19.5,15.1,20,,,15.2,15.2,,0,0,0,0,11,0,11,686,209,,,686,686,
BA100DL,BA10 0DL,BA,40.6,47.9,79.67,,16.3,55.8,55.8,,10,13,20,,6.3,14.6,14.6,,0,0,0,3,12,0,12,460,227,,77,555,555,
BA100DU,BA10 0DU,BA,76.3,68.2,79.67,,,68.1,68.1,,19.5,16.7,20,,,16.7,16.7,,0,0,0,0,7,0,7,311,228,,,311,311,
BA100DW,BA10 0DW,BA,71,57.4,80,4,24,67,67,,18.4,13.6,20,0,1,16.4,16.4,,0,1,0,1,9,0,9,218,200,255,69,230,230,
BA100DY,BA10 0DY,BA,49.6,50,79.67,,22,55,55,,10,12.5,20,,2.2,14.3,14.3,,0,0,0,5,28,0,28,358,205,,66,397,397,
BA100DZ,BA10 0DZ,BA,41.5,47.1,76.87,3,17,56.2,56.2,,10,10.5,20,0,1,13.2,13.2,,0,1,0,4,18,0,18,307,185,2,150,359,359,
BA100EA,BA10 0EA,BA,53.6,48.9,79.67,,16,55.4,55.4,,9.6,10.2,20,,1,12,12,,0,0,0,1,5,0,5,237,210,,112,262,262,
BA100EH,BA10 0EH,BA,50.4,47.7,64.85,,23,50.2,50.2,,8.2,8,11.8,,1,8.7,8.7,,0,0,0,1,10,0,10,121,55,,203,113,113,
BA100EL,BA10 0EL,BA,39.8,48.4,79.67,,23,65.3,65.3,,10,10.5,20,,1,16.7,16.7,,0,0,0,2,3,0,3,167,196,,242,117,117,
BA100EN,BA10 0EN,BA,59.8,61.5,79.67,,,61.5,61.5,,14.6,15,20,,,15,15,,0,0,0,0,13,0,13,294,270,,,294,294,
BA100EP,BA10 0EP,BA,54.8,52.2,79.67,,23.5,61.8,61.8,,10,11.4,20,,1,14.7,14.7,,0,0,0,2,6,0,6,441,333,,163,534,534,
BA100EQ,BA10 0EQ,BA,53.9,57.5,79.98,,,57.5,57.5,,16.9,15.2,20,,,15.2,15.2,,0,0,0,0,17,0,17,307,232,,,307,307,
BA100ER,BA10 0ER,BA,68.9,60.8,75.79,,23,66.3,66.3,,18.7,14.7,20,,1,16.7,16.7,,0,0,0,1,7,0,7,463,317,,15,527,527,
BA100ES,BA10 0ES,BA,51,47.1,77.77,,22,52.9,52.9,,9.8,9.9,20,,3.7,11.3,11.3,,0,0,0,6,26,0,26,507,291,,674,449,449,
BA100EU,BA10 0EU,BA,39.8,38.5,66.71,7,22.4,43.3,43.3,,8.6,7.6,13.59,2,3,8.9,8.9,,0,0,1,7,30,0,30,245,140,37,118,256,256,
BA100EZ,BA10 0EZ,BA,27.4,28.8,40,,24,36,36,,6,5.3,9.65,,3,8.5,8.5,,0,0,0,3,2,0,2,319,352,,152,411,411,
BA100FA,BA10 0FA,BA,160,191,330,,,98.3,191,330,30,32,50,,,20,32,50,0,0,0,0,3,2,5,392,404,,,294,392,538
BA100FB,BA10 0FB,BA,33.8,27.9,39.06,,13.3,36.8,36.8,,5.9,4.8,9.06,,0.7,7.2,7.2,,0,0,0,3,5,0,5,525,319,,430,581,581,
BA100FD,BA10 0FD,BA,120,151.3,330,,,91.7,151.3,330,25,26.3,50,,,18.3,26.3,50,0,0,0,0,6,2,8,332,308,,,335,332,322
BA100HA,BA10 0HA,BA,50.9,53.1,74.73,,,53.2,53.2,,10,12.1,18.77,,,12,12,,0,0,0,0,6,0,6,152,143,,,152,152,
BA100HD,BA10 0HD,BA,51.4,45,75.77,,17,60.6,60.6,,10.4,10.5,20,,1.2,15.7,15.7,,0,0,0,5,9,0,9,462,267,,437,477,477,
BA100HE,BA10 0HE,BA,73.2,62.5,79.67,,23,68.1,68.1,,19.5,15,20,,1,17,17,,0,0,0,1,7,0,7,409,255,,85,456,456,
BA100HF,BA10 0HF,BA,54.4,50.9,79.42,,17.5,62.2,62.2,,14.5,11.9,20,,1,15.7,15.7,,0,0,0,2,6,0,6,347,326,,212,392,392,
BA100HG,BA10 0HG,BA,61.2,53,78.12,,15,65.7,65.7,,13.5,12.3,20,,1,16,16,,0,0,0,2,6,0,6,529,374,,44,690,690,
BA100HL,BA10 0HL,BA,32.8,31.4,72.46,5.7,20.4,44.3,44.3,,6.2,5.9,19.53,0.7,3.1,8.8,8.8,,0,1,2,7,12,0,12,317,224,138,289,379,379,
BA100HN,BA10 0HN,BA,39.9,44.8,78.56,,18.8,62.2,62.2,,10,10.3,20,,1,16.5,16.5,,0,0,0,4,6,0,6,491,436,,156,715,715,
BA100HP,BA10 0HP,BA,59.8,54.2,78.12,3,21,64.6,64.6,,16.4,13.7,20,1,8,16.1,16.1,,1,0,1,1,13,0,13,351,120,39,34,423,423,
BA100HQ,BA10 0HQ,BA,39.7,47.9,76.17,,24,54,54,,10,10.7,20,,1,13,13,,0,0,0,1,4,0,4,469,165,,70,569,569,
BA100HR,BA10 0HR,BA,40,36.3,68.39,7,19,45.9,45.9,,7.1,6.8,14.37,1,1,8.9,8.9,,0,0,2,1,8,0,8,504,204,70,9,674,674,
BA100HT,BA10 0HT,BA,51.9,48.2,79.4,1,19,56.1,56.1,,10,11.3,20,0,1.3,13.8,13.8,,1,0,0,3,17,0,17,410,177,106,98,483,483,
BA100HU,BA10 0HU,BA,38.3,41.9,77.73,,17.5,55.9,55.9,,9.9,9.2,19.53,,1.3,13.7,13.7,,0,0,0,4,7,0,7,473,422,,347,545,545,
BA100HW,BA10 0HW,BA,53.9,51.3,76.33,,20,61.8,61.8,,14.1,12.4,20,,1,16.2,16.2,,0,0,0,2,6,0,6,692,523,,185,861,861,
BA100HX,BA10 0HX,BA,70.6,63.2,80,,16,67.1,67.1,,20,15.7,20,,1,16.9,16.9,,0,0,0,1,12,0,12,253,211,,49,270,270,
BA100HY,BA10 0HY,BA,24.4,32.9,73.69,7,18.3,55.6,55.6,,5.5,8,20,1,4.2,14,14,,0,0,1,6,5,0,5,378,184,69,239,608,608,
BA100HZ,BA10 0HZ,BA,42,41.6,79.67,3,16.7,61,61,,10,10.1,20,1,1.6,16.3,16.3,,0,1,0,7,11,0,11,376,181,53,131,561,561,
BA100JA,BA10 0JA,BA,54.7,51.7,79.67,9,14,60.8,60.8,,17.1,13.5,20,1,2.3,16.2,16.2,,0,0,1,3,17,0,17,341,174,95,479,331,331,
BA100JF,BA10 0JF,BA,55,67.2,160,5,,98.3,98.3,,10,13.5,30,0.3,,20,20,,0,2,1,0,6,0,6,241,196,95,,274,274,
BA100JG,BA10 0JG,BA,160,192.9,550,,,133.3,192.9,550,30,33.6,75,,,26.7,33.6,75,0,0,0,0,6,1,7,417,448,,,468,417,113
BA100JQ,BA10 0JQ,BA,67.5,77.8,160,2.3,,123,123,,15,15.2,30,0.7,,24,24,,1,2,0,0,5,0,5,198,192,101,,257,257,
BA100JR,BA10 0JR,BA,80,189,1000,3,,64,220,1000,20,27.9,115,0,,16,32.5,115,0,1,0,0,5,1,6,102,83,0,,82,102,204
BA100JS,BA10 0JS,BA,160,187.9,330,,,81.3,187.9,330,30,27.1,50,,,15,27.1,43.3,0,0,0,0,4,3,7,369,395,,,234,369,550
BA100JU,BA10 0JU,BA,43.3,43.4,78.12,,15.5,55.3,55.3,,10,10.3,19.98,,1,14.2,14.2,,0,0,0,6,14,0,14,261,90,,40,355,355,
BA100JW,BA10 0JW,BA,80,227.2,1000,2,,102.5,277.2,626.7,20,33.8,115,1,,21.7,41.1,80,1,1,0,0,6,3,9,295,137,21,,298,356,471
BA100JY,BA10 0JY,BA,55,166.5,1000,2.3,,81.3,265,1000,10,22.1,115,0.7,,15,35,115,1,2,0,0,4,1,5,153,154,30,,229,226,214
BA100JZ,BA10 0JZ,BA,80,267.1,1000,1,,95.7,296.7,1000,20,37,115,0,,20,41.1,115,1,0,0,0,7,2,9,208,124,0,,149,208,414
BA100LD,BA10 0LD,BA,46.9,46.7,73.71,,21,59.8,59.8,,9.9,10.3,17.85,,3.5,13.8,13.8,,0,0,0,2,4,0,4,1027,432,,1177,952,952,
BA100LE,BA10 0LE,BA,80,137.3,1000,1.8,,110.7,221.9,1000,20,21.4,115,0.6,,22.9,34.4,115,3,2,0,0,7,1,8,244,114,25,,318,381,826
BA100LN,BA10 0LN,BA,2.6,2.8,3.86,2.8,,,,,0.7,0.6,0.85,0.6,,,,,0,5,0,0,0,0,0,39,40,39,,,,
BA100LW,BA10 0LW,BA,4.6,4.4,5.71,4.4,,,,,0.7,0.7,0.97,0.7,,,,,0,7,2,0,0,0,0,63,38,49,,,,
BA100NA,BA10 0NA,BA,39.1,38.5,65.88,,24.2,43.9,43.9,,8.4,7.9,14.21,,4.4,9.2,9.2,,0,0,0,5,13,0,13,894,802,,642,991,991,
BA100NB,BA10 0NB,BA,39.1,42.6,62.52,,23,47.5,47.5,,7.6,9.5,16.92,,6,10.5,10.5,,0,0,0,1,4,0,4,370,193,,170,420,420,
BA100ND,BA10 0ND,BA,18.9,23.3,40,8,19.8,40,40,,1.2,2.8,7.82,1,1.4,7,7,,0,0,1,5,2,0,2,107,84,174,49,217,217,
BA100NG,BA10 0NG,BA,9.6,8.6,13.48,6.2,12.7,,,,1.1,0.9,1.2,0.8,1,,,,1,1,3,3,0,0,0,530,194,490,67,,,
BA100NH,BA10 0NH,BA,5.7,5.5,9.21,5.6,,,,,0.9,0.8,1.14,0.8,,,,,1,6,9,0,0,0,0,117,49,102,,,,
BA100NL,BA10 0NL,BA,32.3,32.9,39.84,,26.7,37.5,37.5,,6.3,6.5,10,,4,8.3,8.3,,0,0,0,3,4,0,4,311,204,,103,467,467,
BA100NN,BA10 0NN,BA,78.1,69.4,79.67,,,69.4,69.4,,19.5,15.9,20,,,16,16,,0,0,0,0,5,0,5,524,171,,,524,524,
BA100NW,BA10 0NW,BA,79.7,66.7,80,,,66.6,66.6,,20,16.3,20,,,16.3,16.3,,0,0,0,0,8,0,8,328,221,,,328,328,
BA100PE,BA10 0PE,BA,20.2,24.8,52.46,7,20.8,41.7,41.7,,7.2,6.9,14.26,1,7,10.7,10.7,,0,0,2,4,3,0,3,198,150,161,172,258,258,
BA100PH,BA10 0PH,BA,39.4,38.4,48.78,,24,41.2,41.2,,8,7.5,9.89,,3,8.4,8.4,,0,0,0,1,5,0,5,349,200,,914,236,236,
BA100PJ,BA10 0PJ,BA,29.7,30.6,79.67,4,19.3,50.7,50.7,,6.7,6.5,20,1,3.3,11.7,11.7,,0,1,0,3,3,0,3,218,98,2,96,412,412,
BA100PQ,BA10 0PQ,BA,41.4,41,52.46,,23,43.1,43.1,,9.7,9.1,11.91,,8,9.3,9.3,,0,0,0,1,8,0,8,251,139,,52,276,276,
BA100PR,BA10 0PR,BA,8.9,7.5,9.97,7.5,,,,,1.1,1.1,1.23,1.2,,,,,0,2,4,0,0,0,0,338,172,338,,,,
BA100PT,BA10 0PT,BA,38.4,35,46.76,,16,38.2,38.2,,9.7,8.4,10,,1,9.7,9.7,,0,0,0,1,6,0,6,318,132,,926,217,217,
BA100PW,BA10 0PW,BA,8.2,7.7,9.68,7.6,,,,,1.1,1.1,1.14,1,,,,,0,0,5,0,0,0,0,301,184,301,,,,
BA100PZ,BA10 0PZ,BA,18.3,20,26.03,,20,,,,1.3,1.4,2.09,,1.4,,,,0,0,0,7,0,0,0,206,155,,206,,,
