postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BB101AA,BB10 1AA,BB,75.1,68.2,107,,17,82.9,82.9,,10,9.1,20,,1,11.4,11.4,,0,0,0,2,7,0,7,429,306,,402,437,437,
BB101AB,BB10 1AB,BB,78.1,138.4,1096,,15.3,84.9,169.2,1096,10,14.7,49,,1,15.3,18.1,49,0,0,0,3,11,1,12,642,602,,420,601,590,476
BB101AD,BB10 1AD,BB,78,69.7,107,,19,74.7,74.7,,10,12.7,20,,1,13.9,13.9,,0,0,0,1,10,0,10,598,432,,196,578,578,
BB101AE,BB10 1AE,BB,107,103.5,205,,18,110.7,110.7,,10,13.9,21,,1,15,15,,0,0,0,1,12,0,12,787,750,,1039,766,766,
BB101AF,BB10 1AF,BB,77.3,188.2,1096,,26,75.1,202.9,778,19.5,19.1,49,,6,15.3,20.3,42.5,0,0,0,1,9,2,11,1070,736,,1083,938,972,1125
BB101AG,BB10 1AG,BB,76.3,73.8,107,,,73.8,73.8,,19.6,17.4,20,,,17.4,17.4,,0,0,0,0,5,0,5,444,168,,,444,444,
BB101AH,BB10 1AH,BB,79.9,88.6,205,7,17,107.3,107.3,,10,12.3,21,1,1,15.2,15.2,,0,0,1,2,12,0,12,498,342,85,374,429,429,
BB101AJ,BB10 1AJ,BB,107,126.8,205,,,126.7,126.7,,19.5,15.9,21,,,15.9,15.9,,0,0,0,0,7,0,7,624,591,,,535,535,
BB101AL,BB10 1AL,BB,78.9,94.5,593,2,23.5,79.9,106.9,593,10,13.2,39,1,10.5,12.8,14.2,39,0,1,0,2,18,1,19,559,529,209,582,576,546,0
BB101AP,BB10 1AP,BB,78.1,119.1,593,,16,90.5,126.4,593,19.5,17.2,39,,1,16.8,18.4,39,0,0,0,1,13,1,14,645,623,,287,673,625,0
BB101AS,BB10 1AS,BB,93.3,97.4,205,7,,115.4,115.4,,15,13.7,21,1,,16.2,16.2,,0,0,1,0,5,0,5,229,180,61,,262,262,
BB101AT,BB10 1AT,BB,74,73.9,205,,19.7,81.3,81.3,,15,13.4,21,,5.7,14.5,14.5,,0,0,0,3,22,0,22,782,384,,394,800,800,
