postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BD100AA,BD10 0AA,BD,74.8,69.6,205,5.5,12.8,90.6,90.6,,10,12.8,29.31,1,1.3,17,17,,0,1,1,4,17,0,17,374,287,41,75,462,462,
BD100AB,BD10 0AB,BD,78.1,121.1,331,,13.5,121.6,139.1,331,20,18.6,36,,1,20.2,21.5,36,0,0,0,2,11,1,12,283,79,,17,353,327,49
BD100AE,BD10 0AE,BD,54.5,52.5,71.33,,28,55.6,55.6,,11.7,13.6,18.63,,12,13.9,13.9,,0,0,0,1,8,0,8,403,317,,317,414,414,
BD100AF,BD10 0AF,BD,107,121.2,331,,25,120.1,133.3,331,10,12.4,36,,3.5,11.9,13.4,36,0,0,0,2,15,1,16,461,363,,221,403,462,1355
BD100AG,BD10 0AG,BD,54.4,53.6,79.22,,,53.6,53.6,,13.2,13.1,20,,,13.1,13.1,,0,0,0,0,17,0,17,504,527,,,504,504,
BD100AH,BD10 0AH,BD,58.6,54,78.12,,12,62.2,62.2,,18.3,14.6,19.53,,2,17.2,17.2,,0,0,0,1,5,0,5,663,188,,204,755,755,
BD100AJ,BD10 0AJ,BD,107,115.2,1096,8.8,13.3,128.2,174.3,1096,10,10.2,49,1,1.1,13.8,15.5,49,0,0,4,8,20,1,21,260,158,38,99,303,289,0
BD100AL,BD10 0AL,BD,78.1,106.2,593,10,12,90.6,115.7,593,15.5,15.1,39,1,1,15.4,16.6,39,0,0,1,1,19,1,20,547,350,20,297,616,586,0
BD100AN,BD10 0AN,BD,35.2,77.5,205,4.5,18.9,118.5,118.5,,7.7,8.5,21,1,3.4,12.3,12.3,,0,1,1,8,15,0,15,275,113,7,168,350,350,
BD100AP,BD10 0AP,BD,50.2,49.1,67.33,8,,51.3,51.3,,10,11.4,16.24,1,,11.9,11.9,,0,0,1,0,19,0,19,478,394,72,,499,499,
BD100AQ,BD10 0AQ,BD,107,112.5,205,,22,127.5,127.5,,10,11.4,21,,4,12.7,12.7,,0,0,0,1,6,0,6,392,349,,364,397,397,
BD100AT,BD10 0AT,BD,107,88.5,205,5,20,146.2,146.2,,10,9.3,21,1,3.7,14.4,14.4,,0,0,1,3,5,0,5,357,280,133,290,370,370,
BD100AU,BD10 0AU,BD,107,114.8,205,,,114.8,114.8,,10,14.6,21,,,14.6,14.6,,0,0,0,0,9,0,9,305,197,,,305,305,
BD100AW,BD10 0AW,BD,107,82,205,,13,87.3,87.3,,10,8.3,21,,2,8.8,8.8,,0,0,0,1,13,0,13,793,525,,405,823,823,
BD100AX,BD10 0AX,BD,78.1,113.2,460,,15,92.9,117.1,395.5,16,15.9,36,,1,14.8,16.5,36,0,0,0,1,23,2,25,473,391,,27,513,491,235
BD100BA,BD10 0BA,BD,51.4,52.4,79.66,,20.5,63,63,,14.6,13.7,20,,5.5,16.3,16.3,,0,0,0,2,6,0,6,453,349,,204,536,536,
BD100BB,BD10 0BB,BD,75.5,71.4,205,,14,80.6,80.6,,19.5,14.5,21,,2,16.4,16.4,,0,0,0,4,25,0,25,423,400,,403,409,409,
