postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BL00AG,BL0 0AG,BL,78.1,75.7,156.25,,,75.7,75.7,,19.5,18.3,29.34,,,18.3,18.3,,0,0,0,0,14,0,14,559,520,,,559,559,
BL00AH,BL0 0AH,BL,73.6,70.7,78.12,,,70.7,70.7,,18.7,17,19.99,,,17,17,,0,0,0,0,7,0,7,797,969,,,797,797,
BL00AL,BL0 0AL,BL,63.5,57.1,158.53,8,18.8,72.1,72.1,,14.1,12.8,29.96,1,1.2,17.1,17.1,,0,0,1,5,16,0,16,323,245,31,166,391,391,
BL00AN,BL0 0AN,BL,62.6,49,78.12,9,15,68.6,68.6,,14.3,11.5,20,1,1,17.3,17.3,,0,0,1,4,9,0,9,170,198,9,81,227,227,
BL00AQ,BL0 0AQ,BL,39.8,42.4,80,3,21,59.5,59.5,,10,8.6,20,0,1,13.7,13.7,,0,1,0,3,6,0,6,370,136,58,153,530,530,
BL00AR,BL0 0AR,BL,76.1,68.7,79.9,,,68.8,68.8,,19.4,17.3,20,,,17.3,17.3,,0,0,0,0,12,0,12,825,591,,,825,825,
BL00AS,BL0 0AS,BL,62.3,58.2,79.91,,24,61.6,61.6,,15.1,14.5,20,,12,14.8,14.8,,0,0,0,1,10,0,10,593,293,,11,651,651,
BL00AT,BL0 0AT,BL,76.3,68.4,159.86,,20.9,86.3,86.3,,19.5,14.9,30.02,,2.1,19.7,19.7,,0,0,0,9,24,0,24,372,274,,100,458,458,
BL00AU,BL0 0AU,BL,75.7,56.2,80,,21.7,70.1,70.1,,19.5,13,20,,1.2,17.7,17.7,,0,0,0,6,15,0,15,406,205,,142,485,485,
BL00AW,BL0 0AW,BL,60.2,56.2,79.66,,29,58.5,58.5,,16.5,14.7,20,,6,15.3,15.3,,0,0,0,1,12,0,12,582,523,,733,569,569,
BL00AX,BL0 0AX,BL,76.4,73.3,158.64,,16.5,85.9,85.9,,20,17.4,30.01,,1,21,21,,0,0,0,2,9,0,9,425,359,,175,481,481,
BL00AY,BL0 0AY,BL,78.1,58.5,79.91,,17.5,79,79,,18.3,13,20,,1,19,19,,0,0,0,2,4,0,4,669,381,,21,826,826,
BL00AZ,BL0 0AZ,BL,58.3,57.2,148.26,,21.3,72.6,72.6,,19.5,13.1,25.61,,1.2,18.3,18.3,,0,0,0,6,14,0,14,316,283,,83,416,416,
BL00BA,BL0 0BA,BL,39.9,55.3,158.98,,18.8,65.1,65.1,,10,12.4,30,,1,15.4,15.4,,0,0,0,4,15,0,15,549,475,,22,653,653,
BL00BB,BL0 0BB,BL,39.1,37,61.31,,18.8,41.6,41.6,,6.7,6.2,12.09,,2.5,7.2,7.2,,0,0,0,4,16,0,16,475,392,,90,571,571,
BL00BD,BL0 0BD,BL,39.9,42.6,78.06,,16.5,60.5,60.5,,7,8.6,20,,1.5,13.5,13.5,,0,0,0,13,19,0,19,744,342,,129,1126,1126,
BL00BE,BL0 0BE,BL,43.2,42.4,69.34,,20.5,51.1,51.1,,7.9,8.3,18.52,,3.6,10.1,10.1,,0,0,0,8,20,0,20,524,428,,319,607,607,
BL00BG,BL0 0BG,BL,55.7,54,120.7,6,20.3,64,64,,12,12.5,20,1,2.5,15.4,15.4,,0,0,1,12,45,0,45,848,600,35,514,880,880,
BL00BH,BL0 0BH,BL,63.7,54,120.2,6.5,24.5,64.3,64.3,,10,12.2,20,0.5,9,14.1,14.1,,0,0,2,2,15,0,15,525,391,142,784,542,542,
BL00BJ,BL0 0BJ,BL,70.7,54.3,80,4,19.3,71.6,71.6,,19.2,12.5,20,1,1,17.6,17.6,,0,1,0,3,9,0,9,557,370,16,66,656,656,
BL00BL,BL0 0BL,BL,63,64.4,158.63,7.7,18.3,78.5,78.5,,18.8,14.6,30.01,1,2.3,18.1,18.1,,0,0,3,3,22,0,22,362,168,28,168,418,418,
BL00BN,BL0 0BN,BL,54.8,51,79.97,,18.7,72.6,72.6,,10,11.1,20,,1.2,17.7,17.7,,0,0,0,6,9,0,9,300,154,,52,465,465,
BL00BQ,BL0 0BQ,BL,39.9,39.9,53.52,,19.5,43,43,,7.9,7.2,9.92,,1,8.2,8.2,,0,0,0,2,13,0,13,922,675,,230,1029,1029,
BL00BT,BL0 0BT,BL,40,46.7,80,,17.5,58.4,58.4,,10,10.2,20,,1,13.8,13.8,,0,0,0,2,5,0,5,810,524,,164,1069,1069,
BL00BY,BL0 0BY,BL,62.1,57.9,79.67,,19,63.4,63.4,,14.3,13.9,20,,2.5,15.5,15.5,,0,0,0,2,14,0,14,331,188,,69,368,368,
BL00BZ,BL0 0BZ,BL,48.1,46.6,78.11,9.5,,52.8,52.8,,10.2,11.2,20,1,,12.9,12.9,,0,0,2,0,12,0,12,526,481,73,,602,602,
BL00DA,BL0 0DA,BL,38,34.2,46.52,,18,40.8,40.8,,6.8,6,7.23,,4,6.8,6.8,,0,0,0,2,5,0,5,321,125,,489,254,254,
BL00DE,BL0 0DE,BL,54.8,73.8,314.31,8,15.5,70.4,83.9,314,18.2,15.9,49.95,1,1.5,16.5,18.4,50,0,0,1,2,17,1,18,447,327,175,188,408,491,1896
BL00DG,BL0 0DG,BL,39.8,39.8,79.66,5,18.2,49.7,49.7,,9.8,9.1,20,1,2.8,11.8,11.8,,0,1,1,5,18,0,18,629,560,71,220,770,770,
BL00DH,BL0 0DH,BL,79.8,83.7,159.96,,19,105.3,105.3,,20,17.5,30.04,,1,23,23,,0,0,0,2,6,0,6,437,399,,263,496,496,
BL00DN,BL0 0DN,BL,35,30.8,52.46,7,13,42.6,42.6,,7.6,5.9,10,1,1,8.8,8.8,,0,0,1,2,5,0,5,756,679,76,1064,769,769,
BL00DP,BL0 0DP,BL,52.5,51,78.11,7,,54.1,54.1,,12,12.9,20,1,,13.8,13.8,,0,0,1,0,14,0,14,356,297,60,,377,377,
BL00DS,BL0 0DS,BL,33.1,29.2,39.12,,19.7,38.7,38.7,,6.7,5.7,7.68,,4.3,7,7,,0,0,0,3,3,0,3,375,260,,274,350,350,
BL00DY,BL0 0DY,BL,60.8,59.9,76.59,,,60,60,,20,17.4,20,,,17.4,17.4,,0,0,0,0,5,0,5,278,339,,,278,278,
BL00DZ,BL0 0DZ,BL,39.1,32.1,41.05,5,12,38.7,38.7,,6.1,6,8.76,5,1,6.9,6.9,,0,0,1,1,7,0,7,461,575,4,8,591,591,
BL00ED,BL0 0ED,BL,18.7,26,38.22,,17.7,38,38,,1.7,3.3,6.69,,1.3,6,6,,0,0,0,3,2,0,2,325,353,,418,186,186,
BL00EE,BL0 0EE,BL,22.5,21,38.28,7,18.5,34,34,,4.3,3.9,6.45,1,3.8,6,6,,0,0,2,4,3,0,3,209,184,73,288,197,197,
BL00EF,BL0 0EF,BL,17.3,16.1,21.65,5,18.3,,,,1.2,1.5,4.86,1,1.7,,,,0,1,1,10,0,0,0,524,502,226,584,,,
BL00EG,BL0 0EG,BL,7.9,14,39.85,6.5,,39,39,,1.2,2.5,8.36,1,,7.3,7.3,,0,3,7,0,3,0,3,393,337,259,,708,708,
BL00EN,BL0 0EN,BL,55.5,54,72.05,,,54,54,,12.1,12.7,19.99,,,12.7,12.7,,0,0,0,0,24,0,24,571,489,,,571,571,
BL00ER,BL0 0ER,BL,7.9,9,22.87,7.1,14.8,,,,1.1,1.1,1.22,1.1,1,,,,0,2,10,4,0,0,0,300,148,289,334,,,
BL00ES,BL0 0ES,BL,39.8,40.4,55.91,,11,42.9,42.9,,8.1,8.1,16.98,,1,8.7,8.7,,0,0,0,1,12,0,12,588,392,,119,627,627,
BL00ET,BL0 0ET,BL,40,42.6,78.12,3,16.1,54.6,54.6,,10,10.4,20,1,2.7,13.6,13.6,,1,1,0,7,22,0,22,427,245,38,153,531,531,
BL00EW,BL0 0EW,BL,39.9,38.2,73.93,3,24.3,50.9,50.9,,9.1,9.8,18.5,0.5,5.8,13.3,13.3,,0,2,0,4,10,0,10,259,159,93,406,234,234,
BL00EY,BL0 0EY,BL,39.1,38.6,60.97,3,10,47.7,47.7,,9.8,9.1,17.94,1,1,11.4,11.4,,0,1,0,1,7,0,7,460,324,28,0,521,521,
BL00EZ,BL0 0EZ,BL,66.7,61.3,102.26,,14,66.3,66.3,,19.5,15.4,29.97,,1,16.8,16.8,,0,0,0,2,19,0,19,594,335,,37,653,653,
BL00GF,BL0 0GF,BL,49,48.4,75.86,,25,54.3,54.3,,10,9.5,12.63,,7,10,10,,0,0,0,1,4,0,4,401,329,,199,451,451,
BL00GX,BL0 0GX,BL,79.7,91.2,118.12,,,91.2,91.2,,19.5,19.6,21.66,,,19.5,19.5,,0,0,0,0,6,0,6,1141,911,,,1141,1141,
BL00GY,BL0 0GY,BL,37,32.2,67.08,3.3,,49.6,49.6,,6.9,6.6,15.36,0.7,,10.2,10.2,,1,1,1,0,5,0,5,247,179,24,,380,380,
BL00HB,BL0 0HB,BL,71.7,76.1,327.72,,13,66.7,79.1,328,19.5,17.9,49.41,,1,17.1,18.7,49,0,0,0,1,20,1,21,598,295,,34,578,625,1554
BL00HE,BL0 0HE,BL,60.6,57.5,158.47,6.3,,71.5,71.5,,14.5,13.4,27.61,1,,16.8,16.8,,0,2,1,0,11,0,11,530,367,15,,622,622,
BL00HF,BL0 0HF,BL,73.3,69.9,124.25,,19,73,73,,19.5,16.4,20.36,,1,17.4,17.4,,0,0,0,1,16,0,16,685,546,,7,728,728,
BL00HG,BL0 0HG,BL,79.7,117.6,327.73,,,100.1,117.6,328,19.5,21.3,49.91,,,18.9,21.3,50,0,0,0,0,12,1,13,754,575,,,769,754,575
BL00HH,BL0 0HH,BL,33.4,29.6,57.63,8.3,19.3,39.2,39.2,,6.8,5.5,10.01,1,4,7.2,7.2,,0,0,3,4,11,0,11,532,387,42,137,761,761,
BL00HJ,BL0 0HJ,BL,40,45.7,79.67,7,,52.2,52.2,,7.2,10,20,1,,11.5,11.5,,0,0,1,0,6,0,6,451,568,56,,517,517,
BL00HQ,BL0 0HQ,BL,76.3,64,79.76,,,64,64,,18.6,15.3,20,,,15.2,15.2,,0,0,0,0,9,0,9,183,86,,,183,183,
BL00HW,BL0 0HW,BL,25.6,24,32.99,6,22.4,31.8,31.8,,3.3,3.1,5.26,1,3,3.8,3.8,,0,0,1,17,6,0,6,469,299,5,327,950,950,
BL00HX,BL0 0HX,BL,23,21.8,34.74,4,22.4,35,35,,2.3,2.7,5.3,1,2.7,5,5,,0,1,0,7,1,0,1,397,276,113,464,209,209,
BL00HY,BL0 0HY,BL,19.7,22.3,57.65,5,19.7,58,58,,2,3.7,18.84,1,1.9,19,19,,0,1,0,7,1,0,1,171,73,43,203,73,73,
BL00HZ,BL0 0HZ,BL,26.1,27.9,40,,23.3,37.8,37.8,,3.6,4,9.14,,3.1,5.8,5.8,,0,0,0,13,6,0,6,518,259,,557,433,433,
BL00JA,BL0 0JA,BL,28.2,25.8,34.28,6,25.5,32.7,32.7,,5.6,5.1,6.86,0,5.8,6,6,,0,0,1,4,3,0,3,644,289,74,862,543,543,
BL00JF,BL0 0JF,BL,52.5,51.4,79.67,6,,54.3,54.3,,7.1,9.1,20,1,,9.6,9.6,,0,0,1,0,16,0,16,416,315,17,,441,441,
BL00JJ,BL0 0JJ,BL,52,65.8,160.11,,25,71.7,71.7,,10,12.5,23.93,,8,13.1,13.1,,0,0,0,1,7,0,7,605,376,,206,662,662,
BL00JL,BL0 0JL,BL,78.1,72.1,159.94,5,,77,77,,15.3,15.3,30,1,,16.3,16.3,,0,1,1,0,27,0,27,440,332,62,,452,452,
BL00JN,BL0 0JN,BL,77.2,64.6,150.42,4.5,,81.8,81.8,,17.2,13.3,20,1,,16.9,16.9,,0,2,2,0,14,0,14,318,251,25,,379,379,
BL00JQ,BL0 0JQ,BL,62,63.9,159.99,5,25.5,68.9,68.9,,18,15.2,30.04,1,13,15.9,15.9,,0,1,0,2,27,0,27,434,355,0,114,458,458,
BL00JS,BL0 0JS,BL,70.5,54,78.12,6,,66,66,,19.5,14,20,1,,17.3,17.3,,0,0,1,0,4,0,4,558,528,93,,675,675,
BL00JT,BL0 0JT,BL,61.7,66.8,250.58,4.5,,73.4,73.4,,16.6,15.3,39.97,0.5,,16.9,16.9,,0,1,1,0,19,0,19,441,265,39,,483,483,
BL00JW,BL0 0JW,BL,54.8,56.8,158.45,4,19,71.8,71.8,,11,12.4,24.09,0.5,5,15.6,15.6,,1,0,1,2,12,0,12,502,219,7,128,648,648,
BL00JX,BL0 0JX,BL,74.3,60.5,80,6.5,,69.6,69.6,,19.5,15,20,1,,17.3,17.3,,0,0,2,0,12,0,12,413,285,20,,479,479,
BL00JY,BL0 0JY,BL,37.8,31,47.59,4,16,41.5,41.5,,5.8,5.2,6.62,4,3,6,6,,0,1,0,1,4,0,4,112,86,220,4,113,113,
BL00LA,BL0 0LA,BL,66.7,60.1,80,,,60.1,60.1,,19.5,16.2,20,,,16.2,16.2,,0,0,0,0,17,0,17,188,207,,,188,188,
BL00LB,BL0 0LB,BL,34.6,34,74.25,6,24.4,43.5,43.5,,6.5,6.7,20,1,5,8.5,8.5,,0,1,2,5,14,0,14,535,274,26,418,647,647,
BL00LD,BL0 0LD,BL,38.6,34,63.91,9,25.5,43.2,43.2,,7.7,7,13.18,0.8,7.5,8.9,8.9,,0,0,6,2,18,0,18,341,132,85,256,417,417,
BL00LE,BL0 0LE,BL,36.6,31.8,52.46,9,19.5,41.4,41.4,,6.2,5.7,9.76,1,5,6.8,6.8,,0,0,1,2,5,0,5,690,125,125,62,916,916,
BL00LF,BL0 0LF,BL,50.9,42.6,80,8.7,10.5,54.5,54.5,,8.4,9.6,20,1,1,12.7,12.7,,0,0,3,2,14,0,14,498,267,210,342,582,582,
BL00LG,BL0 0LG,BL,70.1,66.9,158.48,,10.5,73.1,73.1,,19.5,17.4,29.97,,1,19.2,19.2,,0,0,0,2,18,0,18,857,586,,361,912,912,
BL00LH,BL0 0LH,BL,38.8,35.5,66.1,2,24.3,43.6,43.6,,7.3,8,19.11,1,5.3,9.8,9.8,,2,1,0,4,18,0,18,469,239,20,160,586,586,
BL00LL,BL0 0LL,BL,70,62,149.66,4,14.7,73.1,73.1,,20,15.8,29.68,1,2.3,18.9,18.9,,0,1,0,3,18,0,18,448,241,229,516,449,449,
