postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BN107AD,BN10 7AD,BN,76.3,59.2,79.91,,23.5,73.4,73.4,,19.5,16.3,20,,8,19.8,19.8,,0,0,0,2,5,0,5,791,337,,310,983,983,
BN107AE,BN10 7AE,BN,40,45.1,79.98,7,16.3,61.4,61.4,,10,10.7,20,1,1.2,15.8,15.8,,0,0,1,6,13,0,13,329,237,1,119,452,452,
BN107AF,BN10 7AF,BN,50.8,49.9,56.72,,,50,50,,14,13.8,18.99,,,13.9,13.9,,0,0,0,0,8,0,8,563,445,,,563,563,
BN107AG,BN10 7AG,BN,60.5,114.5,593,,18.7,82.5,155.4,593,10,14,39,,3.7,15,18.4,39,0,0,0,3,6,1,7,366,136,,405,347,297,0
BN107AH,BN10 7AH,BN,60.9,70,205,7,12.5,79.9,79.9,,10,12.7,21,1,1,14.7,14.7,,0,0,1,2,18,0,18,543,356,65,88,590,590,
BN107AJ,BN10 7AJ,BN,69.3,113.7,593,,,73.8,113.7,593,19.5,18.5,39,,,16.8,18.5,39,0,0,0,0,12,1,13,886,577,,,812,750,0
BN107AL,BN10 7AL,BN,55.3,92.6,593,,15.5,87.3,100.9,593,19,14.7,39,,1,15.6,16.2,39,0,0,0,4,36,1,37,527,396,,121,586,571,0
BN107AN,BN10 7AN,BN,107,72.1,107,,19.5,107,107,,10,8.4,10,,6,10,10,,0,0,0,2,3,0,3,229,104,,56,345,345,
BN107AP,BN10 7AP,BN,39.4,72.2,205,,11,79,79,,9.6,10.6,21,,1,11.7,11.7,,0,0,0,1,9,0,9,1014,662,,66,1119,1119,
BN107AR,BN10 7AR,BN,39.1,137.5,593,7.7,27.7,120.1,192.8,593,9.8,13.4,39,2,7,13.5,17.5,39,0,1,2,3,11,2,13,532,349,388,277,641,542,0
BN107AT,BN10 7AT,BN,52.8,103.2,593,,22.3,72.4,120.2,526.5,12,14.3,39,,5,13.7,16.2,37.5,0,0,0,4,17,2,19,306,253,,194,320,314,264
BN107AU,BN10 7AU,BN,52,79.3,205,5,12,93.7,93.7,,10,10.8,21,0.5,1,12.8,12.8,,0,1,1,1,15,0,15,239,114,71,96,271,271,
BN107AX,BN10 7AX,BN,70.9,82.6,205,8,,93.3,93.3,,10,12.6,21,1,,14.3,14.3,,0,0,1,0,7,0,7,181,168,293,,165,165,
BN107AY,BN10 7AY,BN,49.8,89.4,593,8,17.3,80.6,120.7,462,10,11.4,39,1,3,12.6,15.2,37.5,0,0,2,6,17,2,19,228,121,154,229,222,212,124
BN107AZ,BN10 7AZ,BN,47.5,87.6,593,7,13,64.3,97.4,593,10,13.3,39,0,1,13.3,14.9,39,0,0,1,1,15,1,16,674,311,0,0,674,632,0
BN107BA,BN10 7BA,BN,50.9,99,593,8,16,55.1,112.5,418.3,10,14.2,39,1,1,12.3,16.2,37,0,0,1,2,16,3,19,384,177,86,161,285,403,1032
