postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BR11AA,BR1 1AA,BR,107,96.9,331,10,15.1,117.2,147.8,331,10,9.5,36,1,1,11.3,14.8,36,0,0,1,12,18,3,21,529,425,64,521,442,455,536
BR11AE,BR1 1AE,BR,20.7,21.1,24.13,,21.1,,,,1.2,1.2,1.28,,1.2,,,,0,0,0,14,0,0,0,530,488,,492,,,
BR11AF,BR1 1AF,BR,79.5,90.4,593,8.7,17.5,121,158.9,461.3,7.5,8,39,1,1.1,11.6,14.4,37,0,0,3,22,24,3,27,406,365,177,390,400,400,400
BR11AG,BR1 1AG,BR,107,130,1096,,17.5,125.4,196.6,509.8,10,11.3,49,,1.1,12.5,17.4,38.6,0,0,0,16,22,5,27,345,345,,313,291,313,410
BR11AH,BR1 1AH,BR,150,256.1,1000,,20.3,128.8,309.4,928.6,1.2,2.3,10,,1.1,0.4,0.3,0,0,0,0,7,24,7,31,748,676,,652,28,22,0
BR11AJ,BR1 1AJ,BR,14.7,16.5,73.29,8,14.9,73,73,,1.1,1.7,20,0,1.1,20,20,,0,0,1,30,1,0,1,690,670,480,644,896,896,
BR11BQ,BR1 1BQ,BR,54.8,52.5,79.91,,18.2,67.3,67.3,,10,11.7,20,,1.2,16.2,16.2,,0,0,0,6,14,0,14,93,33,,71,103,103,
BR11BY,BR1 1BY,BR,19.7,19.3,23.44,,19.3,,,,1.2,1.2,1.28,,1.1,,,,0,0,0,20,0,0,0,598,515,,569,,,
BR11DD,BR1 1DD,BR,11,10.9,18.53,5.8,12.5,,,,1,1,1.22,0.8,0.9,,,,1,1,4,19,0,0,0,79,42,9,72,,,
BR11DG,BR1 1DG,BR,18.5,16,22.85,7,18.6,,,,1,1,1.27,1,1,,,,0,0,2,7,0,0,0,463,487,752,314,,,
BR11DN,BR1 1DN,BR,12.5,12.4,24.31,6.7,14.3,,,,1,0.9,1.19,0.8,0.9,,,,0,2,4,19,0,0,0,46,22,57,31,,,
BR11EA,BR1 1EA,BR,79.7,55.8,80,9,13.8,73.6,73.6,,20,13,20,1,1,17.9,17.9,,0,0,1,4,12,0,12,168,103,0,33,199,199,
