postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
BS105AA,BS10 5AA,BS,107,93.2,107,,,93.3,93.3,,10,12.7,20,,,12.6,12.6,,0,0,0,0,11,0,11,335,276,,,335,335,
BS105AB,BS10 5AB,BS,107,120.6,205,6,,139.7,139.7,,10,11.8,21,1,,13.7,13.7,,0,0,1,0,6,0,6,146,154,48,,113,113,
BS105AD,BS10 5AD,BS,80,113.5,331,,,102.1,113.5,331,19.8,17.1,36,,,16.2,17.1,36,0,0,0,0,19,1,20,616,522,,,534,555,950
BS105AE,BS10 5AE,BS,93.3,102,205,7,,107.6,107.6,,10,14.9,30,1,,15.8,15.8,,0,0,1,0,17,0,17,473,241,36,,499,499,
BS105AF,BS10 5AF,BS,79.7,107.8,331,,29,101.3,111.3,331,17.3,16.3,36,,7,15.8,16.7,36,0,0,0,1,22,1,23,473,428,,428,453,454,483
BS105AG,BS10 5AG,BS,77.6,84.2,331,4,19,82.7,93,331,10,14,36,1,6.5,14.3,15.2,36,0,1,0,2,23,1,24,410,310,114,931,376,362,40
BS105AH,BS10 5AH,BS,62,86,205,,,86,86,,14.8,15,21,,,15,15,,0,0,0,0,6,0,6,487,417,,,487,487,
BS105AJ,BS10 5AJ,BS,107,78.2,205,3.5,,89.7,89.7,,10,9.3,21,0.5,,10.6,10.6,,1,0,1,0,13,0,13,329,201,104,,339,339,
BS105AL,BS10 5AL,BS,107,106.3,331,3,,101.1,110.7,331,10,11.9,36,0,,11.3,12.4,36,0,1,0,0,23,1,24,429,333,7,,428,410,0
BS105AN,BS10 5AN,BS,56.2,89.7,460,6,11,78.7,97.8,460,11.5,13.9,36,1,9,13.7,14.8,36,0,0,1,1,19,1,20,627,429,104,294,623,638,924
BS105AP,BS10 5AP,BS,52,83.7,331,4,27,80.5,94.4,331,10,11.9,36,1,7.5,11.6,13,36,0,1,0,2,17,1,18,889,741,22,196,1005,1015,1176
BS105AQ,BS10 5AQ,BS,107,139,460,,28,103.3,143.3,363.3,10,16.6,36,,4,13.7,17.1,36,0,0,0,1,22,4,26,741,601,,12,669,684,766
BS105AR,BS10 5AR,BS,59.6,75.2,205,9,17,83.5,83.5,,10,11.9,21,5,5,12.8,12.8,,0,0,1,1,15,0,15,497,269,1023,661,451,451,
BS105AS,BS10 5AS,BS,107,129.3,550,5,25,107.3,136.9,404,10,16.6,75,1,4,14,17.5,49,0,0,1,1,27,3,30,506,488,0,421,493,526,822
BS105AT,BS10 5AT,BS,76.8,109.5,593,3.5,26,91.8,127.6,593,10,13.9,39,0.8,8,14.3,16,39,1,2,1,1,26,2,28,484,263,17,579,515,478,0
BS105AU,BS10 5AU,BS,80,105.2,593,3.5,,89.3,115.8,593,10,11.7,39,1,,11.4,12.8,39,0,2,0,0,18,1,19,521,437,52,,515,488,0
