postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CA101AH,CA10 1AH,CA,45.9,48.5,66.2,,,48.5,48.5,,14.2,13.9,20,,,13.8,13.8,,0,0,0,0,6,0,6,190,141,,,190,190,
CA101AJ,CA10 1AJ,CA,55.4,54.9,79.98,,14.5,57.3,57.3,,16.9,14,20,,1,14.8,14.8,,0,0,0,2,34,0,34,313,138,,74,327,327,
CA101AQ,CA10 1AQ,CA,62.4,52,74.02,,14.5,61.4,61.4,,19.3,15.7,20,,1,19.4,19.4,,0,0,0,2,8,0,8,449,267,,2,561,561,
CA101AR,CA10 1AR,CA,55.7,56.1,72.24,,,56.2,56.2,,17,16.5,19.53,,,16.6,16.6,,0,0,0,0,5,0,5,473,490,,,473,473,
CA101AT,CA10 1AT,CA,62.8,56.6,79.75,6,21.5,63.2,63.2,,19,15.7,20,1.5,3.5,17.8,17.8,,0,1,1,2,26,0,26,298,202,1,7,332,332,
CA101AW,CA10 1AW,CA,51.7,53.1,78.49,,,53.1,53.1,,10,12.8,20,,,12.8,12.8,,0,0,0,0,12,0,12,218,74,,,218,218,
CA101AX,CA10 1AX,CA,21,25.2,55,,20.2,55,55,,1.4,2.5,10,,1.3,10,10,,0,0,0,6,1,0,1,272,148,,313,24,24,
CA101BA,CA10 1BA,CA,24.8,27.1,51.06,,18,45.5,45.5,,2.5,3.7,10.1,,1.5,8,8,,0,0,0,4,2,0,2,439,275,,368,580,580,
CA101BB,CA10 1BB,CA,45.2,45.7,58.44,,,45.7,45.7,,10.7,11.3,19.48,,,11.3,11.3,,0,0,0,0,16,0,16,230,135,,,230,230,
CA101BD,CA10 1BD,CA,64.6,62.9,77.51,,,62.9,62.9,,19.9,17.8,20,,,17.8,17.8,,0,0,0,0,11,0,11,193,139,,,193,193,
CA101BF,CA10 1BF,CA,39.9,38.3,50.19,,21,41.8,41.8,,9.8,9.6,16.3,,4.2,10.7,10.7,,0,0,0,6,30,0,30,389,231,,218,423,423,
CA101BG,CA10 1BG,CA,71.4,61.1,79.98,,20,63.9,63.9,,19.3,15.1,20,,1,16.1,16.1,,0,0,0,1,15,0,15,232,158,,0,232,232,
CA101BH,CA10 1BH,CA,39.9,39.7,63.52,,18.8,53.7,53.7,,10,9.7,17.9,,3.5,13.8,13.8,,0,0,0,4,6,0,6,94,56,,64,114,114,
CA101BL,CA10 1BL,CA,46.8,48.6,78.11,5,22.7,53.3,53.3,,10.2,11.8,20,0,8.3,12.7,12.7,,0,0,1,3,26,0,26,281,149,56,122,298,298,
CA101BP,CA10 1BP,CA,80,107,160,,,107,107,,20,22,30,,,22,22,,0,0,0,0,5,0,5,195,154,,,195,195,
CA101BS,CA10 1BS,CA,46.3,46.9,62.64,,,46.9,46.9,,10.6,10.2,15.78,,,10.2,10.2,,0,0,0,0,9,0,9,418,319,,,418,418,
CA101BT,CA10 1BT,CA,39.9,39.4,53.82,,20,40.7,40.7,,8.4,7.9,15.86,,1,8.4,8.4,,0,0,0,1,15,0,15,304,207,,7,303,303,
CA101BU,CA10 1BU,CA,33.4,35.1,79.75,8,24.9,43.1,43.1,,6,7.8,20,0,4.3,10.5,10.5,,0,0,1,18,26,0,26,448,281,28,382,509,509,
CA101BW,CA10 1BW,CA,78.1,78,79.9,,,78,78,,20,19.4,20,,,19.4,19.4,,0,0,0,0,5,0,5,432,345,,,432,432,
CA101BX,CA10 1BX,CA,39.9,48.3,79.98,0,20,60.5,60.5,,12.5,11.4,20,0,3.3,14.6,14.6,,1,0,0,3,11,0,11,184,78,3,186,200,200,
CA101DL,CA10 1DL,CA,56.6,52.2,78.77,7,,61.4,61.4,,17.7,14.4,20,1,,17,17,,0,0,1,0,5,0,5,157,149,31,,182,182,
CA101DQ,CA10 1DQ,CA,76.3,68.5,79.91,8,25,72.6,72.6,,20,17.4,20,0.5,8,18.5,18.5,,0,0,2,1,40,0,40,295,174,106,80,310,310,
CA101DU,CA10 1DU,CA,79.7,67.2,79.91,2,,71,71,,18.3,15.4,20,0,,16.3,16.3,,0,1,0,0,17,0,17,657,303,66,,692,692,
CA101EA,CA10 1EA,CA,34.9,37.6,70.98,1,24.4,45.6,45.6,,9.9,9.5,19.53,1,8.3,10.6,10.6,,1,0,0,7,16,0,16,220,93,12,103,284,284,
CA101EE,CA10 1EE,CA,56.4,58.6,75.81,,,58.6,58.6,,16.2,15.9,20,,,16,16,,0,0,0,0,5,0,5,422,249,,,422,422,
CA101EF,CA10 1EF,CA,52.7,50.6,71.8,,27,52.7,52.7,,10,11.5,20,,10,11.6,11.6,,0,0,0,1,11,0,11,455,372,,62,449,449,
CA101EH,CA10 1EH,CA,46.7,38.1,57.02,5.5,25,45.9,45.9,,9.3,7.9,13.98,0.5,10,9.1,9.1,,0,1,1,1,10,0,10,427,304,97,1071,428,428,
CA101EL,CA10 1EL,CA,39.9,42.2,57.2,,,42.2,42.2,,9.4,9.4,13.44,,,9.4,9.4,,0,0,0,0,10,0,10,142,98,,,142,142,
