postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CB101AA,CB10 1AA,CB,107,104.1,331,8,22.3,125.2,136.7,331,10,10.5,36,1,1.2,12.9,14.2,36,0,0,1,6,17,1,18,256,152,14,338,224,214,39
CB101AG,CB10 1AG,CB,61.9,82.1,460,10,20.6,65.7,104.5,395.5,17.4,13.9,36,1,1,16.2,18.5,36,0,0,1,5,15,2,17,238,94,164,122,244,263,399
CB101AH,CB10 1AH,CB,48.5,87.8,331,,20.5,120,155.2,331,5.6,9.5,36,,1.2,14.2,17.8,36,0,0,0,6,5,1,6,199,130,,77,203,288,717
CB101AJ,CB10 1AJ,CB,22.5,124,593,8,18.4,146.8,266,504.3,1.2,10.1,39,1,1.1,14.7,22.1,37,0,0,1,11,6,3,9,299,110,5,182,488,442,349
CB101AR,CB10 1AR,CB,62.6,54.5,79.98,,17,59.3,59.3,,12,11.9,20,,1,13.3,13.3,,0,0,0,1,8,0,8,282,77,,101,305,305,
CB101AT,CB10 1AT,CB,78.1,110.8,331,,21.3,101.3,124.3,331,17.4,16.1,36,,1.3,16.4,18.4,36,0,0,0,3,18,2,20,357,135,,26,437,407,137
CB101AU,CB10 1AU,CB,79.8,129.2,205,,,129.3,129.3,,20,19,21,,,19,19,,0,0,0,0,7,0,7,369,248,,,316,316,
CB101AW,CB10 1AW,CB,107,141.1,593,4,20.3,112.4,216.6,383.4,10,13.2,39,1,1,10.8,20.7,36.6,0,1,0,7,8,5,13,387,240,12,193,487,491,496
CB101AX,CB10 1AX,CB,72.2,59.7,107,8,,68.3,68.3,,10,12.6,19.99,2,,14.5,14.5,,0,0,1,0,6,0,6,161,27,9,,186,186,
CB101BB,CB10 1BB,CB,79.7,153.3,593,,17,115.4,168.4,593,20,18,39,,1,17.5,19.9,39,0,0,0,1,8,1,9,263,65,,18,294,261,0
CB101BD,CB10 1BD,CB,79.8,119.3,593,,19,97.1,129.3,418.3,10,15.3,39,,1,14.5,16.7,37,0,0,0,3,27,3,30,153,103,,40,151,149,131
CB101BJ,CB10 1BJ,CB,89.8,120.8,593,,,73.8,120.8,418.3,10,13.8,39,,,10.1,13.8,37,0,0,0,0,19,3,22,243,159,,,226,232,269
CB101BN,CB10 1BN,CB,107,159.7,593,,,116.4,159.7,593,10,15.5,39,,,13.2,15.5,39,0,0,0,0,10,1,11,237,198,,,213,194,0
CB101BP,CB10 1BP,CB,107,117.8,205,,,117.8,117.8,,20,16.1,21,,,16.1,16.1,,0,0,0,0,12,0,12,153,96,,,153,153,
CB101BQ,CB10 1BQ,CB,50.9,82.1,205,,18.5,93.6,93.6,,10,10.7,21,,1,12.5,12.5,,0,0,0,2,11,0,11,252,130,,143,248,248,
CB101BT,CB10 1BT,CB,70.5,75.1,205,,21.5,87,87,,20,14.8,21,,1,17.8,17.8,,0,0,0,2,9,0,9,277,213,,5,307,307,
