postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CF101AA,CF10 1AA,CF,18.4,18.2,39.88,4.5,19.5,40,40,,1.2,2.3,10,0.5,1.3,10,10,,1,0,1,4,1,0,1,226,157,16,154,705,705,
CF101AB,CF10 1AB,CF,18.2,18.8,43.89,8,19.6,44,44,,1,1.9,12.68,1,1,13,13,,0,0,3,9,1,0,1,127,48,1,46,732,732,
CF101AD,CF10 1AD,CF,20.4,21.3,37.95,,18,38,38,,1.3,2.8,10,,1.4,10,10,,0,0,0,5,1,0,1,65,65,,26,0,0,
CF101AE,CF10 1AE,CF,18.3,17.9,24.18,8,19.1,,,,1,1,1.28,0.5,1.1,,,,0,0,2,18,0,0,0,39,20,25,36,,,
CF101AF,CF10 1AF,CF,18,17.2,21.26,8,18.2,,,,1.1,1.1,1.67,1,1.1,,,,0,0,1,9,0,0,0,12,9,0,12,,,
CF101AH,CF10 1AH,CF,20.4,22.4,79.66,6.5,20,80,80,,1.1,2.4,20,1,1,20,20,,0,0,2,11,1,0,1,39,20,1,28,39,39,
CF101AQ,CF10 1AQ,CF,125,262.1,1000,6,15.4,105.9,357.7,833.3,1.1,1.1,1.28,0.5,1.1,0,0,0,0,0,2,8,17,9,26,228,204,104,259,0,0,0
CF101AR,CF10 1AR,CF,39.8,48.2,79.91,,22.8,59.4,59.4,,10,10.3,20,,1.3,14.3,14.3,,0,0,0,4,9,0,9,417,262,,186,519,519,
CF101AU,CF10 1AU,CF,21.3,19.1,23.15,0,21.2,,,,1.2,1,1.28,0,1.1,,,,1,0,0,9,0,0,0,15,7,0,15,,,
CF101AY,CF10 1AY,CF,39.1,40.5,79.67,6,13.7,63.6,63.6,,9.2,9.1,20,1,1,15.6,15.6,,0,0,1,3,5,0,5,206,90,163,70,297,297,
CF101BB,CF10 1BB,CF,23.2,45.7,79.67,3,21,79,79,,11.8,10.7,20,1,3.2,20,20,,0,1,0,5,5,0,5,96,47,47,88,37,37,
CF101BF,CF10 1BF,CF,150,246.2,1000,,17.8,121.4,350,750,1.1,1,1.13,,1,0,0,0,0,0,0,5,7,4,11,40,14,,40,0,0,0
CF101BL,CF10 1BL,CF,50,134.3,1000,7,17.4,103.5,176.5,600,1.2,2.7,12.98,0.7,1.2,0.8,0.7,0,0,0,3,9,29,5,34,269,162,95,182,54,46,0
CF101BN,CF10 1BN,CF,50,166.3,1000,6.3,15.3,105.6,277,812.5,1.2,1.5,10,1,1.1,0.4,0.3,0,0,0,3,21,25,8,33,191,124,142,168,26,20,0
CF101BQ,CF10 1BQ,CF,50,105.4,500,6,17.7,100,157.1,500,1,1,1.28,1,1,0,0,0,0,0,1,3,6,1,7,109,109,0,72,0,0,0
CF101BS,CF10 1BS,CF,79.7,60.7,80,7,22,79.2,79.2,,20,14.6,20,1,1,20,20,,0,0,1,1,5,0,5,147,123,0,0,118,118,
CF101BU,CF10 1BU,CF,48.2,45.5,76.33,0,24,74.7,74.7,,10.3,10.3,20,0,1.5,19.7,19.7,,1,0,0,2,3,0,3,54,35,0,67,9,9,
CF101BW,CF10 1BW,CF,77.7,61.6,80,,17,76.5,76.5,,19.3,14.1,20,,1,18.5,18.5,,0,0,0,2,6,0,6,62,52,,130,39,39,
CF101BZ,CF10 1BZ,CF,50,156.8,1000,6.4,14.5,128.1,275,666.7,1,1,1.26,0.6,1.1,0,0,0,0,1,4,13,16,6,22,120,113,75,129,0,0,0
CF101DE,CF10 1DE,CF,89.9,101.2,250,,,101.2,101.2,,14.8,15.1,21,,,6.5,6.5,,0,0,0,0,14,0,14,397,347,,,170,170,
