postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CH11AB,CH1 1AB,CH,78.1,62.9,159.06,8,20.7,75.9,75.9,,19.5,14,29.98,0,1,17.8,17.8,,0,0,1,3,14,0,14,94,18,37,37,103,103,
CH11AF,CH1 1AF,CH,75.6,63.5,79.67,,23,67.6,67.6,,19.5,15.7,20,,1,17.1,17.1,,0,0,0,1,10,0,10,471,288,,78,510,510,
CH11DA,CH1 1DA,CH,23.8,22.7,24.54,,22.6,,,,1.1,1,2.56,,1,,,,0,0,0,14,0,0,0,16,9,,11,,,
CH11ER,CH1 1ER,CH,23.4,46.7,79.75,,22,79.3,79.3,,1.2,9.1,20,,1,20,20,,0,0,0,4,3,0,3,41,36,,16,47,47,
CH11HA,CH1 1HA,CH,21.4,22.3,39.87,,20.1,40,40,,1.1,2.1,10,,1.1,10,10,,0,0,0,8,1,0,1,20,7,,20,1,1,
CH11HB,CH1 1HB,CH,71.2,65.1,328,5,18,73.9,99.3,328,19.5,13.4,49.91,1,1.2,18.9,22,50,0,0,1,6,9,1,10,106,63,12,52,141,127,1
CH11HD,CH1 1HD,CH,23,21.6,39.87,5,21.3,40,40,,1.1,2.1,10,1,1.1,10,10,,0,0,1,7,1,0,1,120,65,0,44,411,411,
CH11HE,CH1 1HE,CH,63.3,58,80,,13,67.2,67.2,,17.2,14.2,20,,1,16.8,16.8,,0,0,0,1,5,0,5,255,153,,0,255,255,
CH11HJ,CH1 1HJ,CH,60.8,59,79.91,,19.3,62.6,62.6,,17.4,14.8,20,,7.3,15.5,15.5,,0,0,0,3,33,0,33,394,293,,189,389,389,
CH11LB,CH1 1LB,CH,23.1,36.9,71.98,7,21,62.7,62.7,,1.1,7.2,19.53,1,1,15.3,15.3,,0,0,1,3,3,0,3,129,44,89,238,33,33,
