postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CM07AA,CM0 7AA,CM,40.8,46.8,79.66,,16,54.5,54.5,,10.2,11.5,20,,1,14.1,14.1,,0,0,0,2,8,0,8,386,266,,514,306,306,
CM07AB,CM0 7AB,CM,68.9,94.9,1000,,19.5,64.9,104.9,665,19.1,18.6,115,,1,16.5,20.9,82.5,0,0,0,4,28,2,30,542,169,,283,449,540,1818
CM07AD,CM0 7AD,CM,40.9,77.2,330,,20.5,73.6,105.6,330,7.7,14.8,50,,5.3,15.3,19.6,50,0,0,0,4,7,1,8,621,512,,370,845,746,53
CM07AE,CM0 7AE,CM,44.4,49.9,160,,22.6,55.5,55.5,,10,10.9,30,,4.4,12.3,12.3,,0,0,0,5,24,0,24,595,459,,247,667,667,
CM07AF,CM0 7AF,CM,39.2,72.3,330,,23.3,56.4,90.6,330,5.9,11,50,,2.7,9,14.1,50,0,0,0,3,7,1,8,369,117,,46,427,490,932
CM07AH,CM0 7AH,CM,58.6,69.1,550,,18.7,69.8,82.1,550,13.6,14.2,75,,1.1,16.1,17.6,75,0,0,0,10,38,1,39,535,321,,198,599,594,439
CM07AJ,CM0 7AJ,CM,40,38.6,59.65,4,16,46.5,46.5,,7.2,7.3,19,1,1,9.2,9.2,,0,1,0,2,10,0,10,291,118,8,9,376,376,
CM07AL,CM0 7AL,CM,60.2,82.8,1000,8.3,19.1,69.4,100,665,14.8,15.8,115,0.7,1.1,16.2,19.6,82.5,0,0,3,7,37,2,39,462,270,77,464,449,492,1286
CM07AN,CM0 7AN,CM,45.9,62.4,160,,22.7,77.4,77.4,,10.5,12,30,,2,15.8,15.8,,0,0,0,3,8,0,8,402,245,,104,514,514,
CM07AP,CM0 7AP,CM,65.2,66.1,160,,21,71.9,71.9,,17.2,14.9,30,,1.2,16.7,16.7,,0,0,0,5,39,0,39,595,518,,321,630,630,
CM07AQ,CM0 7AQ,CM,55.4,54.9,80,6,18.3,62.4,62.4,,10,12.2,20,1,1.3,14.4,14.4,,0,0,1,3,21,0,21,710,261,2,848,724,724,
CM07AS,CM0 7AS,CM,79.7,85.8,160,,,85.8,85.8,,20,18,30,,,18,18,,0,0,0,0,5,0,5,294,225,,,294,294,
