postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CO100AB,CO10 0AB,CO,55.5,58.6,79.66,,13,60.7,60.7,,19.5,16.2,20,,3,16.7,16.7,,0,0,0,1,22,0,22,299,211,,24,312,312,
CO100AD,CO10 0AD,CO,33.4,29.6,71.29,3,11,50.3,50.3,,5.8,6.5,18.03,0.5,0,11.5,11.5,,1,2,1,1,6,0,6,228,118,27,832,224,224,
CO100AH,CO10 0AH,CO,78.1,62,80,8,26.3,68.7,68.7,,19.5,15.6,20,5,8,17,17,,0,0,1,3,24,0,24,713,593,134,496,764,764,
CO100AJ,CO10 0AJ,CO,31.8,32.4,55.96,,22.8,37.6,37.6,,7.5,7.4,18.54,,3.7,9.4,9.4,,0,0,0,6,11,0,11,284,203,,342,253,253,
CO100AQ,CO10 0AQ,CO,42.8,44.3,70.7,2,20,48.2,48.2,,9,10.4,20,1,3,11.4,11.4,,1,0,0,1,17,0,17,282,185,55,65,308,308,
CO100AR,CO10 0AR,CO,40,41.1,73.91,2,28.5,45.1,45.1,,10,10,19.79,1,7.5,10.9,10.9,,0,1,0,2,16,0,16,527,433,2,815,524,524,
CO100AS,CO10 0AS,CO,39.8,38.5,66.75,3.3,29,44.9,44.9,,10,9.3,20,1,6,10.9,10.9,,0,3,0,1,18,0,18,140,46,7,114,156,156,
CO100AT,CO10 0AT,CO,62.5,64.4,79.74,,,64.4,64.4,,19.5,19.5,20,,,19.4,19.4,,0,0,0,0,5,0,5,762,340,,,762,762,
CO100AU,CO10 0AU,CO,51.2,47,74.12,4,,53.1,53.1,,13.5,13.3,20,1,,15.1,15.1,,0,1,0,0,7,0,7,359,87,15,,408,408,
CO100AW,CO10 0AW,CO,33.1,32.3,75.89,3.5,25.4,38.8,38.8,,8.2,8.1,20,1,6,9.8,9.8,,1,2,1,5,23,0,23,664,459,190,854,677,677,
CO100AX,CO10 0AX,CO,69.1,64.2,74.49,,,64.2,64.2,,19.5,17.7,20,,,17.8,17.8,,0,0,0,0,5,0,5,209,64,,,209,209,
CO100AZ,CO10 0AZ,CO,54.1,47.3,73.96,4,,56,56,,15,13.4,20,1,,16,16,,0,1,0,0,5,0,5,181,147,159,,185,185,
CO100BA,CO10 0BA,CO,63.5,60.3,79.67,4,,65.4,65.4,,19.5,15.6,20,0,,16.9,16.9,,0,1,0,0,11,0,11,518,299,22,,563,563,
CO100BB,CO10 0BB,CO,18.5,35.3,160,5,17.8,100,100,,2.5,7.1,30,1,2.8,22.5,22.5,,0,1,0,13,4,0,4,212,61,120,179,235,235,
CO100BD,CO10 0BD,CO,16.3,16.9,30.5,2,17.1,31,31,,2.7,3,6.38,1,3,5,5,,1,0,0,11,1,0,1,104,46,46,114,55,55,
CO100BE,CO10 0BE,CO,13,11.6,21.67,3.5,15.8,,,,2.1,2,3.05,1.5,2.3,,,,1,0,1,4,0,0,0,295,254,127,305,,,
CO100BJ,CO10 0BJ,CO,80,162.9,550,,,98.3,162.9,550,20,27.9,75,,,20,27.9,75,0,0,0,0,6,1,7,508,391,,,527,508,391
