postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CR00AA,CR0 0AA,CR,73.3,109.3,593,6.5,13,78.1,122.5,418.3,19.1,16.1,39,1,7,15,17.9,37,0,1,1,1,20,3,23,847,598,14,119,947,914,701
CR00AB,CR0 0AB,CR,80,143.3,593,8.5,30,90.7,157,461.6,16.5,17.2,39,1,11,14.5,18.6,37.2,0,0,2,1,23,5,28,646,492,310,152,657,618,440
CR00AD,CR0 0AD,CR,39.1,164.7,1096,,14,96.1,221.1,1096,7.2,12.6,49,,3,11.4,16.1,49,0,0,0,3,7,1,8,746,409,,350,916,801,0
CR00AE,CR0 0AE,CR,76.1,71.9,331,4.5,18.7,74.3,90.3,331,10,12.9,36,1,4,14.7,16.1,36,0,1,1,3,15,1,16,487,172,4,24,617,634,896
CR00AF,CR0 0AF,CR,44.4,112.1,1096,8.5,24,70.5,125.8,844.5,9.6,12.1,49,1,7.5,10.8,13.2,44,0,0,2,2,26,2,28,647,532,143,93,697,653,87
CR00AG,CR0 0AG,CR,39.8,74,331,6.7,19.9,99,109.6,331,9.2,10.1,36,0.7,7.6,12.4,13.5,36,1,1,4,7,21,1,22,506,317,51,172,700,713,970
CR00AH,CR0 0AH,CR,79.5,145.1,593,6.5,14.7,131.6,219.3,526.5,8.8,12.7,39,0.5,2,13.7,19,37.5,0,1,1,3,7,2,9,330,187,216,325,234,283,455
CR00AJ,CR0 0AJ,CR,38.3,96.1,1096,9,20.5,81.1,131.8,1096,7.2,9.1,49,1,5,9.6,11.6,49,0,0,3,6,19,1,20,407,283,231,202,500,475,0
CR00AL,CR0 0AL,CR,107,183.7,1096,,12.5,94.1,218,713.5,10,14.4,49,,1,10.6,17,42.5,0,0,0,2,8,2,10,548,345,,252,415,553,1103
CR00AN,CR0 0AN,CR,67.7,134.3,1096,9,18.6,86.6,157.7,620,14.5,15.6,49,1,4.8,14.4,17.8,40,0,0,1,5,26,4,30,814,636,5,612,939,848,259
CR00AP,CR0 0AP,CR,77.1,90.6,205,,14.5,99.6,99.6,,17.8,14.8,21,,1,16.4,16.4,,0,0,0,2,17,0,17,726,714,,160,707,707,
CR00AQ,CR0 0AQ,CR,63.5,182.1,1096,5,25,109.6,219.2,1096,15.5,17.3,49,1,7,16.8,20.3,49,0,0,1,1,8,1,9,798,776,0,554,828,736,0
CR00AR,CR0 0AR,CR,55.7,117,593,,,80.5,117.1,593,10,13.6,39,,,11.7,13.6,39,0,0,0,0,13,1,14,746,686,,,746,693,0
CR00AS,CR0 0AS,CR,72,88.2,331,10,10.5,87.9,97.3,331,12.8,14,36,11,1,14.3,15.1,36,0,0,1,2,25,1,26,799,533,757,29,872,860,572
CR00AT,CR0 0AT,CR,73.4,80.1,205,,11,87.9,87.9,,9.9,9.2,21,,1,10.2,10.2,,0,0,0,1,9,0,9,444,327,,0,444,444,
CR00AU,CR0 0AU,CR,107,121.8,331,,,80,121.8,331,10,14.1,36,,,9.8,14.2,36,0,0,0,0,5,1,6,1030,905,,,1084,1030,757
CR00AW,CR0 0AW,CR,76.3,87.4,331,6,17,89.5,99.2,331,10,12.8,36,1,2.3,13.6,14.5,36,0,0,1,3,24,1,25,547,357,93,679,511,528,934
CR00AX,CR0 0AX,CR,63,119.5,1096,4,,76.6,123.8,713.5,10,14.3,49,1,,12.6,14.8,42.5,0,1,0,0,25,2,27,504,378,47,,540,502,33
CR00AY,CR0 0AY,CR,69.7,126.9,1096,10,13.7,88.5,146,778,12.7,14.5,49,1,2,14.3,16.7,42.5,0,0,1,3,22,2,24,530,330,129,18,598,589,488
CR00AZ,CR0 0AZ,CR,63,88.8,331,9,12.5,72,102.5,331,15,14.9,36,1,1,14.8,17.3,36,0,0,2,4,30,4,34,692,456,219,107,809,789,641
CR00BA,CR0 0BA,CR,73.5,144.1,593,,21,89.8,161.7,593,10,13.9,39,,1,11.8,15.7,39,0,0,0,1,6,1,7,343,390,,152,375,321,0
CR00BB,CR0 0BB,CR,107,128.2,593,4,17,107.4,147.8,593,10,13.7,39,1,1,13.7,15.8,39,0,1,0,1,11,1,12,386,309,103,301,385,353,0
CR00BD,CR0 0BD,CR,53.6,68.7,593,9,15,67.1,90,593,10,12,39,1,2.1,14.8,15.9,39,0,0,1,8,22,1,23,547,144,39,88,738,706,0
CR00BE,CR0 0BE,CR,66.6,105.6,593,,14.7,81.2,119.3,462,10,14.7,39,,2.3,14.3,16.6,37.5,0,0,0,3,18,2,20,427,357,,14,461,446,311
CR00BF,CR0 0BF,CR,50.9,88.3,593,4.5,21.3,66.1,107.7,462,10,12.2,39,0.5,6,11.7,14.4,37.5,1,0,1,3,17,2,19,587,471,0,127,634,567,0
CR00BG,CR0 0BG,CR,40,180.6,1096,10,20.8,99.4,281.9,586,7.5,15.1,49,1,4.5,11.2,22.1,40.3,0,0,1,4,5,3,8,431,390,59,552,352,255,94
CR00BH,CR0 0BH,CR,39,70.4,205,,15.5,84.1,84.1,,8.1,8.6,21,,3,10.1,10.1,,0,0,0,2,8,0,8,539,394,,152,569,569,
CR00BJ,CR0 0BJ,CR,39,83.3,205,,17.3,116.3,116.3,,7.1,9.1,21,,2,12.7,12.7,,0,0,0,3,6,0,6,581,304,,421,661,661,
CR00BL,CR0 0BL,CR,45.3,102.2,593,,20.3,84.8,124.6,435,10,12.5,39,,5.8,11.4,14.3,36.6,0,0,0,12,39,5,44,806,509,,527,841,809,556
CR00BN,CR0 0BN,CR,107,163.7,593,,25,91.2,174.8,439.8,10,16.7,39,,6.5,11.4,17.5,37,0,0,0,2,19,6,25,733,675,,95,827,696,284
CR00BP,CR0 0BP,CR,66.7,121.7,593,7,,68.3,129.4,526.5,19.5,18.4,39,8,,16.2,19.1,37.5,0,0,1,0,13,2,15,782,586,578,,881,796,244
CR00BQ,CR0 0BQ,CR,39.1,103.4,593,8,18,69.2,126.1,505.7,8.3,11.6,39,1,3.6,10.2,13.8,38,0,0,1,5,20,3,23,684,557,162,465,798,725,237
CR00BR,CR0 0BR,CR,20.7,46,107,3,20,107,107,,6.4,6.4,10,1,6,10,10,,0,1,0,3,2,0,2,425,399,43,671,34,34,
CR00BS,CR0 0BS,CR,107,200.3,1096,,18.5,79.1,219.5,523.7,13.9,19.3,49,,4,12.8,20.9,38.7,0,0,0,2,13,6,19,598,514,,133,553,616,753
CR00BT,CR0 0BT,CR,39.8,85.7,331,,20.3,87.6,111.9,331,9.9,11.1,36,,1.3,12.8,15.1,36,0,0,0,4,9,1,10,908,564,,499,909,981,1620
CR00BU,CR0 0BU,CR,39.1,94.7,460,6.5,23.3,100.8,121.9,460,9.8,11.1,36,1,5.5,12.3,13.6,36,0,1,1,4,16,1,17,733,690,128,450,884,871,653
CR00BW,CR0 0BW,CR,107,113.2,593,9,17,103.1,158.3,462,10,11.1,39,1,3.8,10.5,14.7,37.5,0,0,1,5,11,2,13,507,477,241,529,519,480,261
CR00BX,CR0 0BX,CR,29.7,117.1,593,7.5,19.9,126.5,216,462,6.5,12.6,39,1,5.1,14.5,20.6,37.5,0,0,2,13,11,4,15,711,478,223,717,615,580,486
CR00BY,CR0 0BY,CR,39,56.1,205,7.5,22,73.3,73.3,,6.8,7.6,21,0.8,6,9.5,9.5,,0,1,5,4,25,0,25,763,404,147,158,1008,1008,
CR00DA,CR0 0DA,CR,73.1,155.4,593,,22.7,103.9,181.9,396.5,13.2,17.2,39,,2.3,14.1,20.1,36.8,0,0,0,3,11,4,15,705,595,,494,729,700,620
CR00DB,CR0 0DB,CR,80.7,126.6,593,,20,96.9,175,526.5,9.8,11.2,39,,1.2,10.9,15.7,37.5,0,0,0,5,9,2,11,580,148,,84,714,700,638
