postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CT101AA,CT10 1AA,CT,66.9,62,79.76,,20,66.8,66.8,,19,15.5,20,,1,17.1,17.1,,0,0,0,1,9,0,9,620,408,,228,663,663,
CT101AB,CT10 1AB,CT,78.1,72.1,79.98,,,72.1,72.1,,19.8,17.8,20,,,17.8,17.8,,0,0,0,0,10,0,10,330,224,,,330,330,
CT101AF,CT10 1AF,CT,33.8,32.9,64.06,6,24.5,47.3,47.3,,7.8,8.2,19.53,1,5.5,12.7,12.7,,0,0,1,2,3,0,3,297,168,47,164,470,470,
CT101AG,CT10 1AG,CT,54.8,52.6,78.82,,18,59.5,59.5,,12.5,12.9,20,,1,15.3,15.3,,0,0,0,2,10,0,10,477,432,,13,570,570,
CT101AH,CT10 1AH,CT,64.3,56.2,78.02,,19.8,63.8,63.8,,19.5,14.9,20,,1.2,17.8,17.8,,0,0,0,5,24,0,24,515,293,,57,589,589,
CT101AJ,CT10 1AJ,CT,53,43.7,66.93,9,16.4,53.5,53.5,,13.9,12.1,20,1,2.9,15.5,15.5,,0,0,1,8,26,0,26,367,133,99,189,432,432,
CT101AL,CT10 1AL,CT,35,31.4,51.74,2,18,42.7,42.7,,9.7,6.9,15.84,2,2.4,10.4,10.4,,1,0,0,8,12,0,12,193,102,56,224,168,168,
CT101AP,CT10 1AP,CT,71.4,72.7,205,10,,77.5,77.5,,19.5,15.3,21,1,,16.4,16.4,,0,0,1,0,13,0,13,337,228,6,,336,336,
CT101AQ,CT10 1AQ,CT,54.8,50.4,76.89,,16.4,59.8,59.8,,12,12.3,20,,1.2,15.4,15.4,,0,0,0,5,18,0,18,475,174,,290,526,526,
CT101AR,CT10 1AR,CT,63,72.3,460,,18.5,66.1,79.7,460,17.2,14.7,36,,1.3,15.8,16.5,36,0,0,0,4,28,1,29,321,286,,228,305,323,818
CT101AS,CT10 1AS,CT,61,97.9,593,8.5,16.7,72.4,120.2,526.5,18.8,16.1,39,1,1,18,20.1,37.5,0,0,2,3,17,2,19,389,252,165,142,429,431,451
CT101AT,CT10 1AT,CT,45.1,79.6,331,,14,65.3,84.3,331,9.7,11.8,36,,1,10.7,12.5,36,0,0,0,1,13,1,14,306,314,,646,302,282,20
CT101AX,CT10 1AX,CT,45.1,46.4,205,,18,54.8,54.8,,9.4,9,21,,1.2,11.4,11.4,,0,0,0,5,17,0,17,382,85,,22,488,488,
CT101AY,CT10 1AY,CT,61.9,93.6,331,,11,60.4,97.3,331,20,20,36,,1,18.5,20.9,36,0,0,0,1,19,3,22,420,225,,134,387,433,722
CT101AZ,CT10 1AZ,CT,54.7,50,107,,15.5,59.4,59.4,,16.8,12.8,20,,1.2,15.9,15.9,,0,0,0,6,22,0,22,508,309,,255,578,578,
CT101BA,CT10 1BA,CT,68.9,128.5,593,,,62.1,128.5,593,19.8,19.6,39,,,16.9,19.6,39,0,0,0,0,7,1,8,321,242,,,291,321,529
CT101BB,CT10 1BB,CT,74.9,124.4,460,,19.5,88.5,136.1,374,20,19,36,,1,18.1,21.1,36,0,0,0,2,15,3,18,521,185,,65,629,543,112
CT101BD,CT10 1BD,CT,52,95.5,593,,18,53.8,112.1,462,10,14.7,39,,1.3,14.3,17.6,37.5,0,0,0,3,12,2,14,264,32,,13,225,281,612
CT101BE,CT10 1BE,CT,65.4,58.3,76.03,,15,67,67,,19.5,16.5,20,,1,19.6,19.6,,0,0,0,1,5,0,5,182,128,,74,203,203,
CT101BG,CT10 1BG,CT,66.8,80.5,331,,15,85.9,102.3,331,17.9,13.9,36,,1,16.9,18.2,36,0,0,0,5,14,1,15,322,217,,281,327,314,131
CT101BJ,CT10 1BJ,CT,19.6,80,593,,20,107,350,593,4.2,7.4,39,,3.7,10,24.5,39,0,0,0,9,1,1,2,159,73,,168,84,42,0
CT101BN,CT10 1BN,CT,55.3,80.9,593,7.7,14.5,73.7,96.3,593,11.9,13.5,39,0.7,1,15.2,16.3,39,0,0,3,2,22,1,23,341,211,99,191,388,371,0
CT101BP,CT10 1BP,CT,16.3,19.6,39.87,7,17.8,34.7,34.7,,3.2,3.6,8.5,2.5,3,6.7,6.7,,0,1,1,11,3,0,3,173,24,43,136,396,396,
CT101BQ,CT10 1BQ,CT,57,92.3,593,8,18.7,63.1,120.1,462,14.5,14.5,39,1,3.3,15.6,18.7,37.5,0,0,2,3,12,2,14,461,290,169,476,503,434,20
CT101BS,CT10 1BS,CT,24.2,25.9,60.87,10,22.8,46,46,,5.7,6.1,14.3,1,5.8,10,10,,0,0,1,8,2,0,2,194,73,142,211,150,150,
CT101BT,CT10 1BT,CT,28.6,42,331,6.3,21.7,47.5,71.1,331,5.2,6.3,36,1,4.1,7.5,9.9,36,0,0,3,12,11,1,12,257,71,63,88,356,453,1515
CT101BW,CT10 1BW,CT,43.5,53.5,107,,14.5,59.1,59.1,,10,10,20,,1,11.3,11.3,,0,0,0,2,14,0,14,194,168,,118,191,191,
CT101BX,CT10 1BX,CT,43.9,72.2,593,6.7,16.8,57.2,88.3,462,10,12.7,39,1,1.8,14,15.8,37.5,0,1,2,4,24,2,26,291,184,120,176,289,295,364
CT101DA,CT10 1DA,CT,64,84.9,593,9,16.3,66.8,105.8,593,19.5,14.7,39,1,1.2,17.2,18.8,39,0,0,2,6,25,2,27,450,176,31,368,503,466,0
CT101DB,CT10 1DB,CT,66.7,76.1,331,7,15,63.7,88,331,19.5,15.5,36,11,1,15.4,17.3,36,0,0,1,1,10,1,11,565,491,51,280,652,638,491
CT101DD,CT10 1DD,CT,54.3,73.7,331,8,12.3,72.8,101.4,331,16.6,13.5,36,1,2.7,16.3,18.4,36,0,0,1,3,8,1,9,428,173,10,388,546,489,26
CT101DE,CT10 1DE,CT,53.3,75.6,593,,18.3,59.9,83.1,593,10.3,14,39,,3.3,14.3,15.4,39,0,0,0,3,22,1,23,677,512,,205,710,679,0
CT101DF,CT10 1DF,CT,54.4,56.8,205,,15,66.7,66.7,,17.6,13.2,21,,0.8,16.2,16.2,,0,0,0,5,21,0,21,428,312,,472,397,397,
