postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CV100AA,CV10 0AA,CV,79.7,103.4,331,,14.7,87.6,122.4,331,10,12.9,36,,1,12.1,15.5,36,0,0,0,3,12,2,14,886,573,,798,749,715,512
CV100AB,CV10 0AB,CV,55,94.2,331,8,18,105.2,120.3,331,10,12.2,36,1,2.3,14.1,15.5,36,0,0,1,4,14,1,15,434,167,373,171,396,479,1645
CV100AF,CV10 0AF,CV,63.9,64.1,78.41,,,64.1,64.1,,19.5,17.1,20,,,17.1,17.1,,0,0,0,0,10,0,10,612,427,,,612,612,
CV100AG,CV10 0AG,CV,30.9,34.1,79.67,7,15.5,50.3,50.3,,7.7,7.9,20,1,1,13,13,,0,0,1,2,4,0,4,368,30,23,30,531,531,
CV100AN,CV10 0AN,CV,79.7,100.9,205,7,,109.5,109.5,,19.5,16,21,1,,17.4,17.4,,0,0,1,0,11,0,11,586,239,49,,635,635,
CV100AQ,CV10 0AQ,CV,33.8,31,41.17,6.5,25.5,37.1,37.1,,8.1,7.8,10,3,7.5,8.5,8.5,,0,0,2,8,15,0,15,689,453,351,689,735,735,
CV100AS,CV10 0AS,CV,67.3,55.6,80,6,24,69,69,,15,13.5,20,1,7,16.7,16.7,,0,0,1,1,6,0,6,264,201,44,64,335,335,
CV100AU,CV10 0AU,CV,66.1,78.6,593,,16,63.7,83.3,593,19.3,16.7,39,,1,17.1,17.9,39,0,0,0,2,26,1,27,585,480,,32,606,583,0
CV100AW,CV10 0AW,CV,78.1,64.4,107,,12.5,77.4,77.4,,19.5,14,20,,1,17.3,17.3,,0,0,0,2,8,0,8,618,520,,240,713,713,
CV100AZ,CV10 0AZ,CV,59.5,70.7,205,4,23,85.5,85.5,,10,11.8,21,0,12.5,12.6,12.6,,0,1,0,2,11,0,11,182,62,20,135,173,173,
CV100BA,CV10 0BA,CV,75.5,76.5,331,5,18.2,76.4,89.4,331,10,13.9,36,3,1.8,15.2,16.3,36,0,1,2,5,37,2,39,359,284,82,98,414,405,237
CV100BB,CV10 0BB,CV,71.4,86.2,331,7.5,13.4,87.1,100.3,331,19.5,15,36,8.5,1.2,16.1,17.2,36,0,1,1,5,35,2,37,334,207,258,68,358,365,491
CV100BD,CV10 0BD,CV,107,106.6,331,,17.3,100.1,128.9,331,10,14.5,36,,5.5,14,16.8,36,0,0,0,4,14,2,16,465,212,,89,575,530,210
CV100BE,CV10 0BE,CV,56.3,100.3,593,9,21,87.2,106.9,462,10,12.3,39,1,4,11.6,13,37.5,0,0,1,2,36,2,38,360,158,169,10,370,355,90
CV100BF,CV10 0BF,CV,107,209.2,1000,4.5,,136.8,229.2,515.6,10,19.6,115,0.5,,13.9,21.5,45.1,0,2,2,0,31,10,41,519,417,72,,493,461,365
CV100BG,CV10 0BG,CV,79.1,93.1,205,7,,98.5,98.5,,19.5,15.3,21,1,,16.3,16.3,,0,0,1,0,16,0,16,341,303,0,,341,341,
CV100BH,CV10 0BH,CV,29.4,29,76.33,5,24.5,42.2,42.2,,7,7,20,1,6.3,10.2,10.2,,0,1,1,4,5,0,5,121,23,8,36,234,234,
CV100BL,CV10 0BL,CV,52,133.3,1096,7.5,16.8,86.9,156.5,588,10,13,49,1,4.2,11,14.9,39.2,0,0,2,5,31,5,36,405,278,16,216,412,397,305
