postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
CW100AA,CW10 0AA,CW,17.2,41.2,79.91,,12.8,79.3,79.3,,1.2,8.9,20,,1,19.7,19.7,,0,0,0,4,3,0,3,281,258,,323,224,224,
CW100AB,CW10 0AB,CW,53.9,51.2,79.66,7,17.8,59,59,,17.4,13.8,20,1,2.8,16.3,16.3,,0,0,1,4,23,0,23,394,207,69,228,438,438,
CW100AD,CW10 0AD,CW,79.4,95.2,325.71,,16,85.7,99.8,326,20,21,49.98,,1,20.4,22.1,50,0,0,0,1,16,1,17,642,548,,98,699,674,279
CW100AE,CW10 0AE,CW,65.4,64.7,294.58,,19,68.5,68.5,,14.2,14.1,40.22,,1.7,15.1,15.1,,0,0,0,3,36,0,36,706,495,,1359,652,652,
CW100AF,CW10 0AF,CW,52.3,51.2,76.64,,21,56.6,56.6,,10.5,13.3,20,,9.7,13.9,13.9,,0,0,0,3,17,0,17,826,599,,868,819,819,
CW100AG,CW10 0AG,CW,40,43.7,80,7,15.2,59.4,59.4,,10,10.8,20,1,1.2,15.6,15.6,,0,1,2,5,16,0,16,243,89,76,44,322,322,
CW100AH,CW10 0AH,CW,78.1,99.3,328.29,,18,79.6,108.8,328,19.5,20.4,49.99,,1,19,22.6,50,0,0,0,2,15,2,17,654,300,,64,746,724,554
CW100AJ,CW10 0AJ,CW,50.7,53.5,158.25,6,13.4,64.3,64.3,,9.6,10.5,24.19,1,2,12.8,12.8,,0,0,1,8,34,0,34,694,468,112,167,814,814,
CW100AN,CW10 0AN,CW,71.9,62.2,79.66,10,11,66.8,66.8,,19.5,15.8,20,1,1,17.1,17.1,,0,0,1,1,23,0,23,472,292,51,268,499,499,
CW100AQ,CW10 0AQ,CW,76.4,60.7,79.67,,14,76.2,76.2,,19.5,15.1,20,,1,19.8,19.8,,0,0,0,2,6,0,6,670,322,,53,876,876,
