postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DA100AB,DA10 0AB,DA,54.1,44.8,76.33,8,13.5,61.8,61.8,,12.9,11.9,20,3,1,16.9,16.9,,0,0,2,2,8,0,8,408,291,148,574,431,431,
DA100AD,DA10 0AD,DA,43.3,41.8,79.67,7.6,,57.4,57.4,,12.6,11,20,1,,15.5,15.5,,0,0,5,0,11,0,11,750,219,80,,1055,1055,
DA100AE,DA10 0AE,DA,20.6,33.7,79.53,7.8,13.6,60.6,60.6,,3.2,8.5,20,1,1.7,16.9,16.9,,0,0,6,7,11,0,11,844,285,147,583,1390,1390,
DA100AF,DA10 0AF,DA,54.3,43,67.55,8,,60.5,60.5,,10,10.3,20,1,,15,15,,0,0,2,0,4,0,4,576,600,458,,635,635,
DA100AG,DA10 0AG,DA,39.9,40.2,78.12,7.3,12.4,56.1,56.1,,10,10.9,20,1,1.2,16.1,16.1,,0,1,3,5,17,0,17,273,179,57,145,346,346,
DA100AH,DA10 0AH,DA,29.1,33.5,78.12,7.3,14.8,54.9,54.9,,9.6,8.5,19.98,1,2.8,14.8,14.8,,0,0,3,5,8,0,8,567,349,230,561,696,696,
DA100AJ,DA10 0AJ,DA,64.7,57.8,78.12,6,,68,68,,14.8,13.3,19.98,1,,15.8,15.8,,0,0,1,0,5,0,5,448,244,205,,497,497,
DA100AL,DA10 0AL,DA,72.6,60.8,78.12,8,,65.1,65.1,,19.5,16.3,19.98,1,,17.5,17.5,,0,0,1,0,12,0,12,883,708,75,,951,951,
DA100AN,DA10 0AN,DA,67.8,59.6,77.53,7,,62.6,62.6,,19.5,15.9,19.98,1,,16.7,16.7,,0,0,1,0,18,0,18,745,633,3,,786,786,
DA100AQ,DA10 0AQ,DA,72.7,69.1,158.92,7,,73,73,,19.5,17.6,29.97,1,,18.7,18.7,,0,0,1,0,16,0,16,535,331,0,,568,568,
DA100AR,DA10 0AR,DA,76,73.9,79.91,,,74,74,,19.5,18.8,20,,,18.8,18.8,,0,0,0,0,6,0,6,333,291,,,333,333,
DA100AS,DA10 0AS,DA,61.1,54.6,79.72,,23,62.5,62.5,,17,14.6,20,,8,16.3,16.3,,0,0,0,2,8,0,8,569,418,,547,575,575,
DA100AT,DA10 0AT,DA,55.4,52.4,69.95,6,,59.1,59.1,,17.2,14.6,20,0,,16.7,16.7,,0,0,1,0,7,0,7,751,474,0,,751,751,
DA100AU,DA10 0AU,DA,71,63,79.91,10,,71.8,71.8,,19.5,15.6,20,1,,18,18,,0,0,1,0,6,0,6,516,345,345,,545,545,
DA100AW,DA10 0AW,DA,62.5,55.8,78.75,9,,60.1,60.1,,17.2,15.1,20,1,,16.4,16.4,,0,0,1,0,11,0,11,561,314,10,,611,611,
DA100AX,DA10 0AX,DA,54.8,49.5,71.69,6.5,,54.1,54.1,,19,14.7,20,1,,16.2,16.2,,0,0,2,0,19,0,19,590,397,161,,636,636,
