postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DD100AA,DD10 0AA,DD,4.4,6.2,18.23,4.6,18,,,,0.8,0.8,1.2,0.8,1,,,,0,5,3,1,0,0,0,74,62,74,0,,,
DD100AG,DD10 0AG,DD,8,8.5,16.89,7.2,17,,,,1.1,1.3,2.08,1.3,1,,,,0,1,5,1,0,0,0,104,99,95,157,,,
DD100AJ,DD10 0AJ,DD,47.2,46.3,58.27,,,46.3,46.3,,9.1,8.5,11.27,,,8.5,8.5,,0,0,0,0,21,0,21,433,335,,,433,433,
DD100AQ,DD10 0AQ,DD,4,4.2,7.61,4.1,,,,,0.9,0.9,1.22,0.9,,,,,1,4,2,0,0,0,0,120,68,120,,,,
DD100AU,DD10 0AU,DD,55,72.5,160,,22.5,97.5,97.5,,10,12.9,30,,1.3,18.8,18.8,,0,0,0,4,8,0,8,649,707,,290,748,748,
DD100AX,DD10 0AX,DD,66.9,56.8,76.33,,16,60.2,60.2,,15.4,14.7,20,,5,15.5,15.5,,0,0,0,1,12,0,12,538,367,,242,563,563,
DD100AY,DD10 0AY,DD,71.8,64.2,79.67,,19.5,67.4,67.4,,19.3,15.8,20,,5.5,16.6,16.6,,0,0,0,2,28,0,28,502,419,,258,519,519,
DD100AZ,DD10 0AZ,DD,60.8,61.9,78.12,,,61.8,61.8,,17.3,15.6,19.53,,,15.7,15.7,,0,0,0,0,6,0,6,484,474,,,484,484,
DD100BA,DD10 0BA,DD,39.4,42.4,79.67,6.5,19.3,49.8,49.8,,7.5,8.5,20,0.5,1.3,10.5,10.5,,0,1,1,3,19,0,19,347,176,1,435,369,369,
DD100BD,DD10 0BD,DD,58.4,57.1,79.91,,21,61.6,61.6,,13.7,13.9,20,,5.5,14.9,14.9,,0,0,0,2,16,0,16,408,265,,418,407,407,
