postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DE110AG,DE11 0AG,DE,76.4,52.7,80,,13.5,78.7,78.7,,20,12.4,20,,1,20,20,,0,0,0,2,3,0,3,98,31,,176,46,46,
DE110AN,DE11 0AN,DE,48.8,51.8,80,7,14,63.6,63.6,,17,12.9,20,1,1,16.3,16.3,,0,0,1,1,7,0,7,84,41,37,111,87,87,
DE110AP,DE11 0AP,DE,62.5,53.5,80,,20,70.3,70.3,,14.8,12.7,20,,3.5,17.5,17.5,,0,0,0,2,4,0,4,1090,555,,1028,1121,1121,
DE110AR,DE11 0AR,DE,39.8,40.6,79.66,,12.5,51.8,51.8,,10,10.3,20,,1,14,14,,0,0,0,2,5,0,5,146,86,,104,134,134,
DE110AS,DE11 0AS,DE,77.7,68.5,80,,14,75.3,75.3,,20,17.7,20,,1,19.8,19.8,,0,0,0,1,8,0,8,761,693,,422,803,803,
DE110AT,DE11 0AT,DE,67.4,62.4,73.75,,,62.3,62.3,,17.7,16.4,20,,,16.3,16.3,,0,0,0,0,9,0,9,575,649,,,575,575,
DE110AU,DE11 0AU,DE,65.1,61.5,75.69,,,61.5,61.5,,19.7,16.6,20,,,16.6,16.6,,0,0,0,0,8,0,8,516,247,,,516,516,
DE110AW,DE11 0AW,DE,47.4,49.9,80,8,15,64.5,64.5,,10,11.8,20,0.5,1,16,16,,0,0,2,3,13,0,13,475,353,276,470,471,471,
DE110AX,DE11 0AX,DE,39.8,42.9,78.12,8.5,13,67.5,67.5,,10,10.3,20,1,1,17.3,17.3,,0,0,2,1,4,0,4,601,463,281,806,710,710,
DE110AY,DE11 0AY,DE,39.8,39.8,78.12,8.5,12.3,58.7,58.7,,10,10.1,20,1,0.9,16.2,16.2,,0,0,2,8,15,0,15,507,267,2,276,697,697,
DE110AZ,DE11 0AZ,DE,54.8,46.1,75.02,,18,64.7,64.7,,10,10.5,17.46,,5,14.3,14.3,,0,0,0,2,3,0,3,434,403,,216,580,580,
DE110BA,DE11 0BA,DE,68.4,58.5,79.67,6,11,64.1,64.1,,19.5,15.4,20,1,1,17,17,,0,0,1,1,18,0,18,379,140,3,26,419,419,
DE110BD,DE11 0BD,DE,78.1,67.1,80,,,67.1,67.1,,20,17.7,20,,,17.6,17.6,,0,0,0,0,14,0,14,390,299,,,390,390,
DE110BE,DE11 0BE,DE,40,43.7,76.47,6.5,22,55.3,55.3,,10,12.2,20,1,5.3,15.8,15.8,,0,1,1,3,12,0,12,401,75,13,212,513,513,
DE110BG,DE11 0BG,DE,58.3,52,158.8,6,13,65.5,65.5,,17.1,12.9,29.98,1,0.8,16.7,16.7,,0,2,4,5,35,0,35,268,132,35,167,323,323,
DE110BH,DE11 0BH,DE,40.9,39.3,76.65,7,13.8,49.7,49.7,,10,9.7,20,1,4.3,12.3,12.3,,0,0,2,4,16,0,16,582,465,34,501,635,635,
DE110BJ,DE11 0BJ,DE,50.8,46.6,68.05,,18.5,56,56,,10.9,12.6,19.53,,7.5,14.3,14.3,,0,0,0,2,6,0,6,529,432,,130,662,662,
DE110BL,DE11 0BL,DE,50.8,49.2,69.46,9,,53.8,53.8,,16.3,14.2,20,1,,15.7,15.7,,0,0,1,0,9,0,9,445,82,82,,436,436,
DE110BQ,DE11 0BQ,DE,70,58.1,156.15,5.7,11,73.9,73.9,,19.3,13.9,29.32,1,1,17.8,17.8,,0,2,4,1,23,0,23,415,277,119,3,493,493,
DE110BS,DE11 0BS,DE,58,55,79.67,5,14,58.7,58.7,,14.2,14.3,20,1,14,14.8,14.8,,0,1,0,1,25,0,25,485,507,274,885,477,477,
DE110BU,DE11 0BU,DE,78.1,58,79.66,4,12,68.4,68.4,,19.5,12.9,20,1,1,15.5,15.5,,0,1,0,2,14,0,14,644,468,194,641,677,677,
DE110BW,DE11 0BW,DE,74.9,67,79.67,,25,71.2,71.2,,19.5,16.7,20,,6,17.8,17.8,,0,0,0,1,10,0,10,429,302,,105,462,462,
DE110BX,DE11 0BX,DE,68.2,64.7,156.17,3,13,71.8,71.8,,19.5,15.7,29.33,1,1,17.6,17.6,,0,1,0,1,16,0,16,275,199,17,454,280,280,
