postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DG109AA,DG10 9AA,DG,39.5,44.6,76.33,,21.5,56,56,,11.4,13.8,20,,11.5,15,15,,0,0,0,2,4,0,4,348,206,,153,445,445,
DG109AB,DG10 9AB,DG,76.3,64.1,79.67,,22,71,71,,19.5,16.9,20,,1,19.5,19.5,,0,0,0,1,6,0,6,206,120,,120,220,220,
DG109AH,DG10 9AH,DG,53.7,59.5,79.67,,,59.4,59.4,,14.5,14.5,20,,,14.4,14.4,,0,0,0,0,9,0,9,277,105,,,277,277,
DG109AL,DG10 9AL,DG,39.9,36.9,73,7,14.3,49.1,49.1,,7.5,6.9,18.45,1,1,9.9,9.9,,0,0,1,3,8,0,8,172,131,60,58,228,228,
DG109AP,DG10 9AP,DG,44,42,73.96,,19.3,55.6,55.6,,10.9,10.2,20,,4,13.8,13.8,,0,0,0,3,5,0,5,272,123,,25,365,365,
DG109AR,DG10 9AR,DG,60.3,60.4,76.89,,,60.4,60.4,,14.4,14.8,20,,,14.8,14.8,,0,0,0,0,8,0,8,418,418,,,419,419,
DG109AS,DG10 9AS,DG,54.8,46,78.13,6,21.5,68.3,68.3,,10,9.6,20,0,1,16,16,,0,0,1,2,4,0,4,296,225,34,270,375,375,
DG109AW,DG10 9AW,DG,65.2,59.1,79.67,,23,65.1,65.1,,13.9,13.6,20,,1,15.7,15.7,,0,0,0,2,12,0,12,430,59,,20,498,498,
DG109AX,DG10 9AX,DG,37.2,38.8,75.14,10,21.7,54.8,54.8,,4.8,8,18.61,1,5.3,11,11,,0,0,1,3,5,0,5,214,142,33,347,170,170,
DG109AY,DG10 9AY,DG,78.1,73.8,80,,,73.8,73.8,,19.5,17.8,20,,,17.8,17.8,,0,0,0,0,17,0,17,594,508,,,594,594,
DG109BA,DG10 9BA,DG,43,46.3,64.72,,21,50.5,50.5,,9.2,8.4,13.46,,1,9.7,9.7,,0,0,0,1,6,0,6,783,954,,54,905,905,
DG109BB,DG10 9BB,DG,39.5,40.1,78.12,,19.8,51.7,51.7,,8.9,8.5,19.53,,2,12.3,12.3,,0,0,0,4,7,0,7,453,334,,276,554,554,
DG109BD,DG10 9BD,DG,43.5,43,59.97,,16,45.7,45.7,,8.1,7.8,11.41,,3,8.2,8.2,,0,0,0,1,10,0,10,375,416,,459,367,367,
DG109BE,DG10 9BE,DG,38.8,37.9,78.86,,20,44.8,44.8,,6.5,6.9,19.99,,2,8.8,8.8,,0,0,0,5,13,0,13,324,222,,283,339,339,
DG109BF,DG10 9BF,DG,54.8,54.2,79.67,,16,68.5,68.5,,10,12.1,20,,1,16.3,16.3,,0,0,0,3,8,0,8,121,89,,59,145,145,
DG109BG,DG10 9BG,DG,39.8,37,68.13,1,21.2,45.8,45.8,,6.5,6.4,11.78,1,3.6,7.9,7.9,,1,0,0,5,13,0,13,476,195,39,673,434,434,
DG109BH,DG10 9BH,DG,51.2,44.7,54.78,,22,49.2,49.2,,10,10,15.63,,1,11.8,11.8,,0,0,0,1,5,0,5,458,270,,122,525,525,
DG109BJ,DG10 9BJ,DG,39.8,42.7,80,,21.5,48.9,48.9,,9.3,8.4,20,,1,10.4,10.4,,0,0,0,2,7,0,7,304,263,,505,247,247,
DG109BN,DG10 9BN,DG,45.2,48.1,76.27,,16,52.6,52.6,,7.2,10.8,20,,1,12.1,12.1,,0,0,0,1,7,0,7,263,59,,49,256,256,
DG109BP,DG10 9BP,DG,53.3,36.8,54.84,0,21,54.3,54.3,,10,8.2,19.54,0,1,13.3,13.3,,1,0,0,1,3,0,3,96,56,10,16,119,119,
DG109BQ,DG10 9BQ,DG,40,41.2,62.89,,23.5,48.2,48.2,,8.5,7.7,10.38,,3.5,9.2,9.2,,0,0,0,2,5,0,5,397,343,,555,333,333,
DG109BS,DG10 9BS,DG,40,48.5,78.12,,,48.5,48.5,,10,11.4,19.53,,,11.3,11.3,,0,0,0,0,6,0,6,491,493,,,491,491,
DG109BU,DG10 9BU,DG,40.8,42.8,78.12,,18.3,48.9,48.9,,8.1,8.9,19.98,,3.3,10.3,10.3,,0,0,0,3,12,0,12,307,149,,66,367,367,
DG109DB,DG10 9DB,DG,64.7,58.7,80,8,23,61.9,61.9,,16.6,14,20,0,1,15,15,,0,0,1,1,27,0,27,381,242,10,417,394,394,
DG109DD,DG10 9DD,DG,71.5,66.9,80,,,66.9,66.9,,19.5,17.9,20,,,17.9,17.9,,0,0,0,0,18,0,18,462,432,,,462,462,
DG109DE,DG10 9DE,DG,39.8,38.5,65.06,,17.2,48.2,48.2,,7.6,7.5,20,,1.5,10.3,10.3,,0,0,0,6,13,0,13,283,123,,113,362,362,
DG109DF,DG10 9DF,DG,48.8,48.7,79.67,,23.3,56.4,56.4,,10,10.7,20,,5.7,12.2,12.2,,0,0,0,3,10,0,10,324,269,,271,340,340,
DG109DH,DG10 9DH,DG,52.6,51.3,78.56,,18.7,59.2,59.2,,11,12,20,,2.2,14.3,14.3,,0,0,0,6,25,0,25,499,275,,245,560,560,
DG109DN,DG10 9DN,DG,58.1,53.7,79.99,8,,62.8,62.8,,14.8,13.4,20,1,,16,16,,0,0,1,0,5,0,5,475,434,101,,550,550,
