postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DH11AB,DH1 1AB,DH,72.8,72.6,78.11,,,72.6,72.6,,20,19.9,20,,,20,20,,0,0,0,0,5,0,5,288,196,,,173,173,
DH11AD,DH1 1AD,DH,75.8,67.7,80,,,67.7,67.7,,19.8,18,20,,,18,18,,0,0,0,0,20,0,20,510,385,,,459,459,
DH11AE,DH1 1AE,DH,64.2,59.1,78.12,,26,63.9,63.9,,17.1,16,20,,15,16.3,16.3,,0,0,0,1,7,0,7,754,542,,205,617,617,
DH11AF,DH1 1AF,DH,40,47.6,79.67,,24.5,48.7,48.7,,8.7,10.8,20,,6,11.1,11.1,,0,0,0,2,41,0,41,358,303,,19,322,322,
DH11AH,DH1 1AH,DH,39.1,36.6,63.49,2.8,24.3,43,43,,7.9,7.8,20,2,5.8,8.9,8.9,,3,1,1,4,34,0,34,491,204,26,738,415,415,
DH11AL,DH1 1AL,DH,61.1,53.4,79.48,2.5,15.5,58.5,58.5,,15,14.1,20,0.5,1,15.7,15.7,,1,1,0,2,35,0,35,335,300,16,246,291,291,
DH11AN,DH1 1AN,DH,46.3,41.6,56.35,,25,46.4,46.4,,9.3,8.6,12,,5,9.7,9.7,,0,0,0,2,7,0,7,202,131,,48,218,218,
DH11AP,DH1 1AP,DH,77.3,62.8,79.67,8,,66.3,66.3,,19.5,16.3,20,1,,17.3,17.3,,0,0,1,0,16,0,16,295,294,35,,256,256,
DH11AQ,DH1 1AQ,DH,40,43.2,65.46,2,28,45.8,45.8,,10,9.6,19.44,1,5,10.2,10.2,,1,0,0,2,27,0,27,353,205,0,58,349,349,
DH11AS,DH1 1AS,DH,54.8,52.4,80,4,,57,57,,15.6,14,20,0.7,,15.3,15.3,,0,3,0,0,31,0,31,480,245,75,,504,504,
DH11AT,DH1 1AT,DH,72.8,65.3,80,3.5,,69.5,69.5,,19.5,16.7,20,0.5,,17.7,17.7,,0,2,0,0,30,0,30,395,234,20,,354,354,
DH11AW,DH1 1AW,DH,74.1,60.5,79.67,3.5,,69.2,69.2,,19.5,15.8,20,0.5,,18.2,18.2,,0,2,0,0,13,0,13,520,416,49,,552,552,
DH11AZ,DH1 1AZ,DH,71.1,66.8,79.76,3,,69,69,,19.5,17,20,0,,17.6,17.6,,0,1,0,0,29,0,29,268,199,13,,231,231,
DH11BA,DH1 1BA,DH,77.2,69.9,79.91,,,69.9,69.9,,20,18,20,,,18.1,18.1,,0,0,0,0,16,0,16,268,136,,,252,252,
DH11BB,DH1 1BB,DH,49.2,46,66.33,10,,53.2,53.2,,11,11,16.71,1,,13,13,,0,0,1,0,5,0,5,310,171,62,,360,360,
DH11BD,DH1 1BD,DH,76.3,59.7,80,3,,71.9,71.9,,19.5,15.8,20,0.7,,19.1,19.1,,0,3,0,0,14,0,14,211,155,35,,189,189,
DH11BJ,DH1 1BJ,DH,58.2,55.7,80,5,,61.3,61.3,,14.8,13.2,20,1,,14.6,14.6,,0,0,1,0,9,0,9,185,159,318,,170,170,
DH11BL,DH1 1BL,DH,54.8,58.7,80,,,58.7,58.7,,17.3,15,20,,,15,15,,0,0,0,0,19,0,19,375,317,,,336,336,
DH11BQ,DH1 1BQ,DH,39.8,42.6,80,4,23.3,57,57,,9.8,10.6,20,0.7,5.7,14.3,14.3,,0,9,3,3,36,0,36,315,179,98,303,353,353,
DH11DA,DH1 1DA,DH,72.6,54.6,80,7.5,12,74.1,74.1,,19.8,13.3,20,1,1,18.6,18.6,,0,0,2,1,7,0,7,256,171,71,171,284,284,
DH11DB,DH1 1DB,DH,57.6,49.9,79.66,8,19,67.5,67.5,,12.2,11.6,20,1,2,16.4,16.4,,0,0,4,2,13,0,13,453,258,116,84,613,613,
DH11DD,DH1 1DD,DH,40,48.3,79.67,6,,53.2,53.2,,10,12.5,20,0.5,,13.9,13.9,,0,1,1,0,17,0,17,449,294,65,,495,495,
DH11DE,DH1 1DE,DH,38.2,33.6,54.94,6,29,44.3,44.3,,7.2,6.4,10,1,4,9,9,,0,0,1,1,3,0,3,68,58,18,133,63,63,
DH11DF,DH1 1DF,DH,47.4,42.7,75.02,8.5,13,62.4,62.4,,13.2,12.3,20,1,16,16,16,,0,0,2,1,5,0,5,215,96,105,999,102,102,
DH11DH,DH1 1DH,DH,18.1,31.5,73.21,5,18,71.5,71.5,,8.1,9.6,20,1,8,20,20,,0,1,1,2,2,0,2,475,203,104,175,1145,1145,
DH11DJ,DH1 1DJ,DH,71.6,56.1,80,9,11.2,69.1,69.1,,19.5,14,20,1,1,17.7,17.7,,0,0,3,5,28,0,28,553,298,145,87,680,680,
DH11DL,DH1 1DL,DH,46.4,46.8,80,6.3,21.5,58.7,58.7,,9.5,10.9,20,0.7,4.8,13.9,13.9,,0,1,2,6,23,0,23,257,151,88,169,302,302,
DH11DN,DH1 1DN,DH,39.1,39.2,68.22,6,17.5,47.1,47.1,,8,9.4,20,1,3,11.6,11.6,,0,0,2,2,14,0,14,326,266,124,14,400,400,
DH11DP,DH1 1DP,DH,54.8,42.9,60.99,6,,57.8,57.8,,9.6,7.9,13.43,0.5,,10.8,10.8,,0,0,2,0,5,0,5,303,124,237,,329,329,
DH11DQ,DH1 1DQ,DH,57.9,58.1,73.35,,,58.2,58.2,,12.7,12.7,16.34,,,12.7,12.7,,0,0,0,0,6,0,6,793,524,,,793,793,
DH11DR,DH1 1DR,DH,34.2,34,46.82,10,29,37.2,37.2,,7.2,6.4,8.03,1,4,7.2,7.2,,0,0,1,1,9,0,9,400,257,52,90,474,474,
DH11DS,DH1 1DS,DH,30.2,31.7,50.5,7,28.5,37.8,37.8,,6.5,6,7.9,1,7,6,6,,0,0,1,4,6,0,6,127,134,41,86,169,169,
DH11DT,DH1 1DT,DH,39.1,27.8,46.5,6.3,,44,44,,6,4.6,8.34,1,,7.5,7.5,,0,0,3,0,4,0,4,103,21,21,,165,165,
DH11DU,DH1 1DU,DH,40,40.5,73.27,7.7,16,51,51,,8.8,9.1,20,1,5.5,11.4,11.4,,0,0,3,2,14,0,14,317,247,152,166,374,374,
DH11DW,DH1 1DW,DH,50.1,54.9,75.62,,,54.8,54.8,,13.8,14.3,19.6,,,14.3,14.3,,0,0,0,0,6,0,6,471,346,,,471,471,
DH11DX,DH1 1DX,DH,39.1,34,77.92,7.8,23.5,43.5,43.5,,7.1,7.1,19.53,0.8,6,9.2,9.2,,0,0,5,2,16,0,16,360,149,48,694,416,416,
DH11DY,DH1 1DY,DH,8.6,19.4,47.71,7.8,,42.7,42.7,,1,3.4,9.96,0.8,,8.3,8.3,,0,0,6,0,3,0,3,265,241,125,,546,546,
DH11DZ,DH1 1DZ,DH,34.9,31.3,60.12,6.5,19.5,38.1,38.1,,7.4,6.8,14.32,0.8,7,8.2,8.2,,0,1,3,2,18,0,18,163,142,34,90,200,200,
DH11EA,DH1 1EA,DH,39.1,37.4,78.5,5.8,12.7,50,50,,9,8,20,0.8,2.3,10.9,10.9,,1,2,7,3,31,0,31,387,275,61,62,487,487,
DH11EB,DH1 1EB,DH,74.7,57,80,8,11,71.3,71.3,,19.5,14.8,20,0.5,1,19,19,,0,0,2,1,10,0,10,420,264,44,0,496,496,
DH11ED,DH1 1ED,DH,60.3,53.4,79.67,6.3,10,66.6,66.6,,12.9,11.9,20,1,1,15,15,,0,1,2,1,14,0,14,328,76,27,49,389,389,
DH11EF,DH1 1EF,DH,71.3,68.4,79.65,,,68.4,68.4,,19.5,18.4,20,,,18.5,18.5,,0,0,0,0,8,0,8,465,325,,,465,465,
DH11EG,DH1 1EG,DH,69.6,65.8,79.91,,,65.8,65.8,,20,18.3,20,,,18.3,18.3,,0,0,0,0,20,0,20,580,437,,,464,464,
DH11EL,DH1 1EL,DH,76,62.2,79.91,,,62.2,62.2,,16.6,15,20,,,14.9,14.9,,0,0,0,0,13,0,13,534,560,,,493,493,
