postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DL104AB,DL10 4AB,DL,79.8,91.6,328.1,8,,74.6,99.9,328,20,19.7,49.92,1,,18.4,21.6,50,0,0,1,0,9,1,10,481,304,0,,511,481,208
DL104AJ,DL10 4AJ,DL,78.9,63.8,80,,23.5,73.9,73.9,,20,15.2,20,,1,18.8,18.8,,0,0,0,2,8,0,8,551,382,,207,637,637,
DL104AP,DL10 4AP,DL,45.7,46.7,66.8,,26.5,50.7,50.7,,10.7,11.9,20,,3.5,13.5,13.5,,0,0,0,2,10,0,10,220,160,,7,263,263,
DL104AR,DL10 4AR,DL,40,45.6,76.17,,17,54.6,54.6,,10,12.2,20,,2.6,15.3,15.3,,0,0,0,5,16,0,16,327,235,,95,400,400,
DL104AS,DL10 4AS,DL,63.8,59.9,158.55,5.5,18,70,70,,17,14.9,29.98,0.5,1,17.8,17.8,,0,1,1,2,19,0,19,563,345,155,554,577,577,
DL104AW,DL10 4AW,DL,78.1,73.3,79.67,,,73.2,73.2,,19.5,17.8,20,,,17.8,17.8,,0,0,0,0,5,0,5,598,722,,,598,598,
DL104AX,DL10 4AX,DL,59.8,51,79.74,0,21.3,61.8,61.8,,16.9,12.9,20,1,3.3,16.1,16.1,,1,0,0,3,13,0,13,201,111,1,55,250,250,
DL104AZ,DL10 4AZ,DL,47.8,52.1,77.49,,24,60.3,60.3,,12,12.7,20,,1,15.9,15.9,,0,0,0,2,7,0,7,452,215,,94,554,554,
DL104BA,DL10 4BA,DL,63.8,55.9,79.76,,18.5,61.6,61.6,,19.4,14.8,20,,1,16.9,16.9,,0,0,0,4,26,0,26,431,195,,31,493,493,
DL104BB,DL10 4BB,DL,46.4,40.1,49.84,9,,46.2,46.2,,11.6,10.9,15.67,1,,12.8,12.8,,0,0,1,0,5,0,5,487,211,0,,487,487,
DL104BE,DL10 4BE,DL,31.5,28.6,44.02,9,15.3,36.6,36.6,,4,4.9,10,1,1.3,7,7,,0,0,1,4,9,0,9,259,103,1,65,373,373,
DL104BG,DL10 4BG,DL,37.8,31.7,41.99,,20,39.7,39.7,,4.8,4.5,7.18,,2.5,6,6,,0,0,0,2,3,0,3,170,41,,233,128,128,
DL104BH,DL10 4BH,DL,39.9,41.3,154.64,,22.3,54,54,,10,9.5,20,,3.7,13.4,13.4,,0,0,0,14,21,0,21,499,156,,315,622,622,
DL104BJ,DL10 4BJ,DL,77.9,95.3,159.27,,,95.3,95.3,,20,20.9,30.01,,,20.8,20.8,,0,0,0,0,12,0,12,326,215,,,326,326,
DL104BL,DL10 4BL,DL,71.9,92.5,328.5,,16,87.6,101,329,19.5,18.9,49.94,,1,19.2,20.9,50,0,0,0,2,17,1,18,403,421,,14,419,424,508
DL104BN,DL10 4BN,DL,54.7,50.6,76.15,9,14.5,58.4,58.4,,12.3,12.8,20,1,1,15.2,15.2,,0,0,2,2,20,0,20,300,209,55,116,343,343,
DL104BP,DL10 4BP,DL,63.9,69.5,158.5,,,69.4,69.4,,17.1,16.4,28.54,,,16.4,16.4,,0,0,0,0,14,0,14,546,202,,,546,546,
DL104BQ,DL10 4BQ,DL,55.2,51.1,79.74,,15,63.2,63.2,,19.5,13.9,20,,1,18.2,18.2,,0,0,0,2,6,0,6,260,145,,32,336,336,
DL104BW,DL10 4BW,DL,35.5,34.6,68.67,8,15.7,45.5,45.5,,7,7.1,20,0,1.2,10.3,10.3,,0,0,1,6,13,0,13,380,175,17,146,515,515,
DL104DA,DL10 4DA,DL,76.6,97,199.62,,13,109,109,,19.8,19.4,30.53,,1,22,22,,0,0,0,1,7,0,7,537,352,,73,603,603,
DL104DB,DL10 4DB,DL,49.3,54.5,154.05,8,16,64.6,64.6,,10,12.4,22.76,1,1,15,15,,0,0,2,1,13,0,13,244,83,36,480,239,239,
DL104DD,DL10 4DD,DL,40,38,77.68,2,17.2,50.8,50.8,,5.3,8.1,20,1,2.2,11.5,11.5,,0,1,0,5,11,0,11,168,64,6,64,231,231,
DL104DF,DL10 4DF,DL,40,37,79.67,8,24.3,49.1,49.1,,10,8,20,0.5,1,12.5,12.5,,0,0,2,3,8,0,8,211,105,3,142,289,289,
DL104DG,DL10 4DG,DL,65.6,55.8,74.04,,16,59.4,59.4,,18.4,14.9,20,,1,16.2,16.2,,0,0,0,1,11,0,11,350,369,,56,377,377,
DL104DH,DL10 4DH,DL,42.3,43.6,79.67,0,19.7,62.8,62.8,,10,9.7,20,1,1,15.5,15.5,,1,0,0,3,6,0,6,184,43,1,176,219,219,
DL104DP,DL10 4DP,DL,56.6,53.7,79.96,,14,61.6,61.6,,11.1,11.5,20,,1,13.6,13.6,,0,0,0,1,5,0,5,260,193,,26,307,307,
DL104DQ,DL10 4DQ,DL,40,43.5,79.67,,22.8,55.8,55.8,,10,8.3,20,,1.8,12.2,12.2,,0,0,0,6,10,0,10,52,15,,23,59,59,
DL104DR,DL10 4DR,DL,78.8,69.5,79.98,,,69.5,69.5,,19.8,16.4,20,,,16.3,16.3,,0,0,0,0,6,0,6,216,107,,,216,216,
DL104DT,DL10 4DT,DL,61.8,68.6,327.27,,21.7,62.1,76,327,18.7,15.7,49.89,,1.3,16.2,17.9,50,0,0,0,3,18,1,19,301,154,,112,300,299,271
DL104DW,DL10 4DW,DL,77.4,74.3,158.93,,23.3,93.4,93.4,,20,16.1,30.01,,2.7,21.1,21.1,,0,0,0,3,8,0,8,219,150,,83,271,271,
DL104DX,DL10 4DX,DL,55.7,52,73.25,,26.3,57.1,57.1,,12.7,12.6,20,,5.3,14,14,,0,0,0,3,15,0,15,379,161,,23,425,425,
DL104EH,DL10 4EH,DL,47.5,43.7,78.13,7,19.5,54.7,54.7,,10,10.4,20,1,2.5,13.7,13.7,,0,1,1,6,20,0,20,365,188,17,84,466,466,
DL104EJ,DL10 4EJ,DL,55.7,45.1,59.82,,16.5,56.6,56.6,,17,12.6,20,,1,17.2,17.2,,0,0,0,2,5,0,5,806,285,,11,962,962,
DL104EN,DL10 4EN,DL,32.2,30.3,42.52,,18.5,36.3,36.3,,5.2,5.9,9.96,,3,7.5,7.5,,0,0,0,2,4,0,4,288,91,,514,175,175,
DL104EQ,DL10 4EQ,DL,54.8,53,59.99,,,53,53,,14.7,14.6,20,,,14.7,14.7,,0,0,0,0,9,0,9,320,153,,,320,320,
DL104ES,DL10 4ES,DL,74.1,69.2,157.44,,13,74.3,74.3,,19.5,16.9,29.54,,1,18.3,18.3,,0,0,0,2,22,0,22,797,609,,357,837,837,
DL104ET,DL10 4ET,DL,40,47.5,79.67,3,14.4,59.5,59.5,,10,11.7,20,0,1,15.4,15.4,,0,1,0,8,26,0,26,443,324,324,193,524,524,
DL104EU,DL10 4EU,DL,78.1,91,159.14,,29,98.8,98.8,,19.5,20.1,30,,6,21.9,21.9,,0,0,0,1,8,0,8,940,826,,129,1042,1042,
DL104EX,DL10 4EX,DL,54.9,54.4,78.87,,,54.4,54.4,,13,13.4,20,,,13.4,13.4,,0,0,0,0,14,0,14,338,303,,,338,338,
DL104EZ,DL10 4EZ,DL,60.7,52.2,140.14,10,16.5,64.4,64.4,,14.4,12.4,20,1,1.7,16,16,,0,0,1,6,21,0,21,395,253,64,529,354,354,
DL104FA,DL10 4FA,DL,63.1,60.3,79.24,,20,66,66,,19.5,17.4,20,,11,18.3,18.3,,0,0,0,1,7,0,7,730,825,,104,819,819,
DL104FE,DL10 4FE,DL,54.8,53.7,78.11,,21,60.2,60.2,,10,11.7,19.53,,1,13.8,13.8,,0,0,0,1,5,0,5,135,120,,129,136,136,
DL104FF,DL10 4FF,DL,63.3,73.3,278.6,6,19,81.4,81.4,,16.9,16.3,38.61,1,1,18.3,18.3,,0,0,1,1,15,0,15,385,195,30,108,428,428,
DL104GA,DL10 4GA,DL,23.3,28.8,42.73,,22.5,41.5,41.5,,1.2,4.8,14,,1.3,12,12,,0,0,0,4,2,0,2,103,44,,96,116,116,
DL104GB,DL10 4GB,DL,52.9,54.7,78.17,,,54.8,54.8,,14.8,14.9,20,,,14.9,14.9,,0,0,0,0,8,0,8,432,183,,,432,432,
DL104GD,DL10 4GD,DL,45.8,51.2,158.46,7,14,75,75,,9.6,10.2,28.4,1,1,15.6,15.6,,0,0,1,2,5,0,5,100,70,113,4,117,117,
