postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DN104AA,DN10 4AA,DN,23.4,38.4,80,,21,61.7,61.7,,1.2,7.1,20,,1.1,15.2,15.2,,0,0,0,8,6,0,6,176,116,,185,164,164,
DN104AB,DN10 4AB,DN,76.3,65.1,79.91,,23,73.4,73.4,,20,15.2,20,,1,18,18,,0,0,0,1,5,0,5,339,198,,89,388,388,
DN104AD,DN10 4AD,DN,60.9,59,79.67,,22,62.4,62.4,,18.5,15.8,20,,1,17.2,17.2,,0,0,0,1,11,0,11,219,128,,358,206,206,
DN104AF,DN10 4AF,DN,54.8,44.1,64.92,,23,58.3,58.3,,10,11.5,20,,5,16,16,,0,0,0,2,3,0,3,489,615,,318,604,604,
DN104AN,DN10 4AN,DN,19.7,20.1,35.96,9,19.6,36,36,,1.2,3,13.47,1,2.1,13,13,,0,0,1,9,1,0,1,259,67,55,305,54,54,
DN104AP,DN10 4AP,DN,19.4,19,23.25,,18.9,,,,1.1,1.1,1.27,,1.1,,,,0,0,0,18,0,0,0,219,171,,219,,,
DN104AQ,DN10 4AQ,DN,72,61,79.67,6,22,65.9,65.9,,17.7,14.9,20,10,1,15.8,15.8,,0,0,1,1,19,0,19,606,348,254,271,642,642,
DN104AS,DN10 4AS,DN,19.8,21.3,39.84,,18.7,40,40,,1.2,2.3,10,,1.1,10,10,,0,0,0,7,1,0,1,62,47,,71,4,4,
DN104AW,DN10 4AW,DN,20.3,22,39.81,10,20.3,39.5,39.5,,1.2,2.6,6.81,1,2.2,6,6,,0,0,1,13,2,0,2,119,73,424,113,6,6,
DN104BA,DN10 4BA,DN,11.1,16.4,39.84,9,11,40,40,,1.1,2.8,10,1,1,10,10,,0,0,1,3,1,0,1,513,452,427,459,760,760,
