postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DT101AA,DT10 1AA,DT,40,42.8,56.88,,28,44.3,44.3,,8.9,8.5,18.14,,6,8.8,8.8,,0,0,0,1,10,0,10,599,634,,322,627,627,
DT101AB,DT10 1AB,DT,36.5,33.3,42.25,,24,37.9,37.9,,6.2,5.8,7.02,,5,6.3,6.3,,0,0,0,6,12,0,12,224,120,,81,295,295,
DT101AD,DT10 1AD,DT,38.3,34.3,51.37,,20.5,41.2,41.2,,6.2,5.1,7.43,,2.5,6.3,6.3,,0,0,0,6,12,0,12,672,280,,266,875,875,
DT101AE,DT10 1AE,DT,38.2,31.7,39.61,,21,38.7,38.7,,6.3,6.4,10.63,,4.5,7.7,7.7,,0,0,0,2,3,0,3,171,121,,236,128,128,
DT101AF,DT10 1AF,DT,49.9,46.4,80,7,16.7,51.8,51.8,,10,10.1,20,1,1,11.6,11.6,,0,0,1,3,24,0,24,609,246,34,35,704,704,
DT101AG,DT10 1AG,DT,60,59.3,79.67,,,59.3,59.3,,17,14.8,20,,,14.8,14.8,,0,0,0,0,9,0,9,226,198,,,226,226,
DT101AH,DT10 1AH,DT,65.4,61.9,77.43,,,61.8,61.8,,18.2,15.9,19.98,,,16,16,,0,0,0,0,5,0,5,650,616,,,650,650,
DT101AJ,DT10 1AJ,DT,54.8,52.3,78.13,,21,61.3,61.3,,17.6,13.2,20,,1,16.7,16.7,,0,0,0,2,7,0,7,576,189,,8,739,739,
DT101AL,DT10 1AL,DT,52.9,56.5,75.88,,,56.4,56.4,,19.2,15.6,20,,,15.6,15.6,,0,0,0,0,5,0,5,482,384,,,482,482,
DT101AN,DT10 1AN,DT,54.8,54.1,80,,22,67.5,67.5,,10,11.5,20,,1,15.9,15.9,,0,0,0,5,12,0,12,131,43,,35,172,172,
DT101AR,DT10 1AR,DT,78,63.3,79.75,,24,71,71,,20,15.2,20,,1,18,18,,0,0,0,1,5,0,5,93,49,,18,108,108,
DT101AS,DT10 1AS,DT,39.5,43.7,79.91,,19.7,58.2,58.2,,9.9,9.1,20,,1,14,14,,0,0,0,3,5,0,5,218,184,,37,327,327,
DT101AU,DT10 1AU,DT,50.7,50.4,73.69,,23,53.8,53.8,,8.5,9.4,20,,1,10.5,10.5,,0,0,0,1,8,0,8,106,89,,65,112,112,
DT101AX,DT10 1AX,DT,59.3,58.8,79.67,,23,64.7,64.7,,17.5,14,20,,1,16.2,16.2,,0,0,0,1,6,0,6,378,334,,0,378,378,
DT101AY,DT10 1AY,DT,26.4,29.1,52.2,6,24.8,42.7,42.7,,2.3,3.8,8.76,1,2,7,7,,0,0,1,4,3,0,3,169,139,435,113,156,156,
DT101AZ,DT10 1AZ,DT,76.7,65.7,80,,21.5,73,73,,20,16.3,20,,1,18.8,18.8,,0,0,0,2,12,0,12,105,56,,158,96,96,
DT101BB,DT10 1BB,DT,40,46.1,80,,23,66.4,66.4,,10,9.4,20,,1.1,16.6,16.6,,0,0,0,7,8,0,8,220,126,,215,225,225,
DT101BD,DT10 1BD,DT,40,43.3,79.99,9,24.5,57.6,57.6,,10,10.2,20,1,5.5,14,14,,0,0,1,2,5,0,5,426,262,0,66,654,654,
DT101BE,DT10 1BE,DT,78.9,71.6,80,,19,79.1,79.1,,19.8,17.4,20,,1,19.9,19.9,,0,0,0,1,7,0,7,647,696,,9,739,739,
DT101BH,DT10 1BH,DT,78.1,61.9,80,,21,70.5,70.5,,19.5,15.1,20,,1.3,18.1,18.1,,0,0,0,4,19,0,19,514,301,,175,586,586,
DT101BJ,DT10 1BJ,DT,39.8,43.4,79.64,,19.7,53.6,53.6,,9.2,9.6,20,,2.3,12.7,12.7,,0,0,0,9,21,0,21,662,458,,284,824,824,
DT101BL,DT10 1BL,DT,34.2,30.9,42.24,3,21.1,37.1,37.1,,5.3,5,10,1,3.2,6.1,6.1,,0,1,0,13,25,0,25,513,426,0,340,602,602,
DT101BN,DT10 1BN,DT,54.8,55.2,79.91,,22,65,65,,12.7,30.7,811.07,,1.1,39.4,39.4,,0,0,0,10,34,0,34,334,66,,47,409,409,
DT101BP,DT10 1BP,DT,39.1,39.6,57.73,,20,42.5,42.5,,6.5,6.6,10.12,,3,7.1,7.1,,0,0,0,4,27,0,27,654,544,,24,748,748,
DT101BQ,DT10 1BQ,DT,54.8,57.1,79.67,,18,59.5,59.5,,10,13.2,20,,1,13.9,13.9,,0,0,0,1,16,0,16,222,129,,15,235,235,
DT101BS,DT10 1BS,DT,76.1,61.4,79.95,,17,65.1,65.1,,20,15,20,,1,16.2,16.2,,0,0,0,1,12,0,12,409,325,,325,416,416,
DT101BU,DT10 1BU,DT,54.8,48.3,78.12,,20.8,60.4,60.4,,10,9.8,20,,1.3,13.6,13.6,,0,0,0,4,9,0,9,271,106,,89,352,352,
DT101BY,DT10 1BY,DT,78.1,56.3,80,8,20.5,73.4,73.4,,17.7,12.8,20,1,1,17.9,17.9,,0,0,1,2,7,0,7,408,93,476,48,501,501,
DT101BZ,DT10 1BZ,DT,64.1,52.5,79.67,,22.8,63.3,63.3,,13.7,11.7,20,,1.3,15.5,15.5,,0,0,0,4,11,0,11,227,156,,230,227,227,
DT101DA,DT10 1DA,DT,59.7,57.9,79.67,,22,59.9,59.9,,19.5,15,20,,4,15.7,15.7,,0,0,0,1,18,0,18,470,407,,62,493,493,
DT101DB,DT10 1DB,DT,74.8,61.7,80,,25,65.5,65.5,,19.6,14.8,20,,6.5,15.6,15.6,,0,0,0,2,20,0,20,251,146,,108,265,265,
DT101DD,DT10 1DD,DT,73.7,67.2,78.76,,,67.3,67.3,,15.3,13.9,20,,,13.9,13.9,,0,0,0,0,7,0,7,290,186,,,290,290,
DT101DE,DT10 1DE,DT,54.8,52.1,80,8,23.5,65.3,65.3,,10.9,12,20,0,1,16.6,16.6,,0,0,1,4,12,0,12,189,59,1,29,258,258,
DT101DF,DT10 1DF,DT,53.2,53.6,78.82,,,53.5,53.5,,10,11.5,20,,,11.5,11.5,,0,0,0,0,11,0,11,158,60,,,158,158,
DT101DG,DT10 1DG,DT,47.8,49.5,79.67,,23,54.8,54.8,,10,11.7,20,,1,13.8,13.8,,0,0,0,1,5,0,5,110,1,,1,132,132,
DT101DH,DT10 1DH,DT,70.6,62.1,79.67,,,62.1,62.1,,17.3,15.3,20,,,15.3,15.3,,0,0,0,0,13,0,13,168,96,,,168,168,
DT101DL,DT10 1DL,DT,31.7,37.7,78.12,,22.7,52.7,52.7,,5.6,7.2,19.53,,1,13.3,13.3,,0,0,0,3,3,0,3,782,223,,169,1395,1395,
DT101DP,DT10 1DP,DT,39.9,45.9,79.67,,24.5,60.3,60.3,,10,10.8,20,,4.5,14.7,14.7,,0,0,0,2,3,0,3,352,170,,33,447,447,
DT101DQ,DT10 1DQ,DT,38.5,39.5,73.7,,25.5,43,43,,7.4,7.1,20,,4.5,7.8,7.8,,0,0,0,2,8,0,8,329,84,,327,329,329,
