postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
DY101AA,DY10 1AA,DY,18.8,22.8,56.93,7,16.1,43.7,43.7,,1.1,3.9,13.33,1,0.9,11.7,11.7,,0,0,1,7,3,0,3,38,37,37,10,53,53,
DY101AE,DY10 1AE,DY,19.6,16.1,19.75,3,18.6,,,,1.1,1.1,1.27,1,1.2,,,,0,1,0,5,0,0,0,43,24,25,46,,,
DY101AF,DY10 1AF,DY,22.9,42,160,,21.3,83.8,83.8,,1.2,6.6,30,,1.1,17.5,17.5,,0,0,0,8,4,0,4,258,140,,152,407,407,
DY101AL,DY10 1AL,DY,78.3,51.2,79.75,9,16,79.5,79.5,,12,10.6,20,1,0.5,18,18,,0,0,1,2,4,0,4,40,27,27,42,42,42,
DY101AQ,DY10 1AQ,DY,79.8,68.8,79.98,,,68.8,68.8,,20,18.1,20,,,18,18,,0,0,0,0,6,0,6,238,61,,,238,238,
DY101BB,DY10 1BB,DY,78.1,67.6,79.67,,18,74.7,74.7,,19.5,17.1,20,,1,19.4,19.4,,0,0,0,1,7,0,7,360,227,,60,403,403,
DY101BG,DY10 1BG,DY,46.1,46.9,79.25,,27,48.3,48.3,,15.6,15.2,20,,14,15.3,15.3,,0,0,0,1,15,0,15,743,886,,245,727,727,
DY101BJ,DY10 1BJ,DY,78.9,69.6,79.67,,23,79,79,,19.8,16.7,20,,1,19.8,19.8,,0,0,0,1,5,0,5,95,84,,33,107,107,
DY101BQ,DY10 1BQ,DY,66.7,56,79.91,,19.7,66.8,66.8,,19.5,13.3,20,,1.7,16.8,16.8,,0,0,0,3,10,0,10,599,361,,298,689,689,
DY101DF,DY10 1DF,DY,62.3,55,72.23,,17,59.2,59.2,,16.4,14.2,20,,1,15.7,15.7,,0,0,0,1,9,0,9,873,663,,404,828,828,
DY101ED,DY10 1ED,DY,79.7,57.4,80,1,23,75.6,75.6,,20,14.3,20,0,1,19.8,19.8,,1,0,0,1,5,0,5,537,479,0,119,513,513,
DY101HH,DY10 1HH,DY,78,63.3,79.98,1,18.5,78.5,78.5,,20,15.3,20,0,1,19.7,19.7,,1,0,0,2,10,0,10,141,78,0,41,162,162,
DY101HY,DY10 1HY,DY,75.8,59.1,80,4,,68.3,68.3,,20,13,20,1,,15,15,,0,1,0,0,6,0,6,262,134,0,,218,218,
DY101JF,DY10 1JF,DY,19.7,42.3,79.75,4,17.7,79.7,79.7,,1.2,9,20,0,1,20,20,,0,1,0,3,3,0,3,32,25,0,34,19,19,
DY101JN,DY10 1JN,DY,76.6,63.1,79.67,,19,70.3,70.3,,19.5,14.4,20,,1,16.7,16.7,,0,0,0,1,6,0,6,458,358,,809,399,399,
DY101JR,DY10 1JR,DY,73.7,55.7,79.66,6,,68.3,68.3,,10,10.2,20,1,,12.5,12.5,,0,0,1,0,4,0,4,72,60,0,,72,72,
DY101JX,DY10 1JX,DY,73.2,65.8,79.76,6,,69.3,69.3,,19.5,17.1,20,1,,18,18,,0,0,1,0,17,0,17,501,361,0,,442,442,
DY101LA,DY10 1LA,DY,59.1,49.6,79.67,6.7,,67.9,67.9,,14.8,12.1,20,0.7,,17,17,,0,0,3,0,7,0,7,489,488,176,,624,624,
DY101LB,DY10 1LB,DY,93.5,129,593,9.5,29,108.5,138.7,461.3,19.5,16,39,0.5,7,15.3,17.1,37,0,0,2,1,32,3,35,555,447,52,65,561,566,627
DY101LD,DY10 1LD,DY,45.9,43.4,74.02,,10.5,54.3,54.3,,9.5,8.8,18.85,,1,11.3,11.3,,0,0,0,2,6,0,6,187,158,,127,207,207,
DY101LE,DY10 1LE,DY,107,129.2,331,,,100.4,129.2,331,19.5,17.3,36,,,14.6,17.3,36,0,0,0,0,14,2,16,1034,665,,,999,969,764
DY101LF,DY10 1LF,DY,66.2,75.7,331,,,61.5,75.7,331,10,13.3,36,,,12.1,13.3,36,0,0,0,0,18,1,19,918,597,,,946,918,421
DY101LG,DY10 1LG,DY,22.3,69,331,6.4,18.2,112.1,132,331,6.2,7.8,36,1.1,3.8,11.6,13.8,36,1,1,5,5,10,1,11,219,85,170,153,221,280,869
