postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
EN106AB,EN10 6AB,EN,78.1,114.3,205,6,,141.3,141.3,,19.5,16.2,21,1,,20,20,,0,0,1,0,4,0,4,233,98,69,,216,216,
EN106AD,EN10 6AD,EN,77,76,156.08,8,,82.9,82.9,,19.5,16.1,29.3,1,,17.6,17.6,,0,0,1,0,10,0,10,489,472,362,,502,502,
EN106AG,EN10 6AG,EN,78.9,97.6,205,6,,107.9,107.9,,19.5,15.2,21,1,,16.8,16.8,,0,0,1,0,9,0,9,680,470,346,,642,642,
EN106AL,EN10 6AL,EN,74.3,68.9,79.67,,,68.9,68.9,,19.8,17.9,20,,,17.9,17.9,,0,0,0,0,10,0,10,501,588,,,501,501,
EN106AN,EN10 6AN,EN,78.1,149.9,593,5.5,,63.7,181.9,418.3,19.5,18.8,39,1,,15.7,22.8,37,0,1,1,0,6,3,9,692,755,217,,872,721,420
EN106AP,EN10 6AP,EN,73.3,88.8,205,4,21.5,132.8,132.8,,9,10.4,21,1,6,14,14,,0,1,0,2,5,0,5,310,259,424,541,195,195,
EN106AQ,EN10 6AQ,EN,107,231.6,593,7,,108.9,254.1,593,19.5,20.7,39,1,,15.7,22.7,39,0,0,1,0,7,3,10,535,442,154,,513,359,0
EN106AR,EN10 6AR,EN,156,182.1,593,6.5,20,156,265.3,374.7,15.5,18.2,39,1.5,3.3,15.5,26,36.5,0,1,1,4,6,6,12,395,364,65,204,408,448,488
EN106AS,EN10 6AS,EN,38.2,85.2,331,,21.1,81.6,117.2,331,7.7,10.9,36,,6.1,9.5,13.3,36,0,0,0,7,12,2,14,761,444,,1271,569,506,131
EN106AT,EN10 6AT,EN,107,202.2,593,3.5,18,145.2,275.4,480.1,10,18.1,39,0.5,5.4,14.8,23.6,37.3,0,2,0,5,11,7,18,503,355,228,1092,329,258,148
EN106AU,EN10 6AU,EN,36.2,48.5,107,3.7,26.5,68.4,68.4,,7.1,6.5,10,0.7,6.5,8.4,8.4,,0,3,0,2,9,0,9,498,442,91,880,494,494,
EN106AX,EN10 6AX,EN,55.6,90.6,331,,,79.6,90.6,331,10,13.2,36,,,12.1,13.2,36,0,0,0,0,22,1,23,610,276,,,583,584,586
EN106AY,EN10 6AY,EN,40,97.3,593,4.5,27.3,82.6,119.9,505.7,9.8,10.7,39,0.8,5,10.5,13,38,0,5,1,3,31,3,34,396,297,419,360,407,372,8
EN106AZ,EN10 6AZ,EN,78.1,84.6,257.96,4.8,,117.3,117.3,,19.5,14.8,38.07,0.8,,20.5,20.5,,1,4,4,0,22,0,22,341,100,113,,373,373,
EN106BB,EN10 6BB,EN,78.1,69.5,158.58,5,,78.1,78.1,,19.5,16.5,29.69,1,,18.6,18.6,,0,1,1,0,15,0,15,155,91,99,,142,142,
EN106BE,EN10 6BE,EN,72.7,191.3,593,6,,63.8,208.1,593,17.4,19.3,39,1,,14.3,21,39,0,0,1,0,8,3,11,1013,374,289,,1103,802,0
EN106BL,EN10 6BL,EN,77,79.1,205,6,21,85.1,85.1,,10,13.8,29.67,1,8,14.7,14.7,,0,0,1,1,22,0,22,809,464,710,370,833,833,
EN106BN,EN10 6BN,EN,107,139,593,7,,108.8,142.8,505.7,19.5,17.2,39,1,,15.8,17.7,38,0,0,1,0,32,3,35,518,302,513,,518,474,0
EN106BP,EN10 6BP,EN,138.7,159.1,331,,,130.5,159.1,331,20,20,36,,,17.3,20,36,0,0,0,0,6,1,7,674,373,,,781,674,35
EN106BQ,EN10 6BQ,EN,72,73.4,205,5,,92.1,92.1,,10,10.6,21,0.7,,13.2,13.2,,0,2,1,0,11,0,11,412,310,171,,477,477,
EN106BS,EN10 6BS,EN,107,168.1,593,,,115.1,168.2,593,20,19.8,39,,,17.4,19.8,39,0,0,0,0,16,2,18,676,441,,,633,563,0
EN106BT,EN10 6BT,EN,107,167.5,460,,,111.7,167.4,460,20,21.1,36,,,18.2,21.1,36,0,0,0,0,21,4,25,499,209,,,529,499,337
EN106BU,EN10 6BU,EN,107,111.6,460,4.8,,114.2,125.4,460,10,13.4,36,0.8,,14.4,15.1,36,0,3,1,0,30,1,31,441,275,418,,400,387,0
EN106BW,EN10 6BW,EN,107,128.1,331,5,,120.1,139.3,331,19.5,18.1,36,1,,18,19.6,36,0,0,1,0,10,1,11,898,1076,39,,969,976,1040
EN106BX,EN10 6BX,EN,52.3,58.2,107,5,,64.9,64.9,,10,10,19.53,1,,11.3,11.3,,0,0,1,0,8,0,8,346,158,231,,361,361,
EN106BY,EN10 6BY,EN,63.6,65.3,107,,,65.3,65.3,,10,13.3,20,,,13.3,13.3,,0,0,0,0,6,0,6,283,328,,,283,283,
EN106DA,EN10 6DA,EN,79.7,132.3,331,,,99.2,132.3,331,20,19.6,36,,,16.8,19.6,36,0,0,0,0,6,1,7,303,347,,,337,303,98
EN106DF,EN10 6DF,EN,107,123,460,,19,100.9,127.7,395.5,10,14.9,36,,4,13.3,15.4,36,0,0,0,1,20,2,22,319,253,,599,306,292,156
EN106DG,EN10 6DG,EN,71.5,119.7,331,,,66.9,119.7,331,18.3,18.6,36,,,14.3,18.6,36,0,0,0,0,8,2,10,575,371,,,612,576,430
EN106DJ,EN10 6DJ,EN,107,171.8,593,,11,128.5,194.9,593,10,15.2,39,,1,13.7,17.3,39,0,0,0,1,6,1,7,439,535,,692,324,278,0
EN106DL,EN10 6DL,EN,79.9,97.9,331,5.9,,111.6,118.7,331,10,13.5,36,0.9,,15.6,16.3,36,0,2,5,0,30,1,31,275,159,87,,274,282,528
EN106DP,EN10 6DP,EN,107,121.1,593,5.6,,107.2,132.4,428.8,10,14.8,39,0.8,,14.4,16.2,36.8,0,1,4,0,47,4,51,379,298,109,,396,383,231
EN106DQ,EN10 6DQ,EN,93.3,133.1,593,,18.7,94.8,140.8,439.3,10,15.6,49.91,,6.7,12.6,16.2,39.3,0,0,0,3,39,6,45,316,209,,595,272,290,407
EN106DR,EN10 6DR,EN,59.8,73.8,205,5.3,,86.7,86.7,,19.5,13.4,21,1,,15.8,15.8,,0,2,1,0,16,0,16,431,219,149,,483,483,
EN106DT,EN10 6DT,EN,78.1,64.4,79.9,8,,78.5,78.5,,19.5,15.9,20,1,,19.8,19.8,,0,0,1,0,4,0,4,1200,1113,0,,1200,1200,
EN106DU,EN10 6DU,EN,71.5,86.3,331,9,,69.6,93.4,331,19.5,18.3,36,1,,18.3,19.9,36,0,0,1,0,10,1,11,432,175,282,,460,446,304
EN106DW,EN10 6DW,EN,166.5,208.5,593,,,124.5,208.5,460.5,21,25.8,49.93,,,19.7,25.9,44.5,0,0,0,0,6,2,8,567,643,,,555,425,34
EN106DX,EN10 6DX,EN,107,166.9,460,,,110.4,166.9,374,19.8,20,36,,,15.6,20,36,0,0,0,0,11,3,14,705,571,,,740,705,579
EN106DY,EN10 6DY,EN,78.9,122.1,593,9,,84.3,128.8,462,10,14.2,39,1,,11.9,14.9,37.5,0,0,1,0,15,2,17,632,753,1015,,603,572,346
EN106DZ,EN10 6DZ,EN,91.8,130.7,593,,11,84.3,137.1,418.3,10,14.1,39,,1,10.6,14.7,37,0,0,0,1,16,3,19,521,520,,520,535,494,275
EN106EA,EN10 6EA,EN,107,119.8,331,5,,109.1,131.3,331,10,15.2,36,1,,14.4,16.6,36,0,1,0,0,9,1,10,433,395,626,,360,371,467
EN106EB,EN10 6EB,EN,52,110.8,593,3.7,29,86.9,122.3,396.5,10,13,39,1,6,11.3,14.2,36.8,2,0,1,1,31,4,35,787,645,151,964,787,747,437
EN106ED,EN10 6ED,EN,39.1,45.4,107,9,,52.8,52.8,,7.7,7.2,10,1,,8.4,8.4,,0,0,1,0,5,0,5,963,863,781,,999,999,
EN106EE,EN10 6EE,EN,73.6,72.6,205,8,,79.8,79.8,,10,10.7,21,1,,11.8,11.8,,0,0,3,0,27,0,27,543,448,45,,598,598,
EN106EF,EN10 6EF,EN,54.8,89.3,205,,11,100.4,100.4,,11.8,12.6,21,,1,14.3,14.3,,0,0,0,1,7,0,7,65,41,,13,73,73,
EN106EG,EN10 6EG,EN,85.2,120.9,460,7.5,,87.1,129.6,363.3,10,13.4,36,1,,10.4,14.3,36,0,0,2,0,22,4,26,524,526,31,,564,522,292
EN106EH,EN10 6EH,EN,107,131.6,331,,,103.1,131.6,331,16.6,17.5,36,,,14.9,17.5,36,0,0,0,0,7,1,8,684,650,,,689,684,648
EN106EJ,EN10 6EJ,EN,107,227.3,593,,,81,227.3,593,20,21.1,39,,,14,21.1,39,0,0,0,0,5,2,7,535,350,,,615,458,66
EN106EL,EN10 6EL,EN,92.6,135.2,593,,,84.3,135.2,593,14.8,16.6,39,,,14.1,16.6,39,0,0,0,0,9,1,10,625,630,,,625,563,0
EN106EN,EN10 6EN,EN,93.5,126.2,593,,30,96.7,129.6,414.3,17.3,17.6,49.32,,2,15.5,18.1,41.3,0,0,0,1,26,3,29,869,748,,1270,846,766,73
EN106EQ,EN10 6EQ,EN,107,111,205,,,111,111,,19.4,16,29.32,,,15.9,15.9,,0,0,0,0,17,0,17,403,323,,,380,380,
EN106EW,EN10 6EW,EN,107,174.5,593,7.3,,106.5,186.7,435.4,19.5,19.2,39,1,,15.2,20.5,36.9,0,0,3,0,31,10,41,616,404,178,,613,588,512
EN106FB,EN10 6FB,EN,77.7,71.6,80,,,71.7,71.7,,19.5,18.6,20,,,18.6,18.6,,0,0,0,0,23,0,23,639,569,,,639,639,
EN106FD,EN10 6FD,EN,76.3,69.2,80,3,,72.3,72.3,,20,18,20,1,,18.9,18.9,,0,1,0,0,21,0,21,691,513,0,,691,691,
EN106FE,EN10 6FE,EN,78.1,83.4,160.11,5,,85.8,85.8,,19.5,18.5,30.02,1,,19,19,,0,1,0,0,33,0,33,1095,881,228,,1121,1121,
EN106FF,EN10 6FF,EN,75.9,81.8,320.04,2,,77.7,89.8,320,19.2,18,49.96,0.5,,18.2,19.8,50,2,0,0,0,19,1,20,418,280,36,,446,456,641
EN106FG,EN10 6FG,EN,78.1,74.8,159.17,4.5,,78.8,78.8,,19.5,17.9,29.98,1,,18.9,18.9,,0,1,1,0,35,0,35,581,394,184,,604,604,
EN106FH,EN10 6FH,EN,72.6,72.4,191.38,4,,75.8,75.8,,19.5,16.9,25.14,1,,17.7,17.7,,0,2,1,0,60,0,60,699,544,186,,713,713,
EN106FL,EN10 6FL,EN,75.8,66,158.6,4.3,,70.2,70.2,,19.5,16.4,29.96,1,,17.5,17.5,,0,2,1,0,44,0,44,579,615,134,,610,610,
EN106FN,EN10 6FN,EN,76.3,76.4,327.59,4.6,27,82.5,86.5,328,19.5,17.2,49.95,0.9,4,19,19.5,50,0,5,3,1,61,1,62,581,517,270,1135,616,613,388
EN106FP,EN10 6FP,EN,78.1,76.6,330.05,4.4,,80.9,94.7,329.5,19.5,16.6,49.98,0.9,,18.7,20.4,49.5,1,3,5,0,34,2,36,482,364,204,,546,551,640
EN106FQ,EN10 6FQ,EN,75.9,68.4,79.67,6,,71.7,71.7,,19.5,17.7,20,1,,18.6,18.6,,0,0,1,0,19,0,19,924,592,397,,952,952,
EN106FR,EN10 6FR,EN,72.7,67.7,79.67,,,67.7,67.7,,20,18,20,,,17.9,17.9,,0,0,0,0,32,0,32,638,553,,,638,638,
EN106FS,EN10 6FS,EN,68.4,62.2,79.67,4,28,66.2,66.2,,19.5,17.5,20,1,20,18.1,18.1,,0,1,0,1,23,0,23,834,579,34,1071,859,859,
EN106FT,EN10 6FT,EN,69.3,60.8,80,4.7,27,64.8,64.8,,19.5,16.4,20,0.7,6,17.5,17.5,,0,2,1,1,51,0,51,749,604,175,37,796,796,
EN106FU,EN10 6FU,EN,64.7,57.9,79.67,4,,61.4,61.4,,19.5,15.7,20,0.5,,16.7,16.7,,0,1,1,0,31,0,31,952,708,127,,974,974,
EN106FW,EN10 6FW,EN,78.1,79.8,158.41,,,79.8,79.8,,19.5,18.1,20.47,,,18.1,18.1,,0,0,0,0,19,0,19,527,482,,,527,527,
EN106FX,EN10 6FX,EN,78.1,84.4,160.04,6,,86.3,86.3,,19,17.5,29.99,1,,17.9,17.9,,0,0,1,0,40,0,40,682,539,6,,682,682,
EN106FY,EN10 6FY,EN,65.5,58.6,79.91,5,28,63.6,63.6,,19.5,16.5,20,1,7,18,18,,0,1,0,1,17,0,17,617,544,77,326,666,666,
EN106FZ,EN10 6FZ,EN,66.2,60.6,77.43,3,,63.5,63.5,,19.5,16.1,20,1,,16.9,16.9,,0,1,0,0,20,0,20,492,453,39,,514,514,
EN106GA,EN10 6GA,EN,61.4,62.7,78.12,,,62.7,62.7,,18.8,16.1,20,,,16.1,16.1,,0,0,0,0,16,0,16,1078,819,,,1078,1078,
EN106GD,EN10 6GD,EN,60.9,58.1,77.11,,,58.1,58.1,,14.8,15.1,20,,,15.1,15.1,,0,0,0,0,53,0,53,832,612,,,832,832,
EN106GE,EN10 6GE,EN,55.7,56.7,75.99,,,56.7,56.7,,15.7,14.8,20,,,14.7,14.7,,0,0,0,0,63,0,63,901,729,,,901,901,
EN106GF,EN10 6GF,EN,72,59.3,205,5.7,,76.1,76.1,,19.5,13.3,21,0.9,,17.2,17.2,,1,1,13,0,48,0,48,598,422,328,,683,683,
EN106GG,EN10 6GG,EN,32.3,29.9,43.67,6,27,40,40,,7.5,6.9,9.78,1,8,8,8,,0,0,1,2,3,0,3,670,616,178,593,885,885,
EN106GL,EN10 6GL,EN,107,122,331,,,98.8,122,331,15,16.4,36,,,14.2,16.4,36,0,0,0,0,9,1,10,589,625,,,456,530,1204
EN106GN,EN10 6GN,EN,60.1,76.7,155.52,,,76.6,76.6,,17.8,16.6,21.62,,,16.6,16.6,,0,0,0,0,11,0,11,776,904,,,776,776,
EN106HB,EN10 6HB,EN,74.3,121.8,205,,,121.8,121.8,,19.8,19,21,,,19,19,,0,0,0,0,8,0,8,1197,908,,,1197,1197,
EN106HG,EN10 6HG,EN,78.1,107.4,593,5,,99.6,112.9,593,10,13.9,39,0.5,,13.9,14.6,39,0,1,1,0,36,1,37,612,437,114,,606,590,0
EN106HH,EN10 6HH,EN,73.3,151.8,593,6,,95.1,164.5,494.3,17.6,18.1,39,1,,15.8,19.6,37.5,0,0,2,0,19,4,23,861,442,146,,995,886,368
EN106HJ,EN10 6HJ,EN,79.8,101.8,205,5.5,,109.8,109.8,,16.7,14.6,21,1,,15.7,15.7,,0,0,2,0,24,0,24,472,370,384,,459,459,
EN106HL,EN10 6HL,EN,93.5,87.9,205,7,,94.1,94.1,,10,12.6,21,1,,13.5,13.5,,0,0,1,0,13,0,13,338,180,68,,333,333,
EN106HN,EN10 6HN,EN,107,149.9,593,6,29,95.3,157.9,439.8,16.6,18,39,1,17,14.4,18.5,37,0,0,1,1,27,6,33,697,640,4,1441,629,548,181
EN106HP,EN10 6HP,EN,64.2,107,460,5.3,,80.4,116.9,363.3,13,15.3,36,1,,13.8,16.6,36,0,0,3,0,27,4,31,651,470,201,,664,673,739
EN106HQ,EN10 6HQ,EN,93.5,114.6,593,,23,99.7,118,593,11.3,15.6,39,,1,15.3,16.2,39,0,0,0,1,26,1,27,798,569,,380,751,725,48
EN106HR,EN10 6HR,EN,64.7,79.2,205,6,17,84.6,84.6,,10,12,29.32,1,8,12.6,12.6,,0,0,1,1,25,0,25,592,341,733,344,572,572,
EN106HS,EN10 6HS,EN,60.2,137.1,593,,13,72,143.3,428.8,10,14,39,,1,9.1,14.6,36.8,0,0,0,1,16,4,20,892,629,,356,798,830,956
EN106HT,EN10 6HT,EN,79.7,94.2,460,6,10.5,83.6,118.2,395.5,20,15.6,36,1,1,17.6,19.7,36,0,2,1,2,16,2,18,366,171,38,47,395,395,399
EN106HU,EN10 6HU,EN,79.8,77.4,107,9,,82.6,82.6,,10,11.9,20,1,,12.8,12.8,,0,0,1,0,13,0,13,390,382,964,,346,346,
EN106HW,EN10 6HW,EN,107,106.7,331,6.5,16,114.2,124.1,331,10,12.7,36,1,4,13.6,14.6,36,0,0,2,2,21,1,22,480,430,331,165,413,479,1853
EN106HX,EN10 6HX,EN,107,184.6,593,8,10,110.7,206.6,494.3,19.8,19.3,39,1,1,16.3,21.6,37.5,0,0,1,1,12,4,16,404,320,320,103,384,352,255
EN106HY,EN10 6HY,EN,79.6,136.6,593,7,10,92.1,142.1,483.5,12.8,16.4,39,1,1,14,17,37.5,0,0,1,1,41,6,47,598,379,19,54,569,571,588
EN106HZ,EN10 6HZ,EN,93.5,98.2,205,6.5,,111.3,111.3,,10,13.1,21,1,,14.9,14.9,,0,0,2,0,14,0,14,451,384,86,,503,503,
EN106JA,EN10 6JA,EN,78.1,153.4,593,8,,96.3,162.8,439.8,13.5,17.8,39,1,,14.5,18.8,37,0,0,2,0,25,6,31,489,300,251,,411,473,731
EN106JB,EN10 6JB,EN,78.1,111.1,331,,,92.8,111.1,331,10,15.9,36,,,14.2,15.8,36,0,0,0,0,12,1,13,498,394,,,500,498,467
EN106JD,EN10 6JD,EN,107,144.3,593,5,,101.6,151.6,418.3,18.7,17.4,39,1,,14.8,18.3,37,0,0,1,0,16,3,19,593,477,7,,597,593,569
EN106JE,EN10 6JE,EN,107,112.8,205,3,,131.2,131.2,,20,16.3,21.36,1,,18.8,18.8,,0,1,0,0,6,0,6,437,498,114,,491,491,
