postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
EX100AD,EX10 0AD,EX,47.3,51.7,79.67,3,,58.6,58.6,,10,12.5,20,1,,14.1,14.1,,0,1,0,0,7,0,7,337,175,72,,375,375,
EX100AF,EX10 0AF,EX,79.7,173.8,550,,,79.8,173.8,550,20,31,75,,,20,31,75,0,0,0,0,4,1,5,179,213,,,171,179,213
EX100AJ,EX10 0AJ,EX,33.4,28.3,39.83,1,,35.3,35.3,,4.8,4,6.68,0,,5,5,,1,0,0,0,4,0,4,162,80,6,,201,201,
EX100AL,EX10 0AL,EX,79.7,72.7,80,,,72.7,72.7,,18.7,16.1,20,,,16.1,16.1,,0,0,0,0,12,0,12,288,282,,,288,288,
EX100AN,EX10 0AN,EX,54.9,69.9,160,3,23,76.2,76.2,,10,15,30,1,1,16.6,16.6,,0,1,0,1,18,0,18,372,279,12,262,398,398,
EX100AP,EX10 0AP,EX,59.4,63.3,160,,16,68.8,68.8,,10.8,13.4,30,,4.5,14.4,14.4,,0,0,0,2,17,0,17,150,55,,82,158,158,
EX100AS,EX10 0AS,EX,65,46.7,79.75,4.5,,74.7,74.7,,18.4,12,20,1,,19.3,19.3,,0,1,1,0,3,0,3,133,124,125,,138,138,
EX100AW,EX10 0AW,EX,79.7,100.9,330,,,68.1,100.9,330,20,21.2,50,,,17.1,21.3,50,0,0,0,0,7,1,8,519,305,,,564,519,203
EX100AX,EX10 0AX,EX,3.5,3.3,4.05,3.3,,,,,0.7,0.7,0.92,0.7,,,,,0,6,0,0,0,0,0,32,28,27,,,,
EX100AY,EX10 0AY,EX,79.7,59.3,80,3,17,72.5,72.5,,19.8,14,20,0.7,1,17.3,17.3,,0,3,0,1,16,0,16,198,86,19,160,234,234,
