postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
FK101AD,FK10 1AD,FK,57.5,51.9,79.59,,19.2,65.5,65.5,,19.5,14.7,20,,6.2,18.2,18.2,,0,0,0,5,12,0,12,797,558,,269,1018,1018,
FK101AE,FK10 1AE,FK,40,44.9,59.54,,17,47.2,47.2,,10,10.3,19.53,,1,11,11,,0,0,0,1,12,0,12,746,563,,285,722,722,
FK101AG,FK10 1AG,FK,72.3,57.8,80,,17,71.4,71.4,,19.5,13.2,20,,1,17.3,17.3,,0,0,0,3,9,0,9,159,60,,230,136,136,
FK101AH,FK10 1AH,FK,80,85.8,160,,,85.8,85.8,,20,18,30,,,18,18,,0,0,0,0,25,0,25,641,607,,,641,641,
FK101AJ,FK10 1AJ,FK,75.8,63.7,79.98,,19.5,71.2,71.2,,19.5,16.3,20,,1,18.8,18.8,,0,0,0,2,12,0,12,602,415,,108,685,685,
FK101AL,FK10 1AL,FK,77.4,61.3,80,5,,65.6,65.6,,19.5,15.3,20,6,,16,16,,0,1,0,0,13,0,13,532,347,113,,565,565,
FK101AN,FK10 1AN,FK,43.1,51.7,80,8,20.3,59.8,59.8,,10,12,20,1,1,14.7,14.7,,0,0,1,4,21,0,21,381,246,6,172,439,439,
FK101BB,FK10 1BB,FK,58.6,61.8,142.6,,16,65.2,65.2,,15.7,14.4,19.69,,1,15.4,15.4,,0,0,0,1,13,0,13,1043,881,,142,1112,1112,
FK101BD,FK10 1BD,FK,33.5,35.9,68.89,6,17.4,56.7,56.7,,10,10,20,1,3.1,17.3,17.3,,0,1,1,8,10,0,10,477,480,45,341,673,673,
FK101BE,FK10 1BE,FK,60.4,53.3,69.88,,18,58.4,58.4,,13.2,13.2,19.53,,1,15,15,,0,0,0,1,7,0,7,737,309,,20,839,839,
FK101BL,FK10 1BL,FK,33.6,29.3,41.51,,18.6,35.8,35.8,,6,5.1,9.76,,1.9,7.1,7.1,,0,0,0,14,23,0,23,474,299,,238,576,576,
FK101BT,FK10 1BT,FK,40,51.1,156,8,22,76.3,76.3,,10,10.3,29.28,1,1,17.3,17.3,,0,0,1,2,4,0,4,261,280,1,196,294,294,
FK101BU,FK10 1BU,FK,26.5,37.6,330,4,21.5,35,71.9,330,4.3,6,50,4,3.1,6.1,11.6,50,0,1,0,15,7,1,8,414,344,578,269,506,561,946
FK101BZ,FK10 1BZ,FK,40,40.6,61,8,16.4,48.3,48.3,,9.9,8.9,16.49,1,2.2,10.9,10.9,,0,0,1,5,20,0,20,377,230,122,267,417,417,
FK101DB,FK10 1DB,FK,61.4,56.9,158.44,,16.5,60.4,60.4,,16.6,14.8,23.27,,1,16,16,,0,0,0,2,23,0,23,947,877,,57,942,942,
FK101DD,FK10 1DD,FK,56.6,47.9,76.92,10,17.8,62.5,62.5,,16,12.1,20,1,1,17.2,17.2,,0,0,1,4,11,0,11,669,307,307,63,862,862,
FK101DE,FK10 1DE,FK,76.8,96.4,301.06,7,21,93.6,107.4,301,19.5,19.4,47.05,1,1,20.1,21.9,47,0,0,1,1,14,1,15,1106,655,820,97,1078,1119,1681
FK101DF,FK10 1DF,FK,52.5,55.5,137.75,,17.8,68.8,68.8,,12.3,11.8,20,,3.3,14.8,14.8,,0,0,0,6,17,0,17,1050,582,,414,1274,1274,
FK101DG,FK10 1DG,FK,33.3,30.3,62.31,7,19.7,39.2,39.2,,4.3,4.3,17.99,1,2.4,5.9,5.9,,0,0,1,7,11,0,11,426,276,11,306,540,540,
FK101DH,FK10 1DH,FK,39.3,41.1,79.74,10,19.4,57.5,57.5,,6.6,8.2,20,3,1,13.4,13.4,,0,0,1,16,23,0,23,318,209,494,257,354,354,
FK101DL,FK10 1DL,FK,38.1,42.8,78.12,3,19.4,60.3,60.3,,7.1,9.3,20,1,2.3,14.2,14.2,,0,1,0,8,13,0,13,405,219,0,401,376,376,
FK101DP,FK10 1DP,FK,21.4,24.4,39.5,,20.8,40,40,,1.1,2.8,10,,1,10,10,,0,0,0,4,1,0,1,131,77,,145,77,77,
