postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
FY11BN,FY1 1BN,FY,32.1,37.1,71.36,,24,50.3,50.3,,5.6,7.2,20,,1,13.3,13.3,,0,0,0,3,3,0,3,85,46,,20,121,121,
FY11BP,FY1 1BP,FY,79.7,57.7,80,,24.5,79.8,79.8,,10.6,10.5,20,,1.3,16.7,16.7,,0,0,0,4,6,0,6,36,18,,20,47,47,
FY11DA,FY1 1DA,FY,21.8,32.5,73.7,,22,59,59,,1.2,6.5,20,,1.2,20,20,,0,0,0,5,2,0,2,36,17,,7,73,73,
FY11DU,FY1 1DU,FY,79.7,56,80,,24.3,79.8,79.8,,20,11.9,20,,1.3,20,20,,0,0,0,3,4,0,4,45,34,,6,62,62,
FY11EG,FY1 1EG,FY,32.1,44.2,80,8,22.7,69.5,69.5,,5.6,8.6,20,1,1,16.3,16.3,,0,0,1,3,4,0,4,21,5,0,26,18,18,
FY11HJ,FY1 1HJ,FY,17.3,30.8,79.67,0,15.8,61,61,,1.2,6.9,20,0,1.3,16.7,16.7,,1,0,0,4,3,0,3,41,23,2,15,61,61,
FY11JD,FY1 1JD,FY,79.7,77.2,107,,,77.2,77.2,,10,12,20,,,12,12,,0,0,0,0,5,0,5,391,352,,,391,391,
FY11JP,FY1 1JP,FY,78.1,60.1,80,,24.3,78,78,,19.5,13.5,20,,1.3,19.7,19.7,,0,0,0,3,6,0,6,397,296,,255,468,468,
FY11LF,FY1 1LF,FY,39.7,65,205,2,24.5,113,113,,5.5,8.9,21,0,1,17,17,,0,1,0,2,3,0,3,309,265,265,5,423,423,
FY11LL,FY1 1LL,FY,22.7,32.4,107,8,22.8,73.5,73.5,,1,3,10,0,1.2,10,10,,0,0,1,6,2,0,2,240,181,19,145,636,636,
FY11LR,FY1 1LR,FY,31,38.6,63.55,,23.3,54,54,,5.5,8.6,20,,1.3,16,16,,0,0,0,3,3,0,3,471,331,,443,500,500,
FY11NL,FY1 1NL,FY,24.4,36.6,77.97,1,23.1,62.8,62.8,,1.2,5.9,20,0,1.1,13.8,13.8,,1,0,0,7,5,0,5,461,264,0,222,520,520,
FY11PU,FY1 1PU,FY,62.7,63.9,107,,23,70.7,70.7,,10,12.6,20,,1,14.5,14.5,,0,0,0,1,6,0,6,477,224,,666,446,446,
FY11PZ,FY1 1PZ,FY,63.5,61.2,107,,23,84.2,84.2,,10,10.3,20,,1,15.8,15.8,,0,0,0,3,5,0,5,459,425,,95,677,677,
FY11QL,FY1 1QL,FY,78.1,69.5,205,9,,75.5,75.5,,19.5,14.8,21,1,,16.2,16.2,,0,0,1,0,10,0,10,366,132,16,,401,401,
FY11RN,FY1 1RN,FY,66.6,79.5,331,2,18,69.3,91.1,331,16.9,15.3,36,6,5,15.2,16.9,36,0,1,0,1,11,1,12,336,133,20,1,285,363,1218
