postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
G115AB,G11 5AB,G,66.6,60.6,107,9,16,64.9,64.9,,17.3,14.4,20,1,1,15.6,15.6,,0,0,1,2,33,0,33,517,203,4,74,544,544,
G115AD,G11 5AD,G,70.5,56.8,79.9,7,18.5,66.5,66.5,,18.1,14,20,1,1,17,17,,0,0,1,2,13,0,13,458,193,44,117,542,542,
G115AE,G11 5AE,G,107,134.3,460,,20,107.8,146.9,460,14.8,15.7,36,,0,15.1,17.4,36,0,0,0,1,8,1,9,401,345,,146,455,429,221
G115AF,G11 5AF,G,89.6,109.4,331,5,17.5,116.1,135.6,331,10,13.9,36,4,4,14.6,16.5,36,0,1,0,2,10,1,11,411,360,88,380,414,409,360
G115AG,G11 5AG,G,48.8,46.4,76.61,,15.5,55.3,55.3,,10,10.9,19.53,,1,13.7,13.7,,0,0,0,2,7,0,7,574,378,,235,670,670,
G115AL,G11 5AL,G,77.3,109.9,331,,14,89,123.6,331,19.8,17.2,36,,1,16.8,19.6,36,0,0,0,1,6,1,7,245,220,,403,198,222,368
G115AN,G11 5AN,G,78.1,131.1,593,4,20.5,122.5,156.1,593,19.5,16.8,39,0,7.5,17.8,19.4,39,0,1,0,2,13,1,14,332,164,11,57,424,394,2
G115AP,G11 5AP,G,78.1,97.4,205,,21.5,111.2,111.2,,19,15.4,29.34,,15.5,15.5,15.5,,0,0,0,2,11,0,11,377,261,,439,366,366,
G115AQ,G11 5AQ,G,156,172.4,331,,,140.8,172.5,331,20.5,19.7,36,,,16.4,19.7,36,0,0,0,0,5,1,6,464,510,,,475,464,411
G115AR,G11 5AR,G,93.5,88.7,205,,19.3,111.8,111.8,,10,12,29.96,,1,15.7,15.7,,0,0,0,3,9,0,9,241,147,,27,286,286,
G115AS,G11 5AS,G,75.1,85.4,158.72,,18,90.5,90.5,,19.3,16.8,29.99,,1,18,18,,0,0,0,1,13,0,13,672,531,,69,667,667,
G115AU,G11 5AU,G,107,132.3,331,,19,113.9,142.2,331,16.5,16.6,36,,4,15,17.7,36,0,0,0,2,20,3,23,493,430,,194,468,476,531
G115AW,G11 5AW,G,79.7,151.1,593,,15.5,99.9,164,548.7,20,17.5,39,,1,15.9,19.1,38,0,0,0,2,18,3,21,282,214,,161,286,266,146
G115AX,G11 5AX,G,93.3,106.9,331,,14.5,104.3,118.4,331,14.8,15.7,36,,1,16.3,17.5,36,0,0,0,2,15,1,16,415,328,,211,424,440,679
G115AY,G11 5AY,G,107,174.6,1096,,15,113.3,179.3,562.2,19.5,18.5,49,,1,15.5,19,39.2,0,0,0,1,29,5,34,377,329,,148,350,362,431
G115BA,G11 5BA,G,70.3,69.6,107,9,,76.4,76.4,,10,11.9,20,0,,13.2,13.2,,0,0,1,0,9,0,9,209,116,27,,230,230,
G115BE,G11 5BE,G,160,128,160,,,128,128,,30,27.5,30,,,22,22,,0,0,0,0,5,0,5,351,348,,,351,351,
G115BL,G11 5BL,G,75.6,87.4,593,6.5,15.7,73.6,100.4,462,19.5,15.5,39,1,1,16.6,18,37.5,0,0,2,3,27,2,29,289,130,68,85,337,325,167
G115BP,G11 5BP,G,68.6,69.2,205,,,69.3,69.3,,20,16.8,21,,,16.8,16.8,,0,0,0,0,24,0,24,347,310,,,333,333,
G115BT,G11 5BT,G,66.7,62.9,79.91,,,63,63,,19.2,17.2,20,,,17.2,17.2,,0,0,0,0,24,0,24,255,243,,,255,255,
G115BU,G11 5BU,G,45.3,40,65.85,7,14.7,52.1,52.1,,10,10.2,19.53,1,1,14.2,14.2,,0,0,1,3,9,0,9,385,341,33,226,434,434,
G115BW,G11 5BW,G,73.7,63.7,107,6,15.5,71.4,71.4,,19.5,14.4,20,1,1,16.5,16.5,,0,0,1,2,20,0,20,344,215,0,31,375,375,
G115BX,G11 5BX,G,53.7,58.8,73.13,,,58.7,58.7,,15.4,14.6,20,,,14.6,14.6,,0,0,0,0,7,0,7,560,173,,,560,560,
G115BY,G11 5BY,G,107,128,460,2,12,121,145.2,460,12.7,14.5,36,0,1,15,16.5,36,1,0,0,1,13,1,14,197,202,3,0,198,197,180
G115BZ,G11 5BZ,G,70.4,83.1,331,,13.8,84.5,95.7,331,10,13.5,36,,4.5,14,15,36,0,0,0,4,21,1,22,394,243,,293,368,395,950
G115DA,G11 5DA,G,107,94.6,205,,12.7,103.4,103.4,,10,11.2,21,,1,12.3,12.3,,0,0,0,3,28,0,28,348,272,,233,347,347,
G115DB,G11 5DB,G,68.3,69.5,107,7,11,79.6,79.6,,10,10.1,19.53,1,1,11.7,11.7,,0,0,1,1,12,0,12,331,354,93,33,376,376,
G115DD,G11 5DD,G,107,150.4,460,,17,118,160.7,395.5,14.8,17.5,36,,1,15.6,18.8,36,0,0,0,1,11,2,13,224,201,,124,248,231,142
G115DE,G11 5DE,G,107,134.9,593,,15,106.8,140.7,462,10,15.3,39,,1,13.7,16,37.5,0,0,0,1,19,2,21,456,461,,73,495,474,276
G115DS,G11 5DS,G,107,123.9,1096,,19.5,100.8,130.1,1096,10,14.8,49,,1,14.6,15.6,49,0,0,0,2,33,1,34,376,281,,809,315,306,0
G115DT,G11 5DT,G,74.8,72,205,7,15.4,85.9,85.9,,10,12.3,21,1,1.4,14.9,14.9,,0,0,1,5,25,0,25,349,303,375,79,374,374,
G115DW,G11 5DW,G,107,149.9,593,,19,112.2,155.9,593,10,16.2,39,,1,14.7,16.9,39,0,0,0,1,20,2,22,196,150,,61,212,193,0
G115DX,G11 5DX,G,107,119.6,331,,17,99.1,125.5,330.3,10,16.6,49.94,,1,14.6,17.5,39.5,0,0,0,2,31,4,35,345,201,,84,313,311,292
G115DY,G11 5DY,G,107,109.3,331,,13.5,106.3,126.7,331,10,13.6,36,,1,13.9,15.9,36,0,0,0,4,20,2,22,468,393,,234,495,468,193
G115DZ,G11 5DZ,G,107,127.2,460,,24.5,106.4,133.1,417,10,15.9,36,,12.5,14.3,16.1,36,0,0,0,2,32,3,35,298,291,,49,249,253,291
G115EA,G11 5EA,G,107,123.3,460,,18.3,110.5,137.8,374,10,14.3,36,,1,13.9,16.2,36,0,0,0,4,26,3,29,566,172,,79,445,575,1704
G115EB,G11 5EB,G,107,104.2,331,,17.3,112.6,118.7,331,10,14.4,36.37,,2.5,15.8,16.4,36,0,0,0,6,35,1,36,461,373,,458,448,436,19
G115ED,G11 5ED,G,107,151,460,,15,122.2,156.2,417,10,15.6,36,,1,13.6,16.2,36,0,0,0,1,23,3,26,271,284,,174,212,212,214
G115EE,G11 5EE,G,107,92.9,205,,16.5,108.2,108.2,,10,12,21,,1,14.1,14.1,,0,0,0,2,10,0,10,322,261,,147,325,325,
G115EF,G11 5EF,G,75.3,65.5,107,,16,73.8,73.8,,19.3,14.1,20,,1,16.3,16.3,,0,0,0,2,12,0,12,276,135,,46,291,291,
G115EG,G11 5EG,G,78.1,91.6,205,,15,99.3,99.3,,10,13.7,21,,1,15,15,,0,0,0,2,20,0,20,223,171,,92,214,214,
G115EQ,G11 5EQ,G,107,104.3,331,,,95.2,104.3,331,10,12.7,36,,,11.8,12.7,36,0,0,0,0,25,1,26,468,395,,,360,378,824
G115HA,G11 5HA,G,79.7,117.5,331,,,104.9,117.5,331,20,21.9,44.57,,,21.1,21.9,36,0,0,0,0,17,1,18,394,392,,,376,394,700
G115HB,G11 5HB,G,107,104.5,149.15,,,104.4,104.4,,10,15.5,28.96,,,15.4,15.4,,0,0,0,0,7,0,7,269,254,,,269,269,
G115HD,G11 5HD,G,78.1,92.2,331,,19.3,86.4,100.8,331,19.5,17.2,36,,4.3,17.6,18.7,36,0,0,0,4,32,2,34,437,414,,296,412,440,896
G115HE,G11 5HE,G,107,128.9,331,,14,110.9,135.2,329.5,10,14.6,49.95,,1,11.9,15.3,43,0,0,0,1,16,2,18,270,182,,123,195,234,541
G115HF,G11 5HF,G,79.7,107.3,331,7,17,92.2,117.4,331,10,15.3,36,1,1,14.6,16.8,36,0,0,1,1,17,2,19,325,295,166,39,297,349,792
G115HG,G11 5HG,G,107,193.8,593,,23.5,101.8,220,409.2,10,18.9,39,,7,10.9,20.8,36.6,0,0,0,2,8,5,13,591,454,,84,354,487,702
