postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
GL102AA,GL10 2AA,GL,71.6,58.2,80,,18.8,65.9,65.9,,19.3,14,20,,1,16.5,16.5,,0,0,0,6,31,0,31,340,191,,57,395,395,
GL102AD,GL10 2AD,GL,68,61.7,79.91,,20,63.7,63.7,,18.6,15.3,20,,1,16,16,,0,0,0,1,21,0,21,476,322,,209,489,489,
GL102AE,GL10 2AE,GL,69.4,58.8,79.67,,21.3,68.3,68.3,,12.4,12.4,20,,1,15.3,15.3,,0,0,0,3,12,0,12,511,278,,25,632,632,
GL102AJ,GL10 2AJ,GL,49.5,52.4,80,,22,58.5,58.5,,14.6,13.8,20,,7.3,15.2,15.2,,0,0,0,3,15,0,15,688,645,,560,713,713,
GL102AL,GL10 2AL,GL,40,46,79.67,6.5,21.3,57.8,57.8,,10,11.5,20,1.5,2.3,15.2,15.2,,0,1,1,3,13,0,13,167,72,85,57,205,205,
GL102AN,GL10 2AN,GL,52.6,49.2,79.67,,14.7,62.1,62.1,,11.5,12.1,20,,1,16.3,16.3,,0,0,0,3,8,0,8,397,219,,107,506,506,
GL102AP,GL10 2AP,GL,36,32.7,49.63,10,17.7,40.2,40.2,,7.2,6.1,9.68,6,3.3,7,7,,0,0,1,3,9,0,9,274,217,5,84,337,337,
GL102AQ,GL10 2AQ,GL,54.3,50.2,79.67,,18,60.6,60.6,,10,11.5,20,,1.6,14.7,14.7,,0,0,0,8,25,0,25,593,362,,121,721,721,
GL102AR,GL10 2AR,GL,56.4,52.3,79.67,,15.3,58.2,58.2,,14.4,13,20,,1,14.9,14.9,,0,0,0,3,19,0,19,452,226,,11,522,522,
GL102AS,GL10 2AS,GL,40,51.9,79.67,,19,55.8,55.8,,10,12.6,20,,1,13.9,13.9,,0,0,0,2,17,0,17,283,158,,150,299,299,
