postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
GU101AA,GU10 1AA,GU,36.4,41.3,107,5,,50.4,50.4,,5.8,6.7,19.53,1,,8.3,8.3,,1,0,1,0,8,0,8,418,301,5,,522,522,
GU101AB,GU10 1AB,GU,79.7,130.1,593,6,,103.7,137.2,396.5,19.5,16.3,39,0.5,,14.7,17.2,36.8,0,1,1,0,31,4,35,343,209,163,,342,324,191
GU101AF,GU10 1AF,GU,79.7,168.2,593,8,,97,188.3,462,20,19.6,39,0,,16.8,22,37.5,0,0,1,0,6,2,8,451,368,0,,191,282,554
GU101AG,GU10 1AG,GU,78.9,101.8,205,,,101.8,101.8,,19.8,17.6,21,,,17.7,17.7,,0,0,0,0,6,0,6,558,381,,,558,558,
GU101AH,GU10 1AH,GU,57.7,50.7,78.78,7,,59.6,59.6,,19,14.5,20,1,,17.2,17.2,,0,0,1,0,5,0,5,482,271,58,,567,567,
GU101AJ,GU10 1AJ,GU,78.1,81.2,205,8.5,18.5,90.6,90.6,,10,13.1,21,1,4,14.6,14.6,,0,0,2,2,29,0,29,402,279,84,493,403,403,
GU101AL,GU10 1AL,GU,58.8,58.9,107,2,14,62.4,62.4,,14.4,13.8,20,1,1,14.7,14.7,,0,1,0,1,29,0,29,471,431,37,89,483,483,
GU101AP,GU10 1AP,GU,107,136.9,460,,,101,136.9,460,12.4,16.1,36,,,13.9,16.1,36,0,0,0,0,9,1,10,515,379,,,515,464,0
GU101AQ,GU10 1AQ,GU,76.3,61.8,80,7,,75.5,75.5,,20,14.6,20,2,,18,18,,0,0,1,0,4,0,4,310,166,242,,327,327,
GU101AR,GU10 1AR,GU,107,118.1,593,4.5,,103.2,124.9,462,12.6,15.5,39,0.5,,15.1,16.4,37.5,0,1,1,0,31,2,33,456,150,3,,484,456,16
GU101AT,GU10 1AT,GU,107,119,205,,12,140.4,140.4,,14.8,13.7,21,,1,16.4,16.4,,0,0,0,1,5,0,5,196,171,,91,217,217,
GU101AU,GU10 1AU,GU,67.1,58.1,77.36,3.5,10,65.2,65.2,,19.5,15,20,1,1,16.9,16.9,,0,2,0,1,22,0,22,557,302,157,10,618,618,
GU101AW,GU10 1AW,GU,107,124.9,331,,,107.8,124.9,331,19.5,17.8,36,,,16.3,17.8,36,0,0,0,0,12,1,13,437,269,,,409,437,767
GU101AX,GU10 1AX,GU,54.8,54.8,107,9,30,58.2,58.2,,11.1,13.2,20,1,7,14,14,,0,0,1,1,21,0,21,564,495,75,260,602,602,
GU101AY,GU10 1AY,GU,79.7,115.5,593,7,11,107.6,127.8,462,19.5,15.8,39,0.7,1,16.3,17.5,37.5,0,1,2,1,33,2,35,282,158,78,33,279,291,474
GU101AZ,GU10 1AZ,GU,87.7,145,460,,21,91.1,158.8,395.5,10,14.9,36,,1,10.9,16.4,36,0,0,0,1,7,2,9,415,325,,0,222,415,1092
GU101BA,GU10 1BA,GU,92.5,84,205,7.5,,103.1,103.1,,10,11.2,21,3,,13.4,13.4,,0,0,2,0,8,0,8,268,263,305,,225,225,
GU101BB,GU10 1BB,GU,79.9,106.2,331,,10,90.8,110,331,16.4,16.1,36,,1,15,16.7,36,0,0,0,1,23,2,25,474,240,,27,474,454,222
GU101BD,GU10 1BD,GU,78.1,107.3,593,5,19,93.9,115.6,593,19.5,16.2,39,1,1,16.5,17.5,39,0,1,0,1,22,1,23,535,486,124,353,586,561,8
GU101BE,GU10 1BE,GU,107,144.4,593,6,,99.3,155.1,462,14.8,16.9,39,1,,14.6,18.2,37.5,0,0,1,0,11,2,13,289,221,10,,337,289,23
GU101BG,GU10 1BG,GU,107,92.7,331,8.5,,88.9,101,331,10,11,36,1,,10.8,12.1,36,0,0,2,0,19,1,20,247,221,133,,247,246,236
GU101BH,GU10 1BH,GU,79.7,103.4,331,7,,92.9,110.6,331,19.5,15.7,36,1,,15.2,16.8,36,0,0,2,0,25,2,27,444,243,48,,424,457,870
GU101BJ,GU10 1BJ,GU,77.3,76.3,205,5,,81.4,81.4,,10,11.6,21,1,,12.4,12.4,,0,0,1,0,14,0,14,1112,180,0,,1112,1112,
GU101BL,GU10 1BL,GU,77.6,118.7,331,,,95.1,118.7,331,19.5,18.6,36,,,16.7,18.6,36,0,0,0,0,9,1,10,894,782,,,901,894,830
