postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HD11EB,HD1 1EB,HD,93.5,136.2,331,,18,117,159.8,331,20,18,36,,1,17.8,21.4,36,0,0,0,1,4,1,5,377,367,,27,337,447,888
HD11EH,HD1 1EH,HD,54.8,55,80,,20.3,67.9,67.9,,10,12,20,,1,16.1,16.1,,0,0,0,3,8,0,8,548,507,,176,619,619,
HD11ND,HD1 1ND,HD,79.7,57.2,79.67,,23.5,79.7,79.7,,20,12.3,20,,0.5,20,20,,0,0,0,2,3,0,3,80,105,,14,123,123,
HD11NP,HD1 1NP,HD,72.3,55.4,107,5,22,84.8,84.8,,10,9.9,20,0,1,16.8,16.8,,0,1,0,2,4,0,4,233,109,0,159,329,329,
HD11NU,HD1 1NU,HD,78,52.7,80,,14,78.7,78.7,,19.5,12.4,20,,1,20,20,,0,0,0,2,3,0,3,350,124,,47,435,435,
HD11NX,HD1 1NX,HD,78.1,77.9,79.67,,,77.8,77.8,,20,19.8,20,,,19.8,19.8,,0,0,0,0,5,0,5,484,356,,,484,484,
HD11QF,HD1 1QF,HD,79.7,64.7,79.67,,14,74.8,74.8,,20,15.2,20,,1,18,18,,0,0,0,1,5,0,5,103,29,,29,97,97,
HD11RA,HD1 1RA,HD,80,88.9,107,,,88.8,88.8,,19.5,15.9,20,,,15.8,15.8,,0,0,0,0,5,0,5,436,85,,,436,436,
HD12BB,HD1 2BB,HD,22.5,38.5,79.67,8,21.5,70,70,,1.2,8.5,20,1,1,18.3,18.3,,0,0,2,2,3,0,3,143,21,13,20,312,312,
HD12BR,HD1 2BR,HD,78.9,56,79.67,1,15.5,75.4,75.4,,19.8,13.8,20,0,1,19.3,19.3,,1,0,0,2,7,0,7,106,110,16,56,118,118,
HD12DR,HD1 2DR,HD,23.1,21.3,24.31,,21.4,,,,1.2,1,1.25,,1,,,,0,0,0,8,0,0,0,283,175,,247,,,
HD12EG,HD1 2EG,HD,21.7,32.3,79.56,6,18.8,63.3,63.3,,1.2,5.1,20,1,0.8,13.7,13.7,,0,0,1,5,3,0,3,139,20,2,12,396,396,
HD12EH,HD1 2EH,HD,205,130.4,205,,18.5,205,205,,21,13,21,,1,21,21,,0,0,0,2,3,0,3,2153,555,,26,3570,3570,
HD12JJ,HD1 2JJ,HD,78.1,76,107,10,,92.5,92.5,,10,12.1,19.53,1,,14.8,14.8,,0,0,1,0,4,0,4,392,26,39,,382,382,
HD12NX,HD1 2NX,HD,40,79.3,460,9,18.7,82.7,106.3,460,8.4,9.4,36,1,4.2,10.3,11.9,36,0,0,1,6,15,1,16,564,328,167,159,715,670,0
HD12PJ,HD1 2PJ,HD,107,139.5,460,,,82.6,139.5,395.5,10,12.9,36,,,7.8,12.9,36,0,0,0,0,9,2,11,378,273,,,297,343,554
HD12PT,HD1 2PT,HD,23.1,43.4,80,7.5,21.6,79.6,79.6,,1.2,8.8,20,0.5,1,20,20,,0,0,2,5,5,0,5,86,47,0,49,123,123,
HD12PY,HD1 2PY,HD,40,52.6,107,,22.3,75.3,75.3,,10,8.9,19.99,,1,15,15,,0,0,0,3,4,0,4,119,36,,11,170,170,
HD12QB,HD1 2QB,HD,19.5,21.3,79.67,8.7,19.6,79.5,79.5,,1,2.1,20,0.7,1,20,20,,0,0,6,24,2,0,2,31,13,14,26,80,80,
HD12QF,HD1 2QF,HD,20,40,80,9,15.5,80,80,,0.9,8.5,20,1,1,20,20,,0,0,1,2,2,0,2,92,5,19,3,219,219,
HD12RS,HD1 2RS,HD,17.3,25.1,78.12,,16.3,78,78,,1,3.5,19.53,,0.8,20,20,,0,0,0,6,1,0,1,12,12,,5,29,29,
HD12RT,HD1 2RT,HD,14.3,14.4,23.95,7.7,18.6,,,,0.9,0.9,1.11,0.7,1,,,,0,0,3,5,0,0,0,16,16,7,19,,,
HD13AJ,HD1 3AJ,HD,13.4,51.5,205,9,17.5,205,205,,0.8,4.8,21,0.5,1,21,21,,0,0,2,2,1,0,1,312,300,93,328,720,720,
HD13AP,HD1 3AP,HD,107,108.3,331,7,,107.4,116.8,331,10,13.9,36,1,,14,15,36,0,0,2,0,23,1,24,463,223,314,,448,437,195
HD13AW,HD1 3AW,HD,54.8,59.2,205,10,17.2,78.1,78.1,,10,11.7,21,1,4,15.3,15.3,,0,0,1,6,16,0,16,467,327,632,508,384,384,
HD13BA,HD1 3BA,HD,205,141.4,205,,,141.4,141.4,,21,15.6,21,,,15.6,15.6,,0,0,0,0,5,0,5,1392,1296,,,1392,1392,
HD13BB,HD1 3BB,HD,74,65.2,79.91,6,28,69.4,69.4,,19.5,16.3,20,1,7,17.4,17.4,,0,0,1,1,23,0,23,485,337,0,40,483,483,
HD13BP,HD1 3BP,HD,93.5,84.9,205,,17,101.9,101.9,,10,11.1,21,,1,13.6,13.6,,0,0,0,2,8,0,8,478,331,,21,533,533,
HD13BR,HD1 3BR,HD,80,84.4,205,2,21,99,99,,10,12.6,21,0,1,15,15,,1,0,0,1,10,0,10,422,282,48,31,499,499,
HD13BS,HD1 3BS,HD,107,130.7,331,,21,149,171.8,331,10,12.9,36,,1,14.7,17.4,36,0,0,0,3,7,1,8,278,126,,253,220,218,203
HD13BT,HD1 3BT,HD,92.6,108,460,,,87.4,108.1,460,10,14.2,36,,,12.9,14.2,36,0,0,0,0,17,1,18,638,361,,,536,638,2374
HD13BW,HD1 3BW,HD,107,129,331,,22,97.3,155.8,331,10,15.3,36,,1,13.3,19,36,0,0,0,1,3,1,4,897,779,,6,741,896,1358
HD13BZ,HD1 3BZ,HD,48.4,43.8,76.56,7,15,48.9,48.9,,10,10.5,20,1,1,11.9,11.9,,0,0,2,1,20,0,20,540,325,33,75,614,614,
HD13DN,HD1 3DN,HD,51.3,45.1,77.45,3,16,51.9,51.9,,10,10.1,19.96,1,1,11.9,11.9,,0,1,0,2,15,0,15,371,144,0,56,414,414,
HD13DY,HD1 3DY,HD,64,49.2,80,9,14.7,66.7,66.7,,17.4,12.1,20,2,1.1,17.3,17.3,,0,0,4,11,31,0,31,471,297,112,225,605,605,
HD13ER,HD1 3ER,HD,20.1,25.7,73.69,6,21.5,74,74,,1,5,19.98,1,1.5,20,20,,0,1,1,2,1,0,1,40,40,15,35,64,64,
HD13HJ,HD1 3HJ,HD,92.6,95.9,205,8,17,123.7,123.7,,10,11.7,21,1,1,15.3,15.3,,0,0,1,1,6,0,6,472,466,8,16,547,547,
HD13HR,HD1 3HR,HD,107,131.4,460,,15,109.3,144.8,417,10,15.5,36,,6,14.1,16.6,36,0,0,0,3,23,3,26,670,301,,124,511,656,1763
HD13HU,HD1 3HU,HD,78.1,88,205,,,88,88,,19.5,15.6,21,,,15.6,15.6,,0,0,0,0,9,0,9,295,254,,,295,295,
HD13HY,HD1 3HY,HD,79.7,97,205,,10,103.2,103.2,,20,14.9,21,,1,15.9,15.9,,0,0,0,1,14,0,14,696,624,,76,691,691,
HD13HZ,HD1 3HZ,HD,93.5,119.9,331,10,,103,135.6,331,15,16,36,1,,15.2,18.1,36,0,0,1,0,6,1,7,394,388,45,,228,331,951
HD13JA,HD1 3JA,HD,107,112.6,205,,,112.6,112.6,,10,12.1,21,,,12.1,12.1,,0,0,0,0,10,0,10,673,481,,,606,606,
HD13JF,HD1 3JF,HD,78.1,64.3,107,8.5,,82.8,82.8,,19.5,13.8,20,1,,18.2,18.2,,0,0,2,0,6,0,6,511,482,24,,674,674,
HD13JG,HD1 3JG,HD,107,127.5,331,4,,99.6,143,331,10,15,36,1,,12.4,16.8,36,0,2,0,0,13,3,16,503,463,158,,497,546,760
HD13JH,HD1 3JH,HD,78.1,83.2,205,5,,96.2,96.2,,10,11.6,21,1,,13.5,13.5,,0,0,1,0,6,0,6,723,681,276,,556,556,
HD13JJ,HD1 3JJ,HD,79.8,122.7,1000,7,,93.4,127,1000,10,14.1,21,1,,13.5,13,0,0,0,1,0,26,1,27,791,594,17,,721,790,2590
HD13JL,HD1 3JL,HD,76.5,99.6,593,6.5,29,86.7,118,462,10,12,39,1,6,12,14.1,37.5,0,1,3,1,22,2,24,726,681,45,1793,752,765,904
HD13JQ,HD1 3JQ,HD,100,108.5,460,7.3,11,110.5,124.5,460,10,14.1,36,1,1,14.8,15.6,36,0,0,3,1,24,1,25,435,412,34,194,413,441,1094
HD13JR,HD1 3JR,HD,92.6,162,1000,,,85.8,162,1000,10,12,19.53,,,10.9,10,0,0,0,0,0,11,1,12,724,639,,,694,724,1055
HD13JS,HD1 3JS,HD,78.1,106.7,500,7,11,88.1,141.4,443.7,10,12.5,36,1,1,14.4,14.1,12,0,1,5,1,17,3,20,614,428,162,34,627,779,1636
HD13JT,HD1 3JT,HD,107,108.1,593,7,10,112.4,129.6,593,10,12.2,39,1,1,12.9,13.8,39,0,1,4,1,27,1,28,610,543,199,17,663,639,0
HD13JW,HD1 3JW,HD,107,107,205,,,106.9,106.9,,10,12,21,,,11.2,11.2,,0,0,0,0,14,0,14,778,792,,,722,722,
HD13LL,HD1 3LL,HD,39.9,40.9,77.85,6,16,60,60,,10,10.1,20,1,1,15.6,15.6,,0,0,2,1,5,0,5,510,309,32,258,752,752,
HD13LZ,HD1 3LZ,HD,34.7,61.2,205,,20.8,81.3,81.3,,6.5,8.2,21,,5,9.9,9.9,,0,0,0,6,12,0,12,1291,1110,,1329,1272,1272,
HD13NA,HD1 3NA,HD,63.6,97.8,1000,,14,72.3,100.4,1000,15.7,14.8,20,,1,13.4,13,0,0,0,0,1,32,1,33,979,868,,95,971,1006,2114
HD13NE,HD1 3NE,HD,52,140.5,1000,8.5,23,97.1,185.4,597,9.1,11.3,36,2,6,11.2,13.5,24,0,0,4,2,14,3,17,854,875,296,488,1000,1029,1162
HD13NF,HD1 3NF,HD,107,164.5,1000,8,15,103,190.8,740,10,11,36,1,6,11.4,11.1,9,0,0,2,3,25,4,29,659,499,479,433,514,672,1654
HD13NG,HD1 3NG,HD,100,106.9,500,6.7,17.4,101,125.7,430.3,8.3,10.8,36,1,5.4,9.8,10.8,24,0,0,3,5,37,3,40,548,486,48,646,526,532,602
HD13NH,HD1 3NH,HD,56.6,137.3,1000,6.5,25.5,85.7,156,1000,9.8,9.7,21,1,7,9.4,8.7,0,0,0,2,2,24,2,26,784,518,113,760,700,807,2095
HD13NJ,HD1 3NJ,HD,219,325.5,1000,,,78.3,325.5,572.8,13.5,19.6,36,,,11.5,14.8,18,0,0,0,0,4,4,8,1230,923,,,1078,1077,1075
HD13NL,HD1 3NL,HD,107,97.7,205,,,97.7,97.7,,10,13.5,21,,,13.4,13.4,,0,0,0,0,7,0,7,730,759,,,625,625,
HD13NP,HD1 3NP,HD,27.4,26.3,39.84,9,23.1,36.8,36.8,,5.9,5.5,8.56,1,5.4,6.8,6.8,,0,0,1,8,4,0,4,1013,676,0,1298,697,697,
HD13NQ,HD1 3NQ,HD,79.6,103.4,331,3,24.4,105.4,125.9,331,10,13,36,1,7.4,12.1,14.3,36,0,1,0,5,20,2,22,556,438,20,760,509,508,495
HD13QD,HD1 3QD,HD,33.4,35.4,67.95,6,12.5,60.7,60.7,,6.9,7.9,18.91,1,1,15,15,,0,0,1,2,3,0,3,70,63,16,38,109,109,
HD13QP,HD1 3QP,HD,107,99.8,205,6.5,,113.1,113.1,,10,12.5,21,1,,14.1,14.1,,0,0,2,0,14,0,14,606,468,327,,603,603,
HD13QR,HD1 3QR,HD,156,194.6,593,,10,124.4,220.9,462,16.5,18.8,39,,1,14.8,21.3,37.5,0,0,0,1,5,2,7,528,446,,233,604,495,223
HD13QS,HD1 3QS,HD,107,130.5,205,7,,151.2,151.2,,20,14.9,21,1,,17.2,17.2,,0,0,1,0,6,0,6,338,274,316,,342,342,
HD13QU,HD1 3QU,HD,107,133.8,593,,11.5,98,168.7,593,10,13.5,39,,1,13.3,17,39,0,0,0,2,6,1,7,110,86,,133,66,57,0
HD13QX,HD1 3QX,HD,107,129,593,,14,90.2,140.5,593,10,12.2,39,,1,10.6,13.4,39,0,0,0,1,9,1,10,909,514,,8,908,817,0
HD13QY,HD1 3QY,HD,61.3,86,205,,14,92.5,92.5,,10,13,21,,1,14.1,14.1,,0,0,0,1,11,0,11,411,65,,9,410,410,
HD13RA,HD1 3RA,HD,107,77.1,107,9,12,91.9,91.9,,10,8.8,19.53,1,1,10.6,10.6,,0,0,1,1,9,0,9,408,432,3,1,317,317,
HD13RR,HD1 3RR,HD,78,74.1,79.67,,,74.2,74.2,,20,19.6,20,,,19.7,19.7,,0,0,0,0,6,0,6,51,21,,,42,42,
HD13RT,HD1 3RT,HD,107,112.3,331,,,107.5,112.3,331,15.9,15.4,36,,,14.9,15.4,36,0,0,0,0,46,1,47,631,539,,,532,564,2025
HD13RU,HD1 3RU,HD,78.1,87.6,205,,,87.6,87.6,,15,14.6,21,,,14.6,14.6,,0,0,0,0,10,0,10,727,588,,,727,727,
HD13RX,HD1 3RX,HD,77.8,125.5,460,9,,83.6,132,374,18.6,17,36,1,,14.2,17.8,36,0,0,1,0,15,3,18,645,458,104,,640,603,419
HD13RY,HD1 3RY,HD,107,135.7,460,7,,123.4,143.2,460,10,13.5,36,1,,12.9,14.3,36,0,0,1,0,16,1,17,509,320,8,,521,509,320
HD13RZ,HD1 3RZ,HD,92.6,81.7,205,6,,88.5,88.5,,10,10.3,21,1,,11.2,11.2,,0,0,1,0,11,0,11,657,553,28,,654,654,
HD13SA,HD1 3SA,HD,53.3,84.6,205,7.3,27,110.9,110.9,,10,10.8,21,1,6,13.9,13.9,,0,0,4,1,14,0,14,600,557,200,2114,606,606,
HD13SB,HD1 3SB,HD,107,160.7,593,8,,109.9,170.3,593,10,15.8,39,1,,12.4,15.7,39,0,0,1,0,14,2,16,878,573,56,,936,819,0
HD13SD,HD1 3SD,HD,59.8,83.7,205,,,83.8,83.8,,10,12.9,21,,,12.9,12.9,,0,0,0,0,8,0,8,858,690,,,858,858,
HD13SE,HD1 3SE,HD,107,138.7,500,7,24,112.5,145.7,500,10,12.5,21,1,6,11.9,10.9,0,0,0,1,1,32,3,35,641,546,36,1656,603,611,692
