postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HG11AE,HG1 1AE,HG,19.5,17.3,22.45,5.5,19.7,,,,1.1,1,1.24,0.5,1.1,,,,0,1,1,10,0,0,0,33,22,28,27,,,
HG11AX,HG1 1AX,HG,79.7,83.5,205,,13.5,97.4,97.4,,14.8,13.6,21,,1,16.1,16.1,,0,0,0,2,10,0,10,458,346,,168,516,516,
HG11BA,HG1 1BA,HG,78.9,131.3,331,,21,109,153.4,331,20,19.2,36,,1,19.5,22.8,36,0,0,0,1,4,1,5,140,77,,5,174,139,0
HG11BE,HG1 1BE,HG,93.3,94.9,205,,19,105.9,105.9,,14.7,13.9,21,,1,15.7,15.7,,0,0,0,1,7,0,7,641,429,,67,631,631,
HG11BJ,HG1 1BJ,HG,29.8,58.1,156.16,8,18.7,101.6,101.6,,5.6,11.3,29.37,1,1,21.8,21.8,,0,0,2,3,5,0,5,379,35,2,16,521,521,
HG11BL,HG1 1BL,HG,79.7,105.6,331,,16.5,99.6,126.2,330,14.1,15.7,49.94,,1,16.3,19.2,40.7,0,0,0,6,23,3,26,247,106,,21,237,252,365
HG11BW,HG1 1BW,HG,23,22.6,24.18,,22.6,,,,1.2,1.2,1.27,,1.2,,,,0,0,0,5,0,0,0,269,243,,269,,,
HG11BX,HG1 1BX,HG,21.4,57.6,205,,18.2,106.9,106.9,,1.3,5.5,21,,1.1,10.9,10.9,,0,0,0,15,12,0,12,285,199,,127,363,363,
HG11BY,HG1 1BY,HG,107,116.2,593,4,19.5,123.3,207.8,461,10,9.9,39,0,1.2,11.8,18.1,36.8,0,1,0,14,12,4,16,297,166,0,157,299,363,555
HG11DB,HG1 1DB,HG,19.8,71.4,331,,17.8,156,214.3,331,1.1,6.9,36,,1.1,15.5,22.3,36,0,0,0,8,2,1,3,245,76,,82,593,681,858
HG11DD,HG1 1DD,HG,20.9,58.2,107,8,19.4,107,107,,1.2,5.1,10,1,1,10,10,,0,0,1,5,5,0,5,340,181,131,151,570,570,
HG11DH,HG1 1DH,HG,19.6,47.9,331,6.5,17.9,102.8,148.4,331,1,5.7,36,1,1,17.3,21,36,0,1,1,14,4,1,5,179,58,30,94,340,406,672
HG11DL,HG1 1DL,HG,79.7,104.4,460,8,17.3,94.8,115.2,374,10,14.4,36,1,1.3,14.5,16,36,0,0,1,4,38,3,41,437,402,0,46,372,411,901
