postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HP100AA,HP10 0AA,HP,55.2,56.3,154.86,5,27,63.1,63.1,,14.8,14.4,29.96,0.7,8,16.1,16.1,,1,0,2,1,27,0,27,474,302,14,4321,382,382,
HP100AD,HP10 0AD,HP,50.2,45.8,64.86,6,,53.8,53.8,,10.2,9.9,16.59,1,,11.6,11.6,,0,0,1,0,5,0,5,329,271,294,,336,336,
HP100AF,HP10 0AF,HP,40,48,112.54,6.7,10.5,67.8,67.8,,10,10.8,20,0.7,1,15.8,15.8,,0,1,2,2,10,0,10,251,149,58,31,352,352,
HP100AG,HP10 0AG,HP,61.7,56.9,80,8,,62.3,62.3,,19.1,14.8,20,1,,16.3,16.3,,0,0,1,0,9,0,9,370,444,173,,392,392,
HP100AN,HP10 0AN,HP,78.1,163.4,327.61,,,59,163.4,320,19,29.4,49.94,,,15.7,29.4,50,0,0,0,0,3,2,5,572,557,,,299,572,981
HP100AT,HP10 0AT,HP,49,44.5,68.02,4.5,25,52.1,52.1,,9,8.6,15.38,1,4,10.2,10.2,,0,1,1,1,13,0,13,381,226,108,84,446,446,
HP100AU,HP10 0AU,HP,39,42.9,76.33,6,,49,49,,10,10.8,20,0,,12.5,12.5,,0,0,1,0,6,0,6,616,289,0,,719,719,
HP100AW,HP10 0AW,HP,38.8,38.8,66.06,9,25,45,45,,7.6,8.7,15.73,1,7.5,9.6,9.6,,0,0,1,6,18,0,18,506,513,711,453,512,512,
HP100AX,HP10 0AX,HP,37.1,40.9,75.52,8,,47.4,47.4,,12.9,12.2,19.53,1,,14.4,14.4,,0,0,1,0,5,0,5,331,155,17,,393,393,
HP100BA,HP10 0BA,HP,39.1,30.2,52.46,6.5,20.5,43.6,43.6,,7.2,6.3,8.52,2,8,7.4,7.4,,0,1,1,2,5,0,5,222,124,64,130,323,323,
HP100BD,HP10 0BD,HP,54.8,53.1,80,4,,57.5,57.5,,15.3,13,20,1,,14.1,14.1,,0,1,1,0,22,0,22,944,588,98,,1021,1021,
HP100BE,HP10 0BE,HP,27.7,32.3,75.73,4,22.3,51.6,51.6,,6.9,7.2,19.53,1,5.5,11,11,,0,2,0,4,5,0,5,761,466,192,439,1247,1247,
HP100BG,HP10 0BG,HP,35,35.8,63.66,6,23.5,40.5,40.5,,6.6,7.3,16.04,1,5.8,8,8,,0,0,1,6,22,0,22,739,517,2,712,780,780,
HP100BH,HP10 0BH,HP,25.7,25.5,40.5,3.7,21.6,36.5,36.5,,6.2,4.9,7.52,0.7,4.9,6.2,6.2,,0,3,0,14,11,0,11,608,456,177,646,677,677,
HP100BJ,HP10 0BJ,HP,23.4,24.2,66.72,4.5,21.2,38.2,38.2,,4.8,4.6,20,0.8,3.9,7.5,7.5,,1,1,2,25,11,0,11,735,551,112,814,782,782,
HP100BL,HP10 0BL,HP,17.1,17.4,26.44,6.5,19.5,,,,2.7,2.4,4.6,0.5,2.7,,,,0,1,1,11,0,0,0,440,450,45,512,,,
HP100BN,HP10 0BN,HP,5.1,10.3,25.31,4.3,22,,,,0.8,1.1,2.32,0.8,2,,,,0,4,2,3,0,0,0,123,81,47,235,,,
HP100BP,HP10 0BP,HP,62.9,60,79.91,5,26,65.2,65.2,,18.2,14.9,20,1,7,16.1,16.1,,0,1,1,2,34,0,34,422,248,47,755,425,425,
