postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HR11AD,HR1 1AD,HR,74.4,62.2,80,4,,66,66,,19.5,15.5,20,1,,16.5,16.5,,1,2,1,0,62,0,62,650,401,37,,680,680,
HR11AH,HR1 1AH,HR,73.4,62.6,80,5,,66.5,66.5,,19.5,16.2,20,0.5,,17.2,17.2,,0,1,1,0,30,0,30,368,373,11,,379,379,
HR11AJ,HR1 1AJ,HR,75,56.4,80,2.5,,78,78,,19.5,14.2,20,0.5,,19.6,19.6,,1,1,0,0,5,0,5,309,167,52,,412,412,
HR11AL,HR1 1AL,HR,64.4,60.5,79.67,4,,64.3,64.3,,19.2,15.3,20,1,,16.2,16.2,,0,1,0,0,15,0,15,432,358,47,,458,458,
HR11AN,HR1 1AN,HR,60.7,56.7,79.67,,,56.7,56.7,,13,13.3,20,,,13.3,13.3,,0,0,0,0,29,0,29,421,256,,,421,421,
HR11AP,HR1 1AP,HR,76.1,70.2,80,,,70.2,70.2,,19.5,18.1,20,,,18.1,18.1,,0,0,0,0,17,0,17,488,313,,,488,488,
HR11AR,HR1 1AR,HR,72.1,58.1,77.8,4,,63,63,,18.9,14.7,20,1,,16,16,,0,1,0,0,11,0,11,773,532,27,,840,840,
HR11AT,HR1 1AT,HR,63.5,60.7,79.91,,,60.8,60.8,,16.1,15.3,20,,,15.3,15.3,,0,0,0,0,29,0,29,455,281,,,455,455,
HR11AU,HR1 1AU,HR,51.9,48,70.51,1,,54.7,54.7,,11.6,12.4,20,0,,14.1,14.1,,1,0,0,0,7,0,7,171,126,9,,194,194,
HR11AW,HR1 1AW,HR,54.8,51.2,79.66,4.7,,58.9,58.9,,10,12.2,20,1,,14.1,14.1,,0,2,1,0,18,0,18,195,125,110,,210,210,
HR11AX,HR1 1AX,HR,60.7,59.5,73.37,,,59.5,59.5,,14.8,14.3,20,,,14.3,14.3,,0,0,0,0,25,0,25,326,189,,,326,326,
HR11AY,HR1 1AY,HR,56,58.1,73.98,,,58.1,58.1,,13.6,13.8,20,,,13.8,13.8,,0,0,0,0,14,0,14,576,403,,,576,576,
HR11AZ,HR1 1AZ,HR,57.3,55.1,79.82,4.5,12,59.8,59.8,,14.8,13.9,20,2.5,3,15,15,,0,1,1,1,31,0,31,364,211,86,31,393,393,
