postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HS12AG,HS1 2AG,HS,43.9,47.1,79.67,,20.1,59.7,59.7,,10,11.5,20,,1.1,16.3,16.3,,0,0,0,7,15,0,15,403,315,,302,450,450,
HS12AJ,HS1 2AJ,HS,54.8,54.6,79.91,,18,69.2,69.2,,10,11.7,20,,1,16,16,,0,0,0,2,5,0,5,472,397,,599,327,327,
HS12DA,HS1 2DA,HS,23.9,36.5,78.39,,23.5,62.5,62.5,,1.3,6.3,20,,1.3,16.5,16.5,,0,0,0,4,2,0,2,170,49,,41,344,344,
HS12DB,HS1 2DB,HS,43.1,46.6,79.66,,20.3,62.2,62.2,,8.8,10.1,20,,1,15.6,15.6,,0,0,0,3,5,0,5,190,60,,9,184,184,
HS12DD,HS1 2DD,HS,43.7,47,79.67,4.5,22.6,70,70,,7.8,9.9,20,0.5,1.2,16.8,16.8,,1,0,1,5,9,0,9,125,22,0,132,135,135,
HS12DF,HS1 2DF,HS,45.4,45.2,79.01,2,23.5,74,74,,10.6,10.5,20,0,1,20,20,,0,1,0,2,3,0,3,146,39,0,24,228,228,
HS12DG,HS1 2DG,HS,52.4,49.8,80,8,23.5,63.3,63.3,,14.6,12.2,20,1,1,17,17,,0,0,1,2,7,0,7,149,30,15,10,165,165,
HS12DH,HS1 2DH,HS,63.8,59.9,79.42,,,59.9,59.9,,20,15.5,20,,,15.6,15.6,,0,0,0,0,9,0,9,107,67,,,107,107,
HS12DJ,HS1 2DJ,HS,46.2,38.7,54.78,8,23,50.3,50.3,,9.9,6.9,10,0,1,10,10,,0,0,1,1,4,0,4,205,162,272,177,195,195,
HS12DL,HS1 2DL,HS,47.3,48.6,79.67,,22,68.5,68.5,,10,9.8,20,,1.2,16.3,16.3,,0,0,0,6,8,0,8,201,113,,77,295,295,
HS12DR,HS1 2DR,HS,54.8,46.8,80,6.3,21.7,61.9,61.9,,10,11,20,0.7,1,15.7,15.7,,1,0,2,3,13,0,13,102,49,3,2,140,140,
HS12DS,HS1 2DS,HS,32.1,41.7,76.33,,22.3,61,61,,5.6,7.3,16.11,,1.3,13.5,13.5,,0,0,0,4,4,0,4,76,52,,33,119,119,
HS12DU,HS1 2DU,HS,68.3,57.4,80,8,21.5,64.9,64.9,,17.5,13.4,20,1,2,15.6,15.6,,0,0,1,2,16,0,16,411,217,53,106,446,446,
HS12DZ,HS1 2DZ,HS,59.5,54.2,80,,21,64.1,64.1,,9.9,11.4,20,,1.3,14.4,14.4,,0,0,0,3,10,0,10,267,104,,56,330,330,
HS12ED,HS1 2ED,HS,59.2,56.8,80,,17,61.1,61.1,,12.7,13.2,20,,1,14.6,14.6,,0,0,0,1,9,0,9,224,179,,167,231,231,
HS12EG,HS1 2EG,HS,54.8,57.6,72.45,,,57.6,57.6,,12.9,13.6,19.57,,,13.6,13.6,,0,0,0,0,13,0,13,854,382,,,854,854,
HS12EH,HS1 2EH,HS,66.9,57.5,70.33,,16,65.8,65.8,,17.4,14.3,20,,1,17,17,,0,0,0,1,5,0,5,317,193,,160,348,348,
