postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HU106AA,HU10 6AA,HU,80,165,400,,,106.3,165,400,20,31.2,200,,,22,31.2,68,0,0,0,0,20,5,25,381,299,,,283,381,770
HU106AB,HU10 6AB,HU,30,84.1,400,,18.3,77.9,94,400,15,17.7,35,,1,19.5,20.3,35,0,0,0,3,19,1,20,161,138,,59,174,176,216
HU106AD,HU10 6AD,HU,200,241.9,1000,,,110.3,241.9,461.1,35,47.1,500,,,23.7,47.1,86.1,0,0,0,0,15,9,24,428,273,,,389,428,493
HU106AE,HU10 6AE,HU,200,228.1,400,,,159.3,228.1,400,35,30,35,,,28,30,35,0,0,0,0,15,6,21,519,347,,,353,518,932
HU106AF,HU10 6AF,HU,200,214.6,400,,,164.1,214.6,400,35,30,35,,,28.6,30,35,0,0,0,0,11,3,14,463,378,,,442,463,543
HU106AH,HU10 6AH,HU,150,184.6,400,,,125,184.6,383.3,20,30.4,125,,,29.5,30.4,33.3,0,0,0,0,10,3,13,498,256,,,533,498,381
HU106AJ,HU10 6AJ,HU,137.5,170,400,9,10,108.6,181.4,400,27.5,24.9,35,1,1,23.8,26.6,35,0,0,1,1,21,7,28,400,362,6,153,369,423,584
HU106AL,HU10 6AL,HU,200,221.3,750,,,114.2,221.3,462.5,32.5,82.5,375,,,42.8,82.5,171.9,0,0,0,0,18,8,26,291,185,,,229,291,432
HU106AN,HU10 6AN,HU,75,161.8,400,,17,105,176.3,390,20,22.8,35,,1,22,25,34,0,0,0,2,15,5,20,506,329,,346,321,522,1124
HU106AP,HU10 6AP,HU,75,122.5,400,,,97.3,122.5,400,17.5,21.7,35,,,20.5,21.7,35,0,0,0,0,11,1,12,355,238,,,249,326,1175
HU106AR,HU10 6AR,HU,75,172.5,400,,16,101.5,179.3,400,20,23.6,35,,1,20.9,24.6,35,0,0,0,1,17,6,23,376,331,,537,290,369,591
HU106AS,HU10 6AS,HU,200,168.6,400,,14,125.8,175.7,400,35,29,125,,1,29.2,30.2,35,0,0,0,1,18,4,22,407,353,,12,377,407,539
HU106AT,HU10 6AT,HU,112.5,154.1,400,,12,119.2,171.9,400,20,22,35,,1,22.3,24.7,35,0,0,0,2,13,3,16,642,362,,33,489,718,1708
HU106AU,HU10 6AU,HU,75,151.4,400,,,110,151.4,400,20,24.3,35,,,22.5,24.3,35,0,0,0,0,6,1,7,237,252,,,187,237,540
HU106AW,HU10 6AW,HU,200,171.6,400,,,144.7,171.6,400,30,25.3,35,,,24.1,25.3,35,0,0,0,0,17,2,19,296,209,,,252,296,664
HU106AX,HU10 6AX,HU,50,64.2,150,,,64.2,64.2,,12.5,12.5,20,,,12.5,12.5,,0,0,0,0,6,0,6,71,64,,,71,71,
HU106AY,HU10 6AY,HU,75,134.5,400,,11,114.3,150,400,20,17.9,35,,1,17.9,20,35,0,0,0,1,7,1,8,149,62,,1,136,167,386
HU106AZ,HU10 6AZ,HU,50,153.3,750,,,69,153.3,575,15,46.3,375,,,14.5,46.3,205,0,0,0,0,10,2,12,147,91,,,90,147,432
HU106BA,HU10 6BA,HU,75,130.3,400,,15,112.7,156.9,400,15,17,35,,1,18.2,20.8,35,0,0,0,3,11,2,13,233,153,,27,258,281,404
HU106BB,HU10 6BB,HU,175,167,400,,,108.8,167,400,25,24.5,35,,,21.9,24.5,35,0,0,0,0,8,2,10,308,264,,,283,308,409
HU106BD,HU10 6BD,HU,250,220,400,,,85,220,400,30,25.7,35,,,18.8,25.7,35,0,0,0,0,4,3,7,268,91,,,47,268,564
HU106BE,HU10 6BE,HU,75,150.6,400,,,119.4,150.6,400,20,24.4,35,,,23.1,24.4,35,0,0,0,0,8,1,9,194,81,,,196,194,175
HU106BF,HU10 6BF,HU,30,33,75,6,21,35.5,35.5,,15,11.9,20,1,1,13,13,,0,0,1,2,20,0,20,33,16,8,7,37,37,
HU106BH,HU10 6BH,HU,75,154.4,400,,,96,154.4,400,20,24,35,,,21.4,24,35,0,0,0,0,21,5,26,354,313,,,282,354,659
HU106BJ,HU10 6BJ,HU,75,148.7,400,,22,124.6,151.1,400,20,22.2,35,,1,21.3,22.6,35,0,0,0,1,47,5,52,327,248,,79,321,326,368
HU106BL,HU10 6BL,HU,200,194.7,400,,21,113.8,209.2,400,30,24.3,35,,1,21.9,26.3,35,0,0,0,1,8,4,12,365,311,,43,355,392,464
HU106BN,HU10 6BN,HU,200,230.3,750,,,150.4,230.3,550,35,81.3,375,,,46.7,81.3,220,0,0,0,0,12,3,15,376,228,,,323,376,587
HU106BP,HU10 6BP,HU,200,236.2,1000,,,127,236.2,600,30,46.9,200,,,32.5,46.9,95,0,0,0,0,10,3,13,247,131,,,273,247,159
