postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HX11BX,HX1 1BX,HX,19.2,22.9,74.63,8,18.9,75,75,,1.1,2.7,19.74,1,1,20,20,,0,0,1,9,1,0,1,283,224,28,330,124,124,
HX11DJ,HX1 1DJ,HX,79.7,74.4,80,,,74.4,74.4,,20,18.8,20,,,18.8,18.8,,0,0,0,0,11,0,11,175,177,,,175,175,
HX11DL,HX1 1DL,HX,23.1,44.4,331,6,22,80,205.5,331,1,4.6,36,1,1,20,28,36,0,1,1,11,1,1,2,170,17,13,54,21,880,1738
HX11DZ,HX1 1DZ,HX,22.4,30.5,80,6,22.3,80,80,,1,4.7,20,0,1,20,20,,0,0,1,3,1,0,1,63,101,0,103,8,8,
HX11HA,HX1 1HA,HX,23.4,42.7,107,4,22.3,93.3,93.3,,1.1,3.4,10,0,1.1,8.8,8.8,,0,1,0,8,4,0,4,277,188,3,291,247,247,
HX11HF,HX1 1HF,HX,23.4,23.5,24.38,,23.5,,,,1.3,1.1,1.27,,1.2,,,,0,0,0,11,0,0,0,184,168,,167,,,
HX11HS,HX1 1HS,HX,23.6,38.7,80,,22.2,80,80,,1.1,6.4,20,,1,20,20,,0,0,0,5,2,0,2,66,51,,42,128,128,
HX11JB,HX1 1JB,HX,73.1,53,79.91,,20.7,77.3,77.3,,18.4,11.6,20,,1,19.5,19.5,,0,0,0,3,4,0,4,521,211,,79,722,722,
HX11PB,HX1 1PB,HX,23.6,22.1,24.54,,22.2,,,,1,1,1.02,,1,,,,0,0,0,5,0,0,0,115,39,,115,,,
HX11PR,HX1 1PR,HX,58.2,49.7,80,3,20,70.8,70.8,,15,11.5,20,0,1,18,18,,0,1,0,2,5,0,5,45,30,0,72,43,43,
HX11QE,HX1 1QE,HX,48.2,46.2,76.33,,21,54.7,54.7,,10.7,9.8,19.98,,1,12.7,12.7,,0,0,0,2,6,0,6,193,77,,40,244,244,
HX11QH,HX1 1QH,HX,78.1,76.3,107,,,76.2,76.2,,19.5,15.7,19.53,,,15.8,15.8,,0,0,0,0,5,0,5,266,300,,,266,266,
HX11QR,HX1 1QR,HX,52,113.4,331,,,59,113.4,331,10,13.6,36,,,8,13.6,36,0,0,0,0,4,1,5,349,61,,,190,349,987
HX11QY,HX1 1QY,HX,60.1,55.9,79.67,,17,60.2,60.2,,15.6,13.5,19.53,,1,14.9,14.9,,0,0,0,1,9,0,9,539,327,,785,512,512,
HX11RU,HX1 1RU,HX,19,16.6,23.33,8.4,18.8,,,,0.9,0.9,1.27,0.8,0.9,,,,0,0,5,19,0,0,0,80,17,4,70,,,
HX11TA,HX1 1TA,HX,22.6,19.8,24.38,8,21.4,,,,1,1,1.15,1,1,,,,0,0,1,7,0,0,0,58,51,1,58,,,
HX11TT,HX1 1TT,HX,22.5,25.4,76.33,8,21.7,76,76,,1.1,2.8,20,1,1,20,20,,0,0,1,9,1,0,1,158,107,5,128,267,267,
HX11UG,HX1 1UG,HX,24.4,50.1,107,,21.6,107,107,,1.3,4.1,10,,1.1,10,10,,0,0,0,10,5,0,5,193,141,,48,368,368,
HX11UP,HX1 1UP,HX,22.5,22.4,23.44,,22.4,,,,1.3,1.2,1.28,,1.2,,,,0,0,0,12,0,0,0,489,368,,489,,,
HX11UR,HX1 1UR,HX,23.5,21,23.93,,21,,,,1,0.9,1.02,,1,,,,0,0,0,5,0,0,0,47,37,,47,,,
HX11UU,HX1 1UU,HX,22,22,23.44,,22,,,,1.2,1.2,1.27,,1.1,,,,0,0,0,7,0,0,0,529,198,,529,,,
HX11XF,HX1 1XF,HX,79.7,59.8,107,8,24,88.7,88.7,,10,10.5,20,1,1,16.7,16.7,,0,0,1,1,3,0,3,25,16,0,2,24,24,
HX11YN,HX1 1YN,HX,107,102.8,331,,23,97.9,113.4,331,10,12.5,36,,1,12.5,14.1,36,0,0,0,2,14,1,15,257,136,,175,265,268,318
HX11YP,HX1 1YP,HX,40,53.6,107,,20,65.9,65.9,,10,10.8,20,,2.3,13.9,13.9,,0,0,0,7,19,0,19,246,97,,171,274,274,
HX11YS,HX1 1YS,HX,40,57.3,107,,21,68.1,68.1,,10,11.4,20,,1.3,14.4,14.4,,0,0,0,3,10,0,10,763,139,,23,985,985,
HX11YW,HX1 1YW,HX,65.6,78.3,205,,22,89.5,89.5,,10,12.1,21,,1,14.3,14.3,,0,0,0,3,15,0,15,157,29,,22,163,163,
HX12AD,HX1 2AD,HX,54.8,74.9,205,,22,96,96,,10,10.3,21,,1.5,14,14,,0,0,0,2,5,0,5,392,315,,274,362,362,
HX12AL,HX1 2AL,HX,80,84.6,107,,,84.6,84.6,,15,15,20,,,15,15,,0,0,0,0,8,0,8,482,167,,,422,422,
HX12AR,HX1 2AR,HX,69.7,90.5,331,9,11,70.5,122.6,331,17,15.7,36,1,1,18,21.6,36,0,0,1,1,4,1,5,521,452,18,9,792,724,452
HX12AZ,HX1 2AZ,HX,22.6,30.9,79.67,,20.6,67,67,,1.2,4.2,20,,1.1,15,15,,0,0,0,7,2,0,2,142,12,,168,51,51,
HX12BA,HX1 2BA,HX,40.3,55.4,205,3,22.8,68.9,68.9,,8.4,9.7,21,1,4.8,11.8,11.8,,0,1,0,5,16,0,16,570,288,9,302,617,617,
HX12BD,HX1 2BD,HX,78.1,58.2,79.91,,17,71.9,71.9,,19.5,13.9,19.98,,2.7,17.6,17.6,,0,0,0,3,9,0,9,513,240,,181,624,624,
HX12BE,HX1 2BE,HX,52,86.1,331,,15,69,106.4,331,10,11.3,36,,0.5,10.8,14.4,36,0,0,0,2,6,1,7,492,388,,165,602,516,0
