postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
IG101AD,IG10 1AD,IG,23.4,32,107,8,21.6,107,107,,1.2,2.4,10,0.5,1.2,10,10,,0,0,2,17,3,0,3,263,141,139,193,391,391,
IG101AF,IG10 1AF,IG,107,151.4,593,8,15.7,151.5,282.1,461.5,10,12.9,39,0.4,1,15,24.3,37.1,0,0,5,13,11,8,19,388,317,87,323,473,411,325
IG101AG,IG10 1AG,IG,107,114.6,331,,17.3,139.7,187.5,331,10,11.4,36,,0.8,13.7,19.3,36,0,0,0,6,6,2,8,330,270,,103,465,501,608
IG101AH,IG10 1AH,IG,15.9,28.2,80,8,17.7,80,80,,0.9,4.7,20,0.5,1,20,20,,0,0,2,6,2,0,2,90,90,0,80,122,122,
IG101AL,IG10 1AL,IG,79.9,117.5,460,,24,86.3,127.8,460,14.6,15.6,36,,1,14.9,17.2,36,0,0,0,1,8,1,9,536,454,,221,595,571,376
IG101AN,IG10 1AN,IG,51.6,173.9,1096,,20.8,155.1,315.3,502.2,9.8,14.4,49,,1.2,16.3,26.6,38.7,0,0,0,12,7,6,13,497,522,,467,493,410,313
IG101AQ,IG10 1AQ,IG,23.4,22.7,24.26,,22.7,,,,1.2,1.1,1.27,,1.1,,,,0,0,0,21,0,0,0,750,581,,750,,,
IG101BB,IG10 1BB,IG,61.8,105,593,,23.8,72.4,159.2,593,18.5,14,39,,1,19.4,22.7,39,0,0,0,4,5,1,6,144,48,,132,154,128,0
IG101BF,IG10 1BF,IG,76.3,69.1,80,,,69.1,69.1,,19.5,18.6,20,,,18.6,18.6,,0,0,0,0,29,0,29,622,447,,,622,622,
IG101BL,IG10 1BL,IG,65.2,168.8,1096,7.5,18.4,119.3,320.8,589.5,5.6,12.3,49,1,1.1,11.4,23.5,39.7,0,0,2,12,8,6,14,315,241,139,342,325,227,97
