postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
IP100AA,IP10 0AA,IP,24.9,23.9,45.45,6,23.6,38.6,38.6,,5.3,4.4,8.05,0.5,4.5,7.2,7.2,,0,1,3,8,5,0,5,233,128,55,194,440,440,
IP100AE,IP10 0AE,IP,55,95.2,330,5.5,,81.3,131,330,10,16,50,1,,15,22,50,0,1,1,0,4,1,5,173,72,122,,48,194,776
IP100AT,IP10 0AT,IP,67.5,93.1,330,7,,71.7,136.3,330,15,17,50,1,,16.7,25,50,0,0,2,0,3,1,4,711,473,0,,326,711,1867
IP100AU,IP10 0AU,IP,36.7,34.1,39.84,,24,36.5,36.5,,7.1,7.9,10,,7,8,8,,0,0,0,1,4,0,4,517,437,,618,492,492,
IP100BF,IP10 0BF,IP,79.7,99.4,330,,24,79.5,129.6,330,20,18.9,50,,1,20,26,50,0,0,0,2,4,1,5,180,65,,0,37,144,573
IP100BJ,IP10 0BJ,IP,12,65.2,330,9,13,,330,330,2.2,10.3,50,5,1.8,,50,50,0,0,1,4,0,1,1,107,55,381,55,,40,40
IP100BT,IP10 0BT,IP,80,249.9,1000,4.5,,120,413.3,1000,20,33.3,115,1,,25,55,115,0,1,1,0,2,1,3,382,98,18,,821,625,233
IP100BW,IP10 0BW,IP,35,40.8,80,4,13,71.7,71.7,,5.6,8.8,20,1,1,16.7,16.7,,0,1,0,2,3,0,3,197,131,90,90,304,304,
IP100DE,IP10 0DE,IP,37.7,35.1,57.34,8,20.3,47.2,47.2,,7.2,6.5,10.06,0.5,4.6,8.5,8.5,,0,0,2,7,13,0,13,245,186,1,185,296,296,
IP100DF,IP10 0DF,IP,27.3,29,74.61,,22.5,42,42,,1.6,4.5,20,,2.7,8.2,8.2,,0,0,0,10,5,0,5,391,274,,338,496,496,
IP100DG,IP10 0DG,IP,32.3,30.4,37.46,,21.8,34.3,34.3,,5.9,5.5,7.92,,3.8,6.2,6.2,,0,0,0,4,9,0,9,337,256,,323,343,343,
IP100DN,IP10 0DN,IP,330,332.7,1000,9,11,106.7,404.4,553.3,30,43.9,115,1,1,23.3,53.3,68.3,0,0,1,1,3,6,9,661,737,0,113,678,722,744
IP100DR,IP10 0DR,IP,71.3,87.3,330,,13.7,83.5,118.7,330,19.5,17.2,50,,1.3,19.8,24.1,50,0,0,0,3,6,1,7,225,100,,234,205,189,95
IP100DU,IP10 0DU,IP,80,165.9,1000,6.7,14,102.5,252.8,553.3,20,25.1,115,1,1,21.7,38.3,71.7,0,1,2,2,6,3,9,308,196,319,14,215,336,577
IP100DX,IP10 0DX,IP,80,95.6,330,3.5,12,106.7,162.5,330,20,17.5,50,1,1,23.3,30,50,1,0,1,1,3,1,4,620,113,185,334,1205,909,20
IP100DY,IP10 0DY,IP,67.3,94.4,330,10,,81.9,101,330,15,18.7,50,1,,17.5,20,50,0,0,1,0,12,1,13,233,210,203,,206,236,596
IP100DZ,IP10 0DZ,IP,75.7,102.7,550,5.8,,86.4,114.2,476.7,19.5,20.3,75,1.8,,19.1,22.5,66.7,0,1,4,0,39,3,42,383,222,48,,393,413,680
