postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
IV108AA,IV10 8AA,IV,43,42.3,58.64,6,,44.7,44.7,,8.2,7.9,12.41,1,,8.4,8.4,,0,0,1,0,15,0,15,343,117,67,,361,361,
IV108AB,IV10 8AB,IV,45.5,43.7,60.83,,24.3,46.7,46.7,,9.9,9.3,15.17,,5.7,9.9,9.9,,0,0,0,3,19,0,19,532,464,,271,573,573,
IV108AD,IV10 8AD,IV,45.7,43,68.46,8,20.5,49.2,49.2,,9.8,9.6,17.92,1,1,11.8,11.8,,0,0,1,4,20,0,20,491,303,130,302,498,498,
IV108AE,IV10 8AE,IV,40,41.3,44.81,,,41.3,41.3,,10,9.1,11.37,,,9.1,9.1,,0,0,0,0,7,0,7,632,407,,,632,632,
IV108RA,IV10 8RA,IV,4.1,3.8,6.41,3.8,,,,,0.7,0.7,1.16,0.8,,,,,1,9,2,0,0,0,0,85,93,71,,,,
IV108RH,IV10 8RH,IV,19.3,20.6,39.83,6,19.3,36.5,36.5,,2.4,3.1,10,1,2.4,8.5,8.5,,0,0,1,13,2,0,2,179,124,226,175,183,183,
IV108RJ,IV10 8RJ,IV,75.3,68.8,80,,,68.8,68.8,,20,17.6,20,,,17.6,17.6,,0,0,0,0,12,0,12,355,190,,,355,355,
IV108RP,IV10 8RP,IV,34.9,31.6,44.87,8,22.6,37.9,37.9,,5.1,4.7,7.58,3,2.2,5.9,5.9,,0,0,1,5,11,0,11,513,307,1,304,655,655,
IV108RQ,IV10 8RQ,IV,40,41.3,70.3,6,23,44.6,44.6,,10,9.5,18.16,1,3,10.5,10.5,,0,0,1,3,27,0,27,612,335,22,246,651,651,
IV108RS,IV10 8RS,IV,38.8,39.6,57.38,,26,43,43,,7.8,7.6,9,,9,7.3,7.3,,0,0,0,1,4,0,4,485,282,,282,535,535,
IV108RT,IV10 8RT,IV,47.2,49.3,59.26,,,49.2,49.2,,10,10.4,16.13,,,10.4,10.4,,0,0,0,0,5,0,5,318,221,,,318,318,
IV108RW,IV10 8RW,IV,23.4,34.6,64.87,,22.7,52.5,52.5,,1.3,6.7,19.84,,1.3,15,15,,0,0,0,3,2,0,2,171,177,,273,18,18,
IV108RX,IV10 8RX,IV,22.3,24.3,36.14,,23.1,36,36,,3.5,3.4,6.97,,3.1,7,7,,0,0,0,10,1,0,1,203,122,,215,82,82,
IV108RY,IV10 8RY,IV,21.3,21.1,24.99,,21.2,,,,2,2.4,4.58,,2.4,,,,0,0,0,5,0,0,0,205,160,,164,,,
IV108RZ,IV10 8RZ,IV,17.5,18.5,27.11,7,19.5,,,,1.2,1.2,2.51,1,1.3,,,,0,1,1,23,0,0,0,146,41,22,156,,,
IV108SA,IV10 8SA,IV,31.8,42.7,79.67,,20.6,65,65,,5.6,8.5,20,,1.2,16,16,,0,0,0,5,5,0,5,145,88,,69,220,220,
IV108SD,IV10 8SD,IV,21.9,22.8,78.12,6,20.3,46.5,46.5,,2.3,3.6,19.53,1,2.8,10,10,,0,1,1,25,4,0,4,223,92,20,223,269,269,
IV108SE,IV10 8SE,IV,22.6,23.8,42.69,,21.7,40.5,40.5,,2.4,3,8.7,,2.3,8,8,,0,0,0,16,2,0,2,367,209,,279,1071,1071,
IV108SG,IV10 8SG,IV,31.2,39.3,66.73,,25,50,50,,4.4,6.5,20,,2,10,10,,0,0,0,3,4,0,4,148,74,,258,66,66,
IV108SH,IV10 8SH,IV,15.1,16.6,62.78,5.6,20,48.5,48.5,,1.1,1.7,8.32,0.9,1.1,7,7,,0,3,5,7,2,0,2,327,212,298,327,278,278,
IV108SJ,IV10 8SJ,IV,31.3,29.7,63.75,5,25.2,40.4,40.4,,5.6,5.9,20,1,4.8,8.2,8.2,,0,2,1,5,9,0,9,297,234,258,262,330,330,
IV108SL,IV10 8SL,IV,4.6,6.3,15.36,4.7,14.5,,,,1.1,1,1.24,0.9,1,,,,0,8,2,2,0,0,0,228,118,105,733,,,
IV108SN,IV10 8SN,IV,5.2,7.1,25.63,4.5,15.4,,,,0.8,0.8,1.22,0.8,1,,,,1,8,7,5,0,0,0,126,104,112,145,,,
IV108SP,IV10 8SP,IV,25.3,25.7,40.49,6.5,20.4,35.7,35.7,,4.5,4.2,8.01,1,2.9,6.4,6.4,,0,1,1,46,28,0,28,281,157,196,230,352,352,
IV108SQ,IV10 8SQ,IV,56.8,59,80,,,59,59,,12.7,13.8,20,,,13.7,13.7,,0,0,0,0,15,0,15,286,214,,,267,267,
IV108SR,IV10 8SR,IV,17.7,16.9,22.61,10,17.2,,,,1.2,1.2,2.69,1,1.2,,,,0,0,1,31,0,0,0,404,232,514,387,,,
IV108SS,IV10 8SS,IV,21.3,19.2,27.92,,19.2,,,,1.9,1.6,2.37,,1.6,,,,0,0,0,9,0,0,0,283,172,,283,,,
IV108SU,IV10 8SU,IV,72.3,57,80,8,17.5,68.1,68.1,,19.4,14.2,20,0.5,1,17.6,17.6,,0,0,2,2,16,0,16,421,233,2,21,497,497,
IV108SX,IV10 8SX,IV,54.8,53.9,79.67,,21,60.7,60.7,,10.8,13.3,20,,3.3,15.4,15.4,,0,0,0,4,19,0,19,189,153,,195,188,188,
IV108SZ,IV10 8SZ,IV,50.6,47.5,79.66,4,20.8,54.3,54.3,,10,10,20,4,1.2,11.9,11.9,,0,1,0,5,26,0,26,318,187,180,128,360,360,
IV108TB,IV10 8TB,IV,39.8,43.2,79.67,,22,56.5,56.5,,10,9.4,19.98,,1.2,14.5,14.5,,0,0,0,5,8,0,8,279,102,,87,399,399,
IV108TD,IV10 8TD,IV,52.1,57.6,80,,,57.6,57.6,,12.9,13.4,20,,,13.4,13.4,,0,0,0,0,8,0,8,782,462,,,782,782,
IV108TE,IV10 8TE,IV,48.8,47.9,79.67,,16.5,56.9,56.9,,9.8,9.4,20,,1,11.7,11.7,,0,0,0,2,7,0,7,163,40,,26,202,202,
IV108TF,IV10 8TF,IV,39.8,42.7,78.13,8,23.5,54.8,54.8,,10,9,19.53,1,1,13,13,,0,0,1,2,6,0,6,97,42,64,9,133,133,
IV108TG,IV10 8TG,IV,54.8,53,79.67,2,,59.4,59.4,,12,12.1,20,0,,13.6,13.6,,0,1,0,0,8,0,8,208,93,38,,230,230,
IV108TH,IV10 8TH,IV,54.8,55.1,79.91,,23.5,59.1,59.1,,10,12.3,20,,1,13.8,13.8,,0,0,0,2,16,0,16,237,80,,7,266,266,
IV108TJ,IV10 8TJ,IV,48.5,50.9,79.67,,22.5,53.6,53.6,,9.4,10.8,20,,1,11.7,11.7,,0,0,0,2,21,0,21,332,106,,117,352,352,
IV108TL,IV10 8TL,IV,52,47.1,77.58,3,19.7,57.7,57.7,,9.6,11.2,20,1,1,14.6,14.6,,0,1,0,3,12,0,12,522,166,150,337,600,600,
IV108TN,IV10 8TN,IV,42.5,47.9,78.12,,23,51.4,51.4,,12,12.2,19.53,,1,13.7,13.7,,0,0,0,1,7,0,7,329,273,,6,375,375,
IV108TP,IV10 8TP,IV,39,40.3,67.42,,22,43,43,,8.9,8.6,15,,1,9.6,9.6,,0,0,0,1,7,0,7,298,192,,263,304,304,
IV108TR,IV10 8TR,IV,40.5,39.3,54.78,,17,43.8,43.8,,6.4,6.5,13.34,,1,7.6,7.6,,0,0,0,1,5,0,5,291,36,,0,291,291,
IV108TT,IV10 8TT,IV,39.8,39.3,63.07,,22.3,44.5,44.5,,7.7,7.4,15.3,,2.5,8.8,8.8,,0,0,0,4,13,0,13,300,145,,19,386,386,
IV108TW,IV10 8TW,IV,41.8,44,79.65,8,22,50.3,50.3,,10,9.4,20,0,5,10.8,10.8,,0,0,1,3,16,0,16,295,168,0,185,316,316,
IV108TZ,IV10 8TZ,IV,32.9,28.4,42.26,1,19,37.6,37.6,,5.5,5,10,0,3.8,6.3,6.3,,1,0,0,5,8,0,8,117,81,5,19,193,193,
IV108UA,IV10 8UA,IV,76.5,69.2,80,,,69.2,69.2,,20,16,20,,,16,16,,0,0,0,0,5,0,5,661,796,,,661,661,
IV108UE,IV10 8UE,IV,47.4,49.7,79.75,9,22.2,60.8,60.8,,10,12,20,7,3.8,14.9,14.9,,0,0,1,5,16,0,16,471,378,239,148,528,528,
IV108UF,IV10 8UF,IV,61.7,54.7,80,,20.4,66.8,66.8,,16,12.9,20,,3.1,16.4,16.4,,0,0,0,7,20,0,20,260,103,,55,332,332,
IV108UG,IV10 8UG,IV,48.6,49.3,79.67,8,19.5,54.9,54.9,,10,11.8,20,1,4.5,13.3,13.3,,0,0,1,2,18,0,18,615,407,132,452,660,660,
IV108UH,IV10 8UH,IV,33.4,32.3,52.5,9.5,26,38.3,38.3,,7,6.7,9.21,3.5,5.7,7.5,7.5,,0,0,2,3,11,0,11,316,190,104,79,420,420,
IV108UJ,IV10 8UJ,IV,54.8,58.1,76.33,,,58,58,,10,12.9,20,,,13,13,,0,0,0,0,5,0,5,118,40,,,118,118,
IV108UL,IV10 8UL,IV,41,48.6,79.66,10,26.7,55.5,55.5,,7,9.1,20,1,3,10.9,10.9,,0,0,1,3,15,0,15,146,108,39,194,134,134,
IV108UP,IV10 8UP,IV,54.8,56.7,79.67,,12,60.7,60.7,,12.5,13.7,20,,1,14.8,14.8,,0,0,0,1,11,0,11,309,176,,54,332,332,
IV108UQ,IV10 8UQ,IV,40,41.8,74.19,,17.3,51,51,,9.4,9.8,20,,3.7,12.1,12.1,,0,0,0,3,8,0,8,463,373,,321,517,517,
IV108UR,IV10 8UR,IV,39.1,35.4,45.99,,21.5,39.3,39.3,,7.3,6.4,8.17,,3,7.4,7.4,,0,0,0,2,7,0,7,494,295,,15,561,561,
IV108UX,IV10 8UX,IV,38,35,77.8,10,18,46.4,46.4,,8.8,7.3,19.53,1,3.4,9.9,9.9,,0,0,1,12,20,0,20,253,106,4,258,263,263,
IV108UY,IV10 8UY,IV,39.8,46.7,79.67,,19.5,53.5,53.5,,9.9,9.5,20,,1.5,11.5,11.5,,0,0,0,2,8,0,8,121,82,,108,124,124,
IV108UZ,IV10 8UZ,IV,75.6,60.6,79.66,,15,69.8,69.8,,19.8,15.1,20,,1,17.8,17.8,,0,0,0,1,5,0,5,519,415,,155,592,592,
IV108WA,IV10 8WA,IV,46.1,51.4,79.65,,17,55.2,55.2,,10.8,12.5,20,,1,13.7,13.7,,0,0,0,1,9,0,9,448,388,,2,498,498,
IV108XA,IV10 8XA,IV,27.7,25.7,39.87,10,19,34.8,34.8,,6.5,5.9,11.9,1,4.3,8.3,8.3,,0,0,2,6,8,0,8,152,79,17,115,176,176,
IV108XB,IV10 8XB,IV,23.8,26.2,42.02,,19.8,37.9,37.9,,5.8,5.5,7.73,,4.5,7.1,7.1,,0,0,0,13,7,0,7,295,207,,243,390,390,
IV108XD,IV10 8XD,IV,19.2,22.6,40,,17.8,37,37,,6.9,6.7,9.91,,6,8.5,8.5,,0,0,0,6,2,0,2,181,177,,162,237,237,
IV118UY,IV11 8UY,IV,59.6,53.4,79.67,,19.5,64.7,64.7,,10.9,11.6,20,,1,15.2,15.2,,0,0,0,2,6,0,6,72,49,,6,95,95,
IV118UZ,IV11 8UZ,IV,75.7,64.4,79.66,,23,70.3,70.3,,19.3,15.8,20,,1,17.9,17.9,,0,0,0,1,7,0,7,159,154,,32,177,177,
IV118WW,IV11 8WW,IV,16,15.4,18.11,,15.4,,,,1.1,1.1,1.19,,1.2,,,,0,0,0,5,0,0,0,177,230,,177,,,
IV118XA,IV11 8XA,IV,53.6,51.6,76.71,,22.3,56.5,56.5,,10.4,11.9,20,,2.8,13.5,13.5,,0,0,0,4,24,0,24,421,264,,309,422,422,
IV118XD,IV11 8XD,IV,5,4.5,5.52,4.4,,,,,0.4,0.7,1.01,0.6,,,,,0,2,3,0,0,0,0,88,37,88,,,,
IV118XE,IV11 8XE,IV,50,45.2,66.75,,22.5,56.5,56.5,,9.6,8.1,14.79,,1,11.5,11.5,,0,0,0,2,4,0,4,133,26,,17,158,158,
IV118XG,IV11 8XG,IV,39.1,37.5,66.55,9,18,49.3,49.3,,7.6,9.4,20,4,8,11.3,11.3,,0,0,1,1,4,0,4,286,254,7,175,313,313,
IV118XL,IV11 8XL,IV,39.8,46.1,78.12,,18,51.2,51.2,,10,9.9,20,,1,11.5,11.5,,0,0,0,2,11,0,11,165,107,,366,128,128,
IV118XN,IV11 8XN,IV,50.9,46.8,72.83,,24.5,53.3,53.3,,10,11.4,19.9,,5,13.1,13.1,,0,0,0,2,7,0,7,76,46,,11,94,94,
IV118XR,IV11 8XR,IV,39.9,40.9,72.55,10,24,51.7,51.7,,10,8.3,18.59,0,1.5,12,12,,0,0,1,2,6,0,6,156,78,333,1,153,153,
IV118XS,IV11 8XS,IV,11.6,12.3,17.67,7,13.2,,,,1.2,1.5,5.88,1,1.7,,,,0,0,2,12,0,0,0,176,142,198,173,,,
IV118XU,IV11 8XU,IV,5.9,5.7,7.54,5.8,,,,,0.7,0.7,0.83,0.8,,,,,0,1,4,0,0,0,0,59,54,59,,,,
IV118XX,IV11 8XX,IV,1.8,13.5,79.67,2.5,,80,80,,0.4,3.3,20,0.5,,20,20,,4,1,1,0,1,0,1,78,100,91,,3,3,
IV118XY,IV11 8XY,IV,7.4,9.3,23.42,5.8,23,,,,0.5,0.7,1.12,0.8,1,,,,1,0,3,1,0,0,0,177,133,154,92,,,
IV118YA,IV11 8YA,IV,54.8,55.3,79.67,,24,63.3,63.3,,10,12.1,20,,1,14.8,14.8,,0,0,0,1,4,0,4,145,122,,43,171,171,
IV118YE,IV11 8YE,IV,73.7,60.2,80,,24,70.6,70.6,,20,13.5,20,,1,17,17,,0,0,0,2,7,0,7,298,80,,122,348,348,
IV118YF,IV11 8YF,IV,77.3,65.3,79.91,,14,68.7,68.7,,19.8,16,20,,1,17.1,17.1,,0,0,0,1,15,0,15,370,180,,57,366,366,
IV118YH,IV11 8YH,IV,42.9,50.3,79.67,,24,53.6,53.6,,10,12.2,20,,1,13.6,13.6,,0,0,0,1,8,0,8,143,116,,265,128,128,
IV118YN,IV11 8YN,IV,28.9,44.4,79.91,,23.3,65.3,65.3,,5.6,9,20,,1.2,16.7,16.7,,0,0,0,6,6,0,6,173,106,,139,208,208,
IV118YP,IV11 8YP,IV,75.3,62.8,79.91,,22.7,70.3,70.3,,17.4,14.1,20,,1.3,16.5,16.5,,0,0,0,3,16,0,16,467,227,,48,545,545,
IV118YR,IV11 8YR,IV,79.7,71.1,79.91,,24,75.8,75.8,,20,17.3,20,,1,19,19,,0,0,0,1,10,0,10,233,170,,827,174,174,
IV118YT,IV11 8YT,IV,76.1,71.6,79.91,,,71.7,71.7,,15.7,16.6,20,,,16.7,16.7,,0,0,0,0,9,0,9,424,312,,,424,424,
IV118YW,IV11 8YW,IV,49.2,46.4,79.67,8,23.5,55.8,55.8,,10,10.3,20,0,1.5,13.4,13.4,,0,0,1,2,9,0,9,155,120,8,59,192,192,
IV118YY,IV11 8YY,IV,54.9,53.4,79.67,9,22.8,59,59,,11.6,12.4,20,5,1.2,14.2,14.2,,0,0,1,6,41,0,41,509,344,435,153,550,550,
IV118YZ,IV11 8YZ,IV,46.7,43.7,65.35,,14,47.9,47.9,,7.4,8.5,15.5,,1,9.6,9.6,,0,0,0,1,7,0,7,718,519,,61,811,811,
IV11DA,IV1 1DA,IV,52.4,55.3,79.67,,,55.3,55.3,,10,11.8,20,,,11.8,11.8,,0,0,0,0,9,0,9,432,326,,,432,432,
IV11DF,IV1 1DF,IV,29.6,41.7,78.75,,22.4,61,61,,9,8.4,17.84,,3.2,13.4,13.4,,0,0,0,5,5,0,5,94,59,,106,63,63,
IV11DG,IV1 1DG,IV,39.7,36.7,80,1,20.4,51.6,51.6,,10,8.4,20,0,1.1,14.4,14.4,,1,0,0,7,10,0,10,238,127,0,180,254,254,
IV11DN,IV1 1DN,IV,39.1,38.3,80,,20.3,51.8,51.8,,8.3,7.3,20,,1,12,12,,0,0,0,3,4,0,4,233,62,,243,109,109,
IV11DR,IV1 1DR,IV,58.3,49.1,80,5,23.7,69.2,69.2,,8,9.6,20,1,1.3,15.3,15.3,,0,1,0,3,6,0,6,366,149,17,220,436,436,
IV11EH,IV1 1EH,IV,71.6,54.1,79.91,8,21.5,72.7,72.7,,19.4,13.4,20,1,1,19.7,19.7,,0,0,1,2,6,0,6,302,149,0,0,302,302,
IV11EP,IV1 1EP,IV,23.7,40.2,79.67,,18.8,67.9,67.9,,2.8,8.3,20,,1.3,17.1,17.1,,0,0,0,9,7,0,7,101,49,,46,158,158,
IV11HD,IV1 1HD,IV,24.3,35.7,80,6,21,62.2,62.2,,1.2,6.4,20,0,1.1,15,15,,0,0,1,7,5,0,5,358,147,0,42,443,443,
IV11HN,IV1 1HN,IV,39.8,48.2,79.67,,22.7,67.5,67.5,,10,10.5,20,,1.3,17.5,17.5,,0,0,0,3,4,0,4,33,37,,0,33,33,
IV11HT,IV1 1HT,IV,22.9,36.8,80,1,20,80,80,,1.2,7.3,20,1,1,20,20,,1,0,0,3,2,0,2,45,17,0,13,94,94,
IV11HY,IV1 1HY,IV,39.9,47,79.98,,23,59,59,,9,10.7,19.85,,3.5,14.3,14.3,,0,0,0,2,4,0,4,171,128,,128,193,193,
IV11JN,IV1 1JN,IV,39.9,43.4,70.3,8,24,54.4,54.4,,10,9.9,20,1,1,13.4,13.4,,0,0,1,1,5,0,5,93,106,1,127,104,104,
IV11LL,IV1 1LL,IV,52.8,45.5,69.87,,18.5,58.8,58.8,,14.1,11.6,20,,1,16.8,16.8,,0,0,0,2,4,0,4,448,203,,95,625,625,
IV11LP,IV1 1LP,IV,71.7,58.1,79.67,,23,75.8,75.8,,19.5,13.5,20,,1,19.8,19.8,,0,0,0,2,4,0,4,83,67,,15,76,76,
IV11LS,IV1 1LS,IV,75,56.2,80,,21,70.3,70.3,,17.4,12.6,20,,1,17.2,17.2,,0,0,0,4,10,0,10,276,129,,75,357,357,
IV11LU,IV1 1LU,IV,54.8,50.8,80,,21.5,66.2,66.2,,10,11.3,20,,1.1,16.6,16.6,,0,0,0,11,21,0,21,308,220,,58,366,366,
IV11LW,IV1 1LW,IV,39.9,39.8,54.83,,25,49.7,49.7,,10,10.6,16.65,,8,12.3,12.3,,0,0,0,2,3,0,3,597,339,,511,654,654,
IV11LX,IV1 1LX,IV,79.7,55.5,80,,19,70.2,70.2,,20,12.7,20,,1,17.4,17.4,,0,0,0,2,5,0,5,251,114,,85,267,267,
