postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
KA106AA,KA10 6AA,KA,23.4,48,205,8,21.5,111,111,,1.1,6.9,21,0,1.1,20.3,20.3,,0,0,1,8,4,0,4,211,42,14,132,365,365,
KA106AB,KA10 6AB,KA,40.8,63.7,593,8,21.4,66.7,86.2,593,10,10,39,0,2.8,12.8,13.8,39,0,0,1,13,26,1,27,299,119,0,237,331,318,0
KA106AH,KA10 6AH,KA,53.6,115,593,,21,66,171.4,593,13.5,14,39,,2.3,16.5,21,39,0,0,0,3,4,1,5,325,131,,96,497,397,0
KA106AJ,KA10 6AJ,KA,67.5,85.8,593,,22,76.9,100.3,593,10,12.5,39,,1.2,14,15.1,39,0,0,0,5,21,1,22,259,194,,194,262,250,0
KA106AL,KA10 6AL,KA,78.1,90,205,,24.7,108.7,108.7,,10,12.9,21,,4.3,15.4,15.4,,0,0,0,6,21,0,21,234,136,,320,199,199,
KA106AN,KA10 6AN,KA,58.8,69.7,331,,22.3,68.3,73.3,331,10,13,36,,2.5,13.4,13.8,36,0,0,0,4,52,1,53,227,143,,201,223,220,81
KA106AP,KA10 6AP,KA,59.6,61.1,107,,19.8,71.4,71.4,,10,12.1,20,,1.3,14.9,14.9,,0,0,0,4,16,0,16,368,201,,168,418,418,
KA106AR,KA10 6AR,KA,78.1,95.2,460,6,23.4,89.3,111.2,395.5,10,13.4,36,1,1.2,14.5,16,36,0,0,1,5,26,2,28,321,264,5,330,281,296,493
KA106AS,KA10 6AS,KA,39.5,47.5,205,,21.1,66.3,66.3,,10,10.2,21,,1.7,16.3,16.3,,0,0,0,10,14,0,14,377,140,,259,408,408,
KA106AT,KA10 6AT,KA,75.2,126.1,593,,26.7,87.5,146,526.5,17.9,16.4,39,,3,16.2,19,37.5,0,0,0,3,13,2,15,555,267,,235,557,582,743
KA106AU,KA10 6AU,KA,22.6,36.3,107,5.3,21.1,84.3,84.3,,1.1,3.7,19.53,1,1.1,10.9,10.9,,1,0,2,16,7,0,7,132,38,4,89,247,247,
KA106AW,KA10 6AW,KA,79.4,100.1,593,,21.1,87.7,122,396.5,10,12.4,39,,1.5,12.8,15.4,36.8,0,0,0,10,32,4,36,306,247,,240,304,291,186
KA106AY,KA10 6AY,KA,40,44.4,107,10,19,53,53,,10,8.6,14.64,1,1,10.7,10.7,,0,0,1,1,7,0,7,150,61,10,0,170,170,
KA106BB,KA10 6BB,KA,39.9,39.4,63.53,,19.4,44.1,44.1,,9.9,8.9,16.95,,1.2,10.8,10.8,,0,0,0,5,21,0,21,213,141,,50,242,242,
KA106BD,KA10 6BD,KA,33,35.2,53.5,,23.6,42.5,42.5,,7.8,8.4,15.32,,3.2,11.6,11.6,,0,0,0,5,8,0,8,685,394,,246,959,959,
KA106BE,KA10 6BE,KA,24.1,63.8,331,8.5,22.4,108.7,123.5,331,1.3,6.3,36,1,1.4,11.6,13.2,36,0,0,2,19,14,1,15,249,104,88,184,242,288,934
KA106BF,KA10 6BF,KA,38,36.6,39.55,,29,38,38,,8.2,7.9,9.18,,7,8.2,8.2,,0,0,0,1,5,0,5,189,83,,68,213,213,
KA106BH,KA10 6BH,KA,79.8,71.9,205,,21.8,97,97,,18.3,12.8,21,,1.5,18.5,18.5,,0,0,0,4,8,0,8,326,121,,36,390,390,
KA106BP,KA10 6BP,KA,21.2,21.6,34.02,6,21,32.5,32.5,,4.8,4,7.9,0.5,3.7,7.3,7.3,,1,0,1,19,4,0,4,144,74,135,116,247,247,
KA106BQ,KA10 6BQ,KA,35.4,63.7,331,7,22.4,84.1,93.2,331,7.3,8.6,36,1,1.8,12.5,13.4,36,0,0,1,18,26,1,27,256,87,46,143,282,272,0
KA106BS,KA10 6BS,KA,107,122.9,331,,21.5,122.3,145.4,331,10,14.5,36,,1,15.3,17.6,36,0,0,0,2,8,1,9,547,302,,157,520,633,1538
KA106BU,KA10 6BU,KA,48.9,69,331,,22.6,66.9,84.5,331,9,9.8,36,,2.4,10.6,12.3,36,0,0,0,5,14,1,15,445,212,,97,552,561,680
KA106BY,KA10 6BY,KA,58.2,105.9,593,,18.3,79.8,114.7,428.8,10,14,39,,1,12.9,15.3,36.8,0,0,0,4,36,4,40,516,360,,599,430,456,699
KA106BZ,KA10 6BZ,KA,65.9,121.4,593,0,21,86.7,138.9,504.3,10,12.9,39,1,2.3,11.6,14.8,37,1,0,0,3,21,3,24,664,445,9,516,700,654,336
KA106DA,KA10 6DA,KA,107,166.9,593,,,82.6,166.9,462,10,16.1,39,,,10,16.1,37.5,0,0,0,0,7,2,9,343,295,,,290,305,358
KA106DB,KA10 6DB,KA,64,94.6,460,,21,65.4,101.3,460,19.5,16.8,36,,1,16.4,18.2,36,0,0,0,1,10,1,11,651,221,,1351,562,528,190
KA106DE,KA10 6DE,KA,60.5,98.1,460,9,25.3,74.5,110.4,374,10,14,36,1,4,13,15.7,36,0,0,1,3,22,3,25,622,510,653,1480,400,393,347
KA106DH,KA10 6DH,KA,21.5,19.7,23.11,,19.8,,,,1,0.8,1.12,,0.8,,,,0,0,0,5,0,0,0,145,19,,145,,,
KA106DP,KA10 6DP,KA,73.8,96.5,331,,22,75.3,126.4,331,10,13.9,36,,1,15,19.2,36,0,0,0,2,4,1,5,336,76,,209,39,387,1781
KA106DR,KA10 6DR,KA,78.1,94.7,331,,17,82.5,100.2,331,19.5,17.1,36,,1,16.9,18.3,36,0,0,0,1,13,1,14,231,118,,36,213,229,438
KA106DS,KA10 6DS,KA,40,58.6,205,7,21.6,85.7,85.7,,10,7.6,21,1,2.1,11.6,11.6,,0,0,1,17,25,0,25,353,254,55,346,328,328,
KA106DU,KA10 6DU,KA,35,68,331,,15.5,36.4,85.5,331,5.7,9.4,36,,4.5,6,11,36,0,0,0,2,5,1,6,341,171,,400,181,321,1025
KA106EA,KA10 6EA,KA,22.5,63.9,331,8,20.2,156,191,331,1.1,5.9,36,1,1,15.5,19.6,36,0,0,2,12,4,1,5,448,77,3,148,372,1259,4804
KA106EB,KA10 6EB,KA,23,32.1,205,8,21.8,81.6,81.6,,1.2,3.1,21,0.5,1.1,12.1,12.1,,0,0,2,29,7,0,7,299,51,14,257,471,471,
KA106EF,KA10 6EF,KA,34.9,77.8,593,9,20.9,78.3,105.4,593,5.6,9.2,39,1,2.5,10.9,12.4,39,0,0,1,8,18,1,19,274,162,2,240,305,289,0
KA106EG,KA10 6EG,KA,78.1,130.2,593,9,15.5,99.8,157.8,505.7,14.5,15.6,39,1,3.8,15.2,18.5,38,0,0,1,4,18,3,21,468,302,7,757,425,413,344
KA106EH,KA10 6EH,KA,107,150.7,593,7,18,104.5,177.8,593,10,14.3,39,1,3.3,12.6,16.6,39,0,0,1,3,17,3,20,175,78,186,151,188,160,4
KA106EL,KA10 6EL,KA,52,96.3,331,,22,93.8,133.3,331,5.6,10.2,36,,1.7,10.2,14.5,36,0,0,0,3,5,1,6,106,41,,194,72,63,16
KA106EN,KA10 6EN,KA,87.9,151.8,593,7,22,146.5,235.8,593,14.8,14.9,39,1,6,18,22.2,39,0,0,2,1,4,1,5,284,127,27,14,409,327,0
KA106EQ,KA10 6EQ,KA,63.5,102.2,460,,15.5,91.9,111.3,460,13.6,14.7,36,,1,15,16.1,36,0,0,0,2,18,1,19,290,167,,142,238,306,1523
KA106ES,KA10 6ES,KA,16.8,19.6,42.68,7,19.6,38.5,38.5,,5.5,4.4,9.34,1,5,7.5,7.5,,0,1,2,9,2,0,2,230,101,0,317,70,70,
KA106ET,KA10 6ET,KA,38.2,85.3,593,8,22.8,69,112.7,593,7.9,10.7,39,1,8,10,12.4,39,0,0,1,4,11,1,12,387,157,136,816,253,232,0
