postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
KT100AA,KT10 0AA,KT,44.8,84.1,331,6.5,19,95.8,107,331,9.3,11.1,36,1,4,12.6,13.7,36,0,1,1,5,20,1,21,543,493,72,789,512,530,883
KT100AB,KT10 0AB,KT,79.7,104.3,205,,,104.3,104.3,,20,18.5,21,,,18.6,18.6,,0,0,0,0,20,0,20,558,480,,,530,530,
KT100AD,KT10 0AD,KT,52.1,121.2,460,,17,77.9,133.7,356.8,10,15,36,,3,11.5,16.4,36,0,0,0,3,20,5,25,552,451,,724,514,531,597
KT100AF,KT10 0AF,KT,53.2,49,66.72,,16,52.3,52.3,,10,11,18.24,,1,12,12,,0,0,0,1,10,0,10,53,13,,39,54,54,
KT100AG,KT10 0AG,KT,79.7,72.1,79.67,,,72.1,72.1,,20,18,20,,,18,18,,0,0,0,0,8,0,8,745,616,,,745,745,
KT100AH,KT10 0AH,KT,54.8,94.3,331,,16,83.7,99.1,331,10,12.6,36,,1,11.8,13.3,36,0,0,0,1,15,1,16,607,593,,218,577,631,1443
KT100AJ,KT10 0AJ,KT,107,156.2,460,5,,105.9,161.4,374,10,16.8,36,1,,12.5,17.3,36,0,0,1,0,23,6,29,728,573,14,,707,753,929
KT100AL,KT10 0AL,KT,34.9,112.1,331,,25.3,94.2,144.1,331,7.5,13.4,36,,5.1,11.2,16.4,36,0,0,0,7,15,4,19,663,406,,661,708,664,499
KT100AN,KT10 0AN,KT,107,132.5,331,,27,133.9,154.7,331,10,15.2,36,,6.8,14.7,16.9,36,0,0,0,4,17,2,19,642,459,,1185,519,494,281
KT100AP,KT10 0AP,KT,78.1,85.8,205,,19,97,97,,19.5,15.5,21,,1,17.8,17.8,,0,0,0,1,6,0,6,517,498,,462,526,526,
KT100AQ,KT10 0AQ,KT,47.2,91.8,460,,19.5,70.7,108.9,395.5,7.2,11.2,36,,2,10.4,13.4,36,0,0,0,4,15,2,17,584,513,,122,745,693,304
KT100AR,KT10 0AR,KT,49.5,47.5,80,8,27,53,53,,15.4,14.3,20,1,9,16,16,,0,0,1,1,11,0,11,361,179,102,129,406,406,
KT100AT,KT10 0AT,KT,24.1,27,72.26,7,18,44.1,44.1,,5.9,5,11.1,1.6,3,8.2,8.2,,0,0,7,11,14,0,14,57,42,29,81,53,53,
KT100AU,KT10 0AU,KT,34.2,72.9,205,5,17.7,104.1,104.1,,8,8.4,21,1,2.2,11.8,11.8,,0,1,1,6,15,0,15,485,476,5,263,638,638,
KT100AW,KT10 0AW,KT,33.4,34.2,54.77,8,24.4,43.1,43.1,,9.3,8.4,14.15,1,8,9.5,9.5,,0,0,2,8,15,0,15,50,31,50,55,47,47,
KT100AX,KT10 0AX,KT,36.9,105.3,460,6,22.8,88,161.4,363.3,6.9,11.7,36,1,3.8,10.3,17.1,36,0,0,1,9,11,4,15,504,377,6,540,425,482,637
KT100AY,KT10 0AY,KT,156,158.8,460,7,23.3,147.5,205,363.3,15.5,16.3,36,1,4,15.2,20.7,36,0,0,1,4,11,4,15,354,262,230,119,350,426,633
KT100AZ,KT10 0AZ,KT,69.9,75.7,205,,15.5,83.7,83.7,,13.4,13.3,21,,1,14.9,14.9,,0,0,0,2,15,0,15,494,488,,272,491,491,
KT100BA,KT10 0BA,KT,77,149.3,331,,,88.8,149.3,331,13.1,18.1,36,,,12.1,18.1,36,0,0,0,0,15,5,20,603,549,,,593,543,392
KT100BB,KT10 0BB,KT,78.9,129.3,331,,20,112.1,135.1,331,20,20.2,36,,1,19.4,21.2,36,0,0,0,1,17,2,19,731,645,,10,740,730,644
KT100BD,KT10 0BD,KT,156,174.2,460,5,22,135.9,210.7,460,15.5,16.4,36,1,3.5,14.7,19.6,36,0,1,0,2,10,3,13,529,453,139,577,528,551,629
KT100BG,KT10 0BG,KT,93.1,139.3,593,,19,104.3,146.4,462,19.5,17.7,39,,1,16.1,18.6,37.5,0,0,0,1,15,2,17,677,593,,9,616,597,459
KT100BH,KT10 0BH,KT,19.8,75.6,331,10,19.1,172.3,235.8,331,2.1,7.8,36,1,1.7,17.3,24.8,36,0,0,1,13,3,2,5,351,189,189,315,570,478,340
KT100BJ,KT10 0BJ,KT,205,144.2,460,7,19.4,195.2,243.2,363.3,21,14.7,36,1,2.3,19.9,24.5,36,0,0,1,10,10,4,14,505,422,24,450,606,507,260
KT100BP,KT10 0BP,KT,73.9,63.6,79.98,,13.7,68.8,68.8,,19.5,17.2,20,,1,18.8,18.8,,0,0,0,3,29,0,29,693,580,,715,691,691,
KT100BQ,KT10 0BQ,KT,31,130.3,460,7,20,119,241.9,395.5,5.7,13.2,36,1,2.6,14.2,23.9,36,0,0,1,8,5,4,9,494,367,13,382,599,647,707
KT100BS,KT10 0BS,KT,79.7,97.4,205,,12.5,116.2,116.2,,20,15.8,21,,1,19.1,19.1,,0,0,0,2,9,0,9,362,348,,38,394,394,
KT100BT,KT10 0BT,KT,85.6,105.4,205,,11,124.2,124.2,,14.6,13.7,21,,1,16.2,16.2,,0,0,0,1,5,0,5,292,367,,15,347,347,
KT100BU,KT10 0BU,KT,107,138.3,331,,15,131.7,169.1,331,10,15.5,36,,2,14.9,18.9,36,0,0,0,4,13,3,16,416,268,,77,455,501,701
KT100BX,KT10 0BX,KT,49,112.4,460,,17.8,66.2,125.4,352.5,10,15.3,36,,6.5,11.5,16.6,36,0,0,0,4,23,6,29,500,441,,351,557,503,297
KT100BY,KT10 0BY,KT,36.4,87.8,331,8,21.3,64.8,113.2,331,10,12.6,36,1,4.3,11.4,15.9,36,0,0,1,3,9,2,11,409,301,18,511,398,379,296
KT100BZ,KT10 0BZ,KT,66.6,91.1,460,7.3,16,89.4,110.5,395.5,16.4,14.5,36,0.8,5,16,17.3,36,0,0,4,3,27,2,29,397,233,114,457,431,416,217
KT100DA,KT10 0DA,KT,107,145.9,460,6.4,17.8,133.7,258.4,395.5,10,13.8,36,0.8,2.4,13,24,36,0,1,4,13,11,10,21,542,495,34,541,680,612,538
KT100DB,KT10 0DB,KT,65.7,108.6,460,7,17.3,165.3,200.7,395.5,7.1,11.1,36,2,1.6,17.8,20.6,36,0,0,1,12,11,2,13,364,294,208,280,290,425,1172
KT100DD,KT10 0DD,KT,65.2,57.6,79.25,,16.2,65.7,65.7,,19.5,15,20,,1,17.7,17.7,,0,0,0,6,31,0,31,697,603,,492,737,737,
KT100DE,KT10 0DE,KT,268,215.8,460,,19.7,146.2,289.4,354.5,28.5,21.7,36,,1.7,14.4,29.3,36,0,0,0,6,5,11,16,509,517,,365,427,563,624
KT100DF,KT10 0DF,KT,19.7,89.8,593,5,18.4,131.5,223.8,593,2.2,7.5,39,1,1.9,12.8,18,39,0,1,1,7,4,1,5,150,142,134,128,197,157,0
KT100DG,KT10 0DG,KT,59,56.5,79.91,,26,57.5,57.5,,18,15.9,20,,8,16.2,16.2,,0,0,0,1,32,0,32,820,703,,732,823,823,
KT100DJ,KT10 0DJ,KT,54.3,53.2,73.46,,27,55.6,55.6,,12.4,13.9,20,,10,14.3,14.3,,0,0,0,1,11,0,11,775,721,,818,771,771,
KT100DL,KT10 0DL,KT,107,119.2,331,,,91.6,119.2,331,10,15.2,36,,,12.5,15.2,36,0,0,0,0,23,3,26,338,180,,,286,325,619
KT100DN,KT10 0DN,KT,44,63.3,205,9,29,74.4,74.4,,12.3,13.3,21,1,7,15.6,15.6,,0,0,1,1,8,0,8,187,127,126,24,215,215,
KT100DP,KT10 0DP,KT,50.5,121.4,331,,22.3,84.7,146.3,331,7.8,13.9,36,,4,9.8,16.4,36,0,0,0,4,12,4,16,675,515,,329,774,761,722
KT100DR,KT10 0DR,KT,50.8,88.2,331,8,13,84,95.2,331,10.5,14.1,36,0,1,14.4,15.4,36,0,0,1,1,21,1,22,505,309,59,11,568,548,122
KT100DS,KT10 0DS,KT,53.5,106.9,593,,16,79.1,115.5,462,10,14.3,39,,1.5,13.3,15.6,37.5,0,0,0,2,19,2,21,836,441,,809,801,759,357
KT100DT,KT10 0DT,KT,78.1,113.6,460,9,13,103.1,119.3,395.5,19.5,16.4,36,1,1,16.2,17.3,36,0,0,1,1,34,2,36,434,451,23,177,443,453,615
KT100DU,KT10 0DU,KT,57.9,69.6,331,,14,50.8,74.2,331,19.5,17.1,36,,1,16.8,18.4,36,0,0,0,1,11,1,12,461,142,,82,496,455,0
KT100DW,KT10 0DW,KT,42.3,115.6,593,8,22.3,83.5,141.2,439.8,10,12.5,39,1,3.6,10.7,15,37,0,0,1,9,31,6,37,484,359,71,467,478,461,369
KT100DY,KT10 0DY,KT,40,83.7,331,9,26,83.7,100.2,331,10,11.8,36,1,5.7,12.2,13.8,36,0,0,1,3,14,1,15,370,328,286,347,381,355,0
KT100DZ,KT10 0DZ,KT,35.7,108.7,460,,24.4,77.5,136.8,374,7.7,13.2,36,,5.4,10.8,15.8,36,0,0,0,5,12,3,15,583,540,,663,507,517,558
KT100EA,KT10 0EA,KT,268,251.7,331,,,172.3,251.7,331,28.5,26.7,36,,,17.3,26.7,36,0,0,0,0,3,3,6,931,725,,,796,776,756
KT100EB,KT10 0EB,KT,33.4,108.3,593,,26.9,115.9,159.1,462,7.8,12.4,39,,6.4,13.1,16.2,37.5,0,0,0,10,14,2,16,489,314,,468,492,441,83
KT100EG,KT10 0EG,KT,79.7,121.4,593,8,14,106.9,144.3,462,19.5,16.1,39,1,1.3,17.2,19.3,37.5,0,0,1,3,17,2,19,397,277,36,210,429,424,387
KT100EH,KT10 0EH,KT,78.1,107,331,,18.7,90.4,127.4,331,19.5,16.5,36,,1,17.2,20.1,36,0,0,0,3,11,2,13,431,311,,67,556,482,74
KT100EL,KT10 0EL,KT,74.5,119.4,460,,20,95.2,128.7,363.3,20,18.2,36,,1,17.5,19.8,36,0,0,0,3,28,4,32,429,282,,46,423,451,648
KT100EN,KT10 0EN,KT,59,74,205,,,74,74,,19.5,17.6,21,,,17.7,17.7,,0,0,0,0,9,0,9,641,523,,,641,641,
KT100EP,KT10 0EP,KT,55.4,125.5,460,,28,100.9,137.8,395.5,15.9,17.1,36,,12.5,15.1,17.7,36,0,0,0,2,14,2,16,354,219,,209,383,372,299
KT100EQ,KT10 0EQ,KT,58.9,118.1,593,7,17.3,83.7,146.7,461.3,10,14.7,39,1,4.3,14,17.8,37,0,0,1,4,15,3,18,399,335,21,46,436,432,409
KT100ER,KT10 0ER,KT,107,154.8,593,,22,118.8,196.3,428.8,10,16.4,39,,6.6,13.7,19.4,36.8,0,0,0,5,12,4,16,401,274,,396,476,403,185
KT100ES,KT10 0ES,KT,42.4,137.4,593,8,18.5,94.1,166,443.3,10,14.8,39,3,4.8,12,17.2,37.3,0,0,2,6,27,7,34,405,391,106,300,421,393,285
KT100ET,KT10 0ET,KT,107,130.6,460,10,23.7,113,193.7,395.5,10,13.5,36,1,5.7,11.6,18.6,36,0,0,1,3,5,2,7,313,260,172,146,313,404,633
KT100EU,KT10 0EU,KT,37.4,100.2,331,0,23.8,101.2,147.2,331,9.8,12.9,36,1,7.1,11.8,16.6,36,1,0,0,11,16,4,20,465,311,6,499,514,468,287
KT100EX,KT10 0EX,KT,27.3,87.2,460,5,25.2,107,283.5,460,6.1,9.9,36,4,5.8,10,23,36,0,1,0,5,1,1,2,431,383,36,402,0,489,977
KT100EY,KT10 0EY,KT,29.2,47.2,107,4,22.2,80.8,80.8,,6.2,6.1,10,1,4.8,8.6,8.6,,0,1,0,5,5,0,5,403,199,142,569,289,289,
KT100HB,KT10 0HB,KT,107,159.3,593,10,28,96.6,186.4,396.2,10,17.9,39,1,7,13.5,20.4,36.5,0,0,1,3,14,6,20,719,722,47,825,585,700,970
KT100HE,KT10 0HE,KT,107,116.3,205,,22.5,135.1,135.1,,14.4,15.3,21,,10,16.4,16.4,,0,0,0,2,10,0,10,587,563,,332,638,638,
KT100HF,KT10 0HF,KT,66.5,61.7,107,9,20.7,76.3,76.3,,10,10,20,1,1,13,13,,0,0,1,3,12,0,12,125,89,522,159,63,63,
KT100HG,KT10 0HG,KT,69.4,123.9,331,,13,104.9,130.1,331,20,19,36,,1,18,20,36,0,0,0,1,16,2,18,693,664,,744,673,690,833
KT100HH,KT10 0HH,KT,75.9,159.4,593,10,15,116.9,190.7,461.3,19.5,18.3,39,1,1,17.8,21.9,37,0,0,1,2,11,3,14,658,573,33,363,805,651,85
KT100HJ,KT10 0HJ,KT,54.8,92.8,460,10,,77.8,97,460,10,14.2,36,1,,13.7,14.9,36,0,0,1,0,19,1,20,393,335,210,,399,402,447
KT100HL,KT10 0HL,KT,40.8,120.3,593,7,20.3,76.6,149.9,418.3,10,13.2,39,1,2,10.9,16.5,37,0,0,1,3,11,3,14,332,207,81,113,406,373,252
KT100HP,KT10 0HP,KT,62.7,101.5,331,,22,85.7,109,331,11.7,15.4,36,,2,14.6,16.7,36,0,0,0,2,19,2,21,338,99,,32,403,367,22
KT100HQ,KT10 0HQ,KT,66.5,142.8,460,,19,97.8,151.3,408.4,18.3,17.9,36,,1,15.6,19.1,36,0,0,0,2,24,5,29,694,657,,7,718,742,855
KT100HR,KT10 0HR,KT,107,121.8,331,,18,106.8,126.3,331,10,14.7,36,,1,13.3,15.3,36,0,0,0,1,21,2,23,338,176,,13,292,338,823
KT100HS,KT10 0HS,KT,59.9,83.6,205,,23,87.6,87.6,,10,14.3,21,,10,14.6,14.6,,0,0,0,1,15,0,15,342,243,,6,365,365,
KT100HT,KT10 0HT,KT,107,117.2,205,9,,138.8,138.8,,15,13.9,21,1,,16.5,16.5,,0,0,2,0,10,0,10,195,68,30,,228,228,
KT100HU,KT10 0HU,KT,66.4,88.2,331,9,15.3,84.4,99.8,331,10,14.4,36,1,1.3,15.1,16.4,36,0,0,1,4,30,2,32,494,249,7,99,514,528,736
KT100HW,KT10 0HW,KT,55.2,41.3,68.54,5.5,,59.3,59.3,,19.5,13.5,20,1,,19.8,19.8,,0,1,1,0,4,0,4,619,595,488,,686,686,
KT100HY,KT10 0HY,KT,78.1,67.9,80,,14,76.8,76.8,,19.5,17.1,20,,1,19.8,19.8,,0,0,0,1,6,0,6,542,486,,344,576,576,
KT100HZ,KT10 0HZ,KT,107,173.1,593,,30,110,178.1,439.2,20,20.3,39,,10,16.6,20.7,36.5,0,0,0,1,23,6,29,364,283,,3,325,364,516
KT100JD,KT10 0JD,KT,58.5,92,593,8,,72.5,101.4,593,11,14,39,1,,14.1,15.5,39,0,0,2,0,17,1,18,54,27,16,,58,55,0
KT100JF,KT10 0JF,KT,58.2,119.4,331,,18,92,139.8,331,19.5,17.9,36,,1,17.5,21.2,36,0,0,0,1,4,1,5,987,817,,132,1425,1158,88
KT100JG,KT10 0JG,KT,22.9,27.9,55,8,18.3,47.5,47.5,,1.2,5.6,19,1,1.3,12.3,12.3,,0,0,2,4,4,0,4,281,94,0,331,302,302,
KT100JN,KT10 0JN,KT,66.8,50.9,72.9,,23,69.3,69.3,,20,12.9,20,,2.5,20,20,,0,0,0,2,3,0,3,742,581,,1249,405,405,
KT100JP,KT10 0JP,KT,62.3,101.4,331,,23,69.4,127.6,331,15.9,16.8,36,,7,15.6,20.1,36,0,0,0,3,7,2,9,347,307,,320,336,355,422
KT100JQ,KT10 0JQ,KT,79.7,91.6,205,,18,103.8,103.8,,18.9,15.5,21,,1,17.8,17.8,,0,0,0,1,6,0,6,277,292,,128,302,302,
KT100JR,KT10 0JR,KT,78.9,125.1,460,,19,93,129.7,374,10,16.1,36,,1,13.9,16.7,36,0,0,0,1,20,3,23,253,229,,229,261,243,124
KT100JS,KT10 0JS,KT,48.9,102,593,,17,62.8,112.7,462,10,13.1,39,,1,11.3,14.6,37.5,0,0,0,2,14,2,16,306,156,,174,323,284,14
KT100JT,KT10 0JT,KT,57.2,53.8,72.21,,16,59.1,59.1,,19.8,14.6,20,,1,16.6,16.6,,0,0,0,1,7,0,7,153,96,,231,142,142,
