postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
KW106RA,KW10 6RA,KW,33.6,32.6,55.12,,21,39,39,,6.8,5.9,10,,3.5,7.2,7.2,,0,0,0,13,24,0,24,250,104,,134,303,303,
KW106RH,KW10 6RH,KW,27.4,26.8,38.16,,23,35.7,35.7,,6.1,5.6,8.04,,5.1,6.7,6.7,,0,0,0,7,3,0,3,249,104,,188,393,393,
KW106RP,KW10 6RP,KW,79.7,68.5,79.67,,20,74.5,74.5,,20,17.4,20,,1,19.4,19.4,,0,0,0,1,8,0,8,113,101,,122,112,112,
KW106RQ,KW10 6RQ,KW,34.9,40.5,58.94,,19,43.8,43.8,,8.1,8.1,12.5,,1,9.2,9.2,,0,0,0,2,13,0,13,483,493,,75,546,546,
KW106RS,KW10 6RS,KW,67.1,61,79.67,,21,69,69,,12.8,13.4,20,,3,15.6,15.6,,0,0,0,2,10,0,10,432,278,,317,455,455,
KW106RU,KW10 6RU,KW,61.8,60.4,76.33,,16,63.2,63.2,,18.1,15.7,20,,1,16.6,16.6,,0,0,0,1,16,0,16,347,284,,16,368,368,
KW106RZ,KW10 6RZ,KW,52,54.2,79.66,,20,57.2,57.2,,12.1,13.6,20,,1,14.7,14.7,,0,0,0,1,11,0,11,232,155,,5,253,253,
KW106SA,KW10 6SA,KW,38.7,34.1,73.94,5.8,21.3,42.8,42.8,,8,7.9,19.98,0.8,5.3,10,10,,0,3,3,8,31,0,31,270,172,63,578,222,222,
KW106SB,KW10 6SB,KW,39.7,39.9,76.84,6,23.5,43.6,43.6,,7.8,8,19.56,0.7,5.5,8.7,8.7,,1,0,2,4,45,0,45,363,228,10,151,405,405,
KW106SE,KW10 6SE,KW,5.3,9.8,56.5,4.8,16,47,47,,0.8,1.5,10.19,0.7,1.3,10,10,,1,10,9,4,2,0,2,137,87,89,240,350,350,
