postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
KY102AB,KY10 2AB,KY,59.5,57,79.67,8,23.7,63.5,63.5,,13.9,12.9,20,0,1,15,15,,0,0,1,3,23,0,23,398,324,0,32,429,429,
KY102AE,KY10 2AE,KY,40.9,42.3,65.29,,16,46.7,46.7,,8,9.3,15.08,,5,10.2,10.2,,0,0,0,1,6,0,6,560,407,,78,640,640,
KY102AH,KY10 2AH,KY,66.7,64.7,79.67,,23,67.5,67.5,,19.4,16,20,,1,16.9,16.9,,0,0,0,1,15,0,15,366,283,,2,391,391,
KY102AL,KY10 2AL,KY,54.8,54.2,76.05,,24,56.4,56.4,,10,12.1,20,,1,12.9,12.9,,0,0,0,1,14,0,14,260,155,,31,276,276,
KY102AN,KY10 2AN,KY,61.6,57.7,71.35,,,57.7,57.7,,18.6,16.6,20,,,16.5,16.5,,0,0,0,0,6,0,6,320,263,,,320,320,
KY102AP,KY10 2AP,KY,52.5,52.6,79.66,,21.3,56.5,56.5,,10.1,12.5,20,,4,13.5,13.5,,0,0,0,3,24,0,24,299,142,,126,321,321,
KY102AR,KY10 2AR,KY,45.5,45.7,76.56,,23.3,55.3,55.3,,8.7,8.7,20,,2.7,11.3,11.3,,0,0,0,3,7,0,7,143,107,,89,165,165,
KY102AT,KY10 2AT,KY,76.3,68.8,79.91,,27,71.4,71.4,,20,16.2,20,,1,17.1,17.1,,0,0,0,1,16,0,16,355,190,,74,372,372,
KY102AU,KY10 2AU,KY,64.8,62.3,79.67,,24,64.7,64.7,,16.4,14.4,20,,1,15.3,15.3,,0,0,0,1,16,0,16,96,71,,0,96,96,
KY102AW,KY10 2AW,KY,60.7,54.9,79.67,,23.3,68.3,68.3,,14.6,12.3,20,,1.3,17,17,,0,0,0,3,7,0,7,160,87,,115,179,179,
