postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
L100AE,L10 0AE,L,78.1,126.3,460,2,,91.8,135.2,395.5,19.5,17.3,36,1,,15.5,18.4,36,0,1,0,0,12,2,14,407,184,116,,368,428,787
L100AF,L10 0AF,L,63.1,54.6,107,1.7,,77.3,77.3,,13.5,11.9,20,0.7,,16.7,16.7,,1,2,0,0,7,0,7,317,146,129,,398,398,
L100AG,L10 0AG,L,75.6,97.6,593,3.7,26,88.8,109.1,526.5,11.1,14,39,1.3,7.7,14.2,15.3,37.5,0,2,1,3,41,2,43,582,423,79,243,605,586,210
L100AH,L10 0AH,L,85.4,102.5,331,5,,89.4,111.4,331,11.5,14.2,36,1,,13.4,15.5,36,0,0,1,0,10,1,11,246,127,121,,259,235,0
L100AJ,L10 0AJ,L,58.3,121.1,1096,3,,77.3,138.6,629,10,14.2,49,0.8,,13.2,16.2,40.3,0,4,0,0,24,3,27,439,418,177,,517,462,20
L100AL,L10 0AL,L,61.4,125.9,1096,,27,77.1,128.4,760.7,10,15,49,,10,12.9,15.2,42.3,0,0,0,1,37,3,40,442,199,,346,433,400,0
L100AN,L10 0AN,L,107,158.8,1096,,,104.6,158.9,629,17,17.6,49,,,15,17.7,40.3,0,0,0,0,26,3,29,475,341,,,467,459,389
L100AP,L10 0AP,L,107,189.9,1096,,,105,189.9,586,20,20.5,49,,,16.2,20.5,40.3,0,0,0,0,14,3,17,533,455,,,425,501,857
L100AR,L10 0AR,L,65.4,90.3,205,3.5,26,99.8,99.8,,16.7,14.4,21,0.5,16,15.6,15.6,,0,3,1,1,43,0,43,549,391,32,740,592,592,
L100AS,L10 0AS,L,74.8,76.2,205,4,,85.7,85.7,,10,11.8,21,0.7,,13.3,13.3,,0,2,1,0,23,0,23,329,160,125,,356,356,
L100AT,L10 0AT,L,107,173.8,1096,3,,102.4,195.2,844.5,10.3,15.5,49,0.5,,13.5,17.3,44,1,1,0,0,14,2,16,437,376,115,,463,450,363
L100AW,L10 0AW,L,107,152.7,593,,,97,152.7,505.7,19.5,18.3,39,,,15.2,18.3,38,0,0,0,0,19,3,22,394,263,,,352,341,271
L100AY,L10 0AY,L,54.8,92.1,331,2,,80.7,98.6,331,12.5,15.1,36,1,,14.6,16.1,36,1,0,0,0,13,1,14,664,389,61,,631,613,379
L100AZ,L10 0AZ,L,44.1,41.5,57.53,2,19.3,45.5,45.5,,12.1,11.7,20,1,8.3,12.5,12.5,,1,0,0,3,26,0,26,767,709,25,548,820,820,
L101AA,L10 1AA,L,39.9,136.8,593,,22.8,91.9,149.5,461.7,10,14.4,39,,5.4,11.4,15.4,37.3,0,0,0,5,38,7,45,848,789,,634,815,816,817
L101AB,L10 1AB,L,82.7,196.5,1096,,,67.3,196.5,713.5,10,16.7,49,,,10.3,16.7,42.5,0,0,0,0,8,2,10,687,685,,,676,619,391
L101LA,L10 1LA,L,107,123,593,5.5,24,106.1,134.1,526.5,10,14.9,39,1,8,14.5,16.1,37.5,0,0,2,1,28,2,30,617,525,118,78,622,627,697
L101LB,L10 1LB,L,107,104.2,205,,,104.1,104.1,,10,13.6,21,,,13.7,13.7,,0,0,0,0,7,0,7,485,203,,,415,415,
L101LD,L10 1LD,L,28.2,28.6,79.75,2.3,21.6,44.9,44.9,,6.9,7,20,0.7,5.7,10.7,10.7,,3,4,0,11,16,0,16,493,350,166,368,631,631,
L101LF,L10 1LF,L,74.2,87.3,205,,,87.3,87.3,,10,14.5,21,,,14.5,14.5,,0,0,0,0,21,0,21,559,370,,,559,559,
L101LG,L10 1LG,L,107,149.8,593,2,,108.2,155.7,504.3,15.3,16.4,39,1,,14.3,17,37,1,0,0,0,22,3,25,819,825,86,,787,750,483
L101LH,L10 1LH,L,84.3,140.7,593,,,90.4,140.7,593,19.5,18.8,39,,,16.6,18.8,39,0,0,0,0,9,1,10,776,561,,,776,699,0
L101LJ,L10 1LJ,L,89.4,115.8,331,,,96.3,115.8,331,19.5,17.3,36,,,15.5,17.3,36,0,0,0,0,11,1,12,433,153,,,303,397,1438
L101LL,L10 1LL,L,107,100.4,205,6.5,,112.9,112.9,,10,13.7,21,1,,15.5,15.5,,0,0,2,0,15,0,15,622,278,93,,610,610,
L101LN,L10 1LN,L,107,135.1,593,,22,98.8,141.9,383.4,10,15.5,39,,4.5,12.5,16.2,36.6,0,0,0,2,28,5,33,580,600,,453,479,500,619
L101LP,L10 1LP,L,107,145.9,593,10,28,98.6,151.6,396.5,12.3,17.6,39,5,11,14,18,36.8,0,0,1,1,37,8,45,590,513,368,1050,557,532,415
L101LQ,L10 1LQ,L,70.4,127.8,593,,11,78.1,131.5,409.2,10,16.4,39,,8,12.8,16.6,36.6,0,0,0,1,26,5,31,750,602,,644,770,729,514
L101LR,L10 1LR,L,52,146.2,1096,,18,83.7,151.2,522.3,10.5,15.9,49,,3,12.3,16.4,39.3,0,0,0,1,22,4,26,508,443,,1011,469,469,470
L101LS,L10 1LS,L,48,134.3,1096,,,66.6,134.3,586,10,14.7,49,,,10.9,14.7,40.3,0,0,0,0,20,3,23,790,380,,,815,756,362
L101LT,L10 1LT,L,47.8,93.3,331,2,20,78.4,106.4,331,10,12.2,36,1,5,10.8,13.6,36,0,1,0,2,16,2,18,522,321,123,1542,396,402,452
L101LU,L10 1LU,L,107,150.9,593,4,24,108.4,179,461.3,10,14.7,39,1,10,11.8,16.9,37,0,2,0,1,12,3,15,450,334,33,105,543,529,473
L101LX,L10 1LX,L,57.3,122.2,460,2.7,,106.6,147.9,395.5,17.5,16.1,36,0.7,,16.7,19.4,36,1,2,0,0,12,2,14,1133,577,9,,1382,1293,757
L101NB,L10 1NB,L,107,150,593,3.5,18.8,120.6,193.3,442.7,10,14.4,39,0.5,3.4,12.7,18.1,36.9,0,2,0,8,24,7,31,483,297,88,459,438,468,569
L101ND,L10 1ND,L,156,204.5,593,,28,126.8,224,418.3,15.5,19.5,39,,5,13,21,37,0,0,0,1,6,3,9,654,759,,183,600,634,702
L101NE,L10 1NE,L,66,100.1,460,9,19.6,126.6,182.2,460,7.8,10.2,36,1,5,12.2,16.2,36,0,0,1,5,5,1,6,525,426,165,713,303,252,0
L101NF,L10 1NF,L,107,125.6,593,4,15,126.6,214.1,505.7,10,11,39,1,2.2,12.2,18.2,38,1,2,1,6,10,3,13,694,429,427,675,496,519,593
L101NG,L10 1NG,L,39.1,42.1,62.04,,25,42.6,42.6,,9.8,9.8,15.23,,5,9.9,9.9,,0,0,0,1,32,0,32,735,545,,720,736,736,
L101NH,L10 1NH,L,38.3,34.1,44.28,2.7,25.7,38.2,38.2,,6.9,6.6,9.76,0.7,5.8,7.1,7.1,,1,2,0,10,44,0,44,572,495,137,667,580,580,
L101NJ,L10 1NJ,L,93.3,130.6,331,,,101.9,130.5,331,19.8,19.5,36,,,17.1,19.5,36,0,0,0,0,7,1,8,671,360,,,759,671,58
L102JA,L10 2JA,L,59.2,44.8,80,3.8,,72,72,,18.4,12.1,20,1,,19.5,19.5,,0,2,2,0,6,0,6,184,168,12,,176,176,
L102JE,L10 2JE,L,107,133.1,593,4.5,,104.6,149.3,462,18.5,16.3,39,0.5,,15.5,18.3,37.5,0,1,1,0,14,2,16,451,192,68,,496,471,296
L102JF,L10 2JF,L,41.8,104.8,331,6,29,88.5,114.1,331,14.3,15.9,36,1,7,15,17.2,36,0,0,1,1,17,2,19,645,468,53,25,556,709,2014
L102JG,L10 2JG,L,107,126.4,593,10,,111.2,131.3,593,10,15.2,39,1,,14.7,15.8,39,0,0,1,0,23,1,24,439,299,86,,435,417,0
L102JH,L10 2JH,L,29.3,96.8,331,,28.4,205,268,331,5.7,11.9,36,,5.4,21,28.5,36,0,0,0,5,1,1,2,484,396,,298,0,706,1412
L102JJ,L10 2JJ,L,107,99.7,331,6.5,20.3,107.5,116.1,331,10,13.5,36,2,5,14.6,15.4,36,0,0,2,3,25,1,26,351,185,22,619,269,318,1536
L102JL,L10 2JL,L,79.8,105.6,331,7.5,,103.5,118.7,331,19.5,15.2,36,1,,15.7,17.1,36,0,0,2,0,14,1,15,649,278,156,,694,671,349
L102JN,L10 2JN,L,62.5,157.8,1096,,19,102.7,164.1,778,15.6,17.4,49,,5,15.4,17.9,42.5,0,0,0,1,20,2,22,444,322,,600,454,437,269
L102JP,L10 2JP,L,45.2,148.2,593,2,28,95.5,183.4,417.7,10,18.8,50,1,6,14,22.8,46.3,0,1,0,2,8,3,11,410,382,4,377,248,416,863
L102JQ,L10 2JQ,L,107,230.6,1096,2,,104.4,238,696.3,19.5,20,49,1,,14.4,20.6,42,1,0,0,0,24,7,31,427,314,0,,411,385,297
L102JR,L10 2JR,L,37.7,105.1,593,,23,80.9,127.5,593,9.7,11.3,39,,5.7,10.2,12.8,39,0,0,0,3,10,1,11,435,144,,829,274,249,0
L102JS,L10 2JS,L,107,181,593,,28,125.1,191.9,593,10,16.6,39,,5,13.8,17.4,39,0,0,0,1,12,2,14,455,366,,219,475,407,0
L102JT,L10 2JT,L,70,96.7,460,4.5,26.7,100.6,140.6,460,7.6,9.5,36,1,5,10.1,13,36,0,1,1,3,8,1,9,444,202,60,435,557,533,344
L102JU,L10 2JU,L,35.3,84.5,331,5.7,24,97.6,114.3,331,10,11.1,36,1,5.3,12.8,14.4,36,0,1,2,3,13,1,14,181,107,80,256,173,161,12
L102JW,L10 2JW,L,107,160.2,593,,30,113.9,168.9,526.5,10,14.9,39,,7,12,15.4,37.5,0,0,0,1,13,2,15,488,400,,79,468,515,823
L102JX,L10 2JX,L,73.4,98.9,331,4,24.5,100.8,133.7,331,10,11.4,36,1,4.5,11.5,15,36,0,1,0,2,6,1,7,236,134,20,262,214,259,528
L102JY,L10 2JY,L,38.6,75.6,205,3,26,120.8,120.8,,8.7,10.6,30,1,6.3,15,15,,0,1,0,4,6,0,6,189,94,94,197,199,199,
L102JZ,L10 2JZ,L,42.6,110,593,,23.2,101.8,172,593,9,10.9,39,,5.2,11.2,15.1,39,0,0,0,5,6,1,7,144,91,,66,161,138,0
L102LA,L10 2LA,L,26.9,65.2,205,6.5,24.2,156,156,,5.2,7.9,21,2,4.7,15.5,15.5,,0,0,2,6,4,0,4,481,441,70,660,418,418,
