postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LA105AB,LA10 5AB,LA,74,65.1,80,,23,73.4,73.4,,20,16.8,20,,1,20,20,,0,0,0,1,5,0,5,166,83,,201,159,159,
LA105AD,LA10 5AD,LA,51.8,48.9,79.66,7,21,53.3,53.3,,10,10.9,20,1,1,12.1,12.1,,0,0,1,1,16,0,16,274,171,311,22,287,287,
LA105AF,LA10 5AF,LA,39.1,41.9,79.04,,24.5,53.5,53.5,,10,9.9,16.28,,6.3,12.3,12.3,,0,0,0,4,6,0,6,480,435,,437,509,509,
LA105AH,LA10 5AH,LA,30.1,39.3,78.12,,25.2,53.4,53.4,,7.1,8.5,19.75,,5,12,12,,0,0,0,5,5,0,5,310,268,,364,256,256,
LA105AJ,LA10 5AJ,LA,78.1,64,79.67,,14,67.8,67.8,,19.5,15.6,20,,1,16.7,16.7,,0,0,0,1,13,0,13,374,290,,94,396,396,
LA105AL,LA10 5AL,LA,61,54,79.67,8,,63.2,63.2,,15.1,13.6,20,1,,16,16,,0,0,1,0,5,0,5,290,128,28,,343,343,
LA105AN,LA10 5AN,LA,66.7,57.7,80,8,17,65.8,65.8,,19.2,14,20,1,1,16.5,16.5,,0,0,1,5,31,0,31,333,151,19,315,346,346,
LA105AP,LA10 5AP,LA,46.7,43.2,78.12,3,15.5,60,60,,10,9.9,20,0,2,14.4,14.4,,0,1,0,4,9,0,9,303,236,46,345,280,280,
LA105AQ,LA10 5AQ,LA,34.9,37,64.24,,23,39,39,,7.1,7.7,14.29,,1,8.6,8.6,,0,0,0,1,7,0,7,201,81,,106,215,215,
LA105AR,LA10 5AR,LA,52.3,53.5,80,,21,58.7,58.7,,10,11.6,20,,4,12.7,12.7,,0,0,0,3,19,0,19,258,181,,128,278,278,
LA105AS,LA10 5AS,LA,53.7,51.3,72.44,,24.5,54.6,54.6,,13.2,12.8,20,,3,13.9,13.9,,0,0,0,2,16,0,16,338,147,,167,360,360,
LA105AT,LA10 5AT,LA,52.5,52.9,79.67,,24,59.3,59.3,,16.9,14.7,20,,9,16,16,,0,0,0,2,9,0,9,308,95,,63,362,362,
LA105AU,LA10 5AU,LA,43.7,49,79.67,8,22.8,54.8,54.8,,10,10,20,1,3,11.6,11.6,,0,0,1,6,34,0,34,407,232,63,207,440,440,
LA105AW,LA10 5AW,LA,73.7,57.9,79.91,,20.4,65.7,65.7,,18.5,14.1,20,,3.4,16.3,16.3,,0,0,0,7,34,0,34,423,332,,180,473,473,
LA105AY,LA10 5AY,LA,60.3,56.8,79.67,9,22,62.7,62.7,,15.4,13.7,20,1,2,15.5,15.5,,0,0,2,2,28,0,28,289,87,64,271,306,306,
LA105AZ,LA10 5AZ,LA,53.3,48,71.2,,20,51.1,51.1,,9.7,9.4,18.6,,1,10.4,10.4,,0,0,0,2,18,0,18,136,54,,75,143,143,
LA105BL,LA10 5BL,LA,54.8,56,79.75,9,,62,62,,10,12.6,20,1,,14.1,14.1,,0,0,1,0,8,0,8,637,543,0,,558,558,
LA105BN,LA10 5BN,LA,72.4,58.6,79.67,,23,70.6,70.6,,17.8,13.2,20,,1,17.3,17.3,,0,0,0,3,9,0,9,152,66,,255,117,117,
LA105BZ,LA10 5BZ,LA,45,46.1,73.57,,23,57.5,57.5,,10,9.2,20,,1,13.3,13.3,,0,0,0,3,6,0,6,199,143,,255,172,172,
LA105DE,LA10 5DE,LA,56.8,55.9,79.91,,24.3,64.5,64.5,,14.8,13.7,20,,4,16.4,16.4,,0,0,0,3,11,0,11,254,133,,100,296,296,
LA105DF,LA10 5DF,LA,40,51.3,79.67,,17,59.8,59.8,,10,12.6,20,,3,15,15,,0,0,0,1,4,0,4,338,264,,264,357,357,
LA105DH,LA10 5DH,LA,79,72.3,79.67,,,72.3,72.3,,20,18.5,20,,,18.5,18.5,,0,0,0,0,8,0,8,282,208,,,282,282,
LA105DL,LA10 5DL,LA,39.8,34.9,64.41,1,20,44.6,44.6,,9.8,7.8,14.87,0,1,10.6,10.6,,1,0,0,1,5,0,5,223,67,0,3,312,312,
LA105DP,LA10 5DP,LA,29.9,31.6,52.86,,24.2,39.9,39.9,,7.1,6,8.16,,5.1,7,7,,0,0,0,9,8,0,8,237,83,,194,287,287,
LA105DQ,LA10 5DQ,LA,77.6,66.5,79.67,,29,72.8,72.8,,19.5,16.5,20,,7,18.2,18.2,,0,0,0,1,6,0,6,129,134,,152,126,126,
LA105DR,LA10 5DR,LA,22.3,27.7,50.59,,16.8,41.3,41.3,,6,5.8,9.16,,3.6,8.5,8.5,,0,0,0,5,4,0,4,89,31,,92,86,86,
LA105DS,LA10 5DS,LA,40,40.7,67.72,,16.8,46.1,46.1,,9.5,8.9,14.51,,3.4,10.2,10.2,,0,0,0,5,22,0,22,341,199,,98,396,396,
LA105DT,LA10 5DT,LA,42.4,39.9,78.12,,18.8,55.8,55.8,,10,8.3,19.53,,1.2,13.6,13.6,,0,0,0,6,8,0,8,217,140,,135,279,279,
LA105DU,LA10 5DU,LA,37.8,34.9,52.46,,22,43.3,43.3,,10,6.4,10,,1,10,10,,0,0,0,2,3,0,3,150,111,,164,141,141,
LA105DW,LA10 5DW,LA,38,37.6,61.1,,19,43.7,43.7,,7.4,6.2,10.07,,1,7.8,7.8,,0,0,0,2,6,0,6,685,517,,34,902,902,
LA105DY,LA10 5DY,LA,43.8,45,64.17,,16.5,50.7,50.7,,10,10.7,19.35,,1,12.6,12.6,,0,0,0,2,10,0,10,389,136,,138,400,400,
LA105DZ,LA10 5DZ,LA,36.9,34.7,53.81,8,21,46,46,,10,8.8,18.85,0,3.3,12.8,12.8,,0,0,1,3,6,0,6,131,77,61,4,163,163,
LA105EF,LA10 5EF,LA,1000,900.3,1000,3,,,1000,1000,1000,900.1,1000,1,,,1000,1000,0,1,0,0,0,9,9,205,214,81,,,173,173
LA105EG,LA10 5EG,LA,1000,667.2,1000,1.5,,,1000,1000,1000,666.9,1000,0.5,,,1000,1000,1,1,0,0,0,4,4,103,89,92,,,108,108
LA105EN,LA10 5EN,LA,1000,1000,1000,,,,1000,1000,1000,1000,1000,,,,1000,1000,0,0,0,0,0,6,6,373,191,,,,373,373
LA105EP,LA10 5EP,LA,1000,575.5,1000,4.5,20,,1000,1000,1000,572,1000,0.5,3,,1000,1000,1,0,1,1,0,4,4,141,48,6,111,,216,216
LA105ER,LA10 5ER,LA,47.1,332.7,1000,,,46.7,332.7,1000,6.7,305.6,1000,,,8,305.6,1000,0,0,0,0,7,3,10,126,72,,,148,114,33
LA105EY,LA10 5EY,LA,54.8,53.1,78.37,,18,55.3,55.3,,10,13.1,20,,4,13.6,13.6,,0,0,0,2,33,0,33,243,108,,201,239,239,
LA105EZ,LA10 5EZ,LA,40,42.3,67.97,,24.3,46.8,46.8,,10,9.3,16.27,,4.3,10.6,10.6,,0,0,0,4,16,0,16,132,78,,71,148,148,
LA105HB,LA10 5HB,LA,41.7,42.8,72.34,,23,52.5,52.5,,10,9.7,19.83,,1,14,14,,0,0,0,2,4,0,4,137,126,,9,201,201,
LA105HD,LA10 5HD,LA,38.1,35.9,64.3,,21.5,45.1,45.1,,7.3,7,19.1,,3.6,9.1,9.1,,0,0,0,11,17,0,17,291,122,,99,399,399,
LA105HE,LA10 5HE,LA,39.4,39.3,53.2,,18,42,42,,7,5.9,8.46,,1,6.5,6.5,,0,0,0,1,8,0,8,171,146,,15,191,191,
LA105HJ,LA10 5HJ,LA,52.5,427.6,1000,,,46,427.6,1000,20,407.9,1000,,,13.3,408,1000,0,0,0,0,3,2,5,132,64,,,191,132,45
LA105HN,LA10 5HN,LA,1000,835.7,1000,,14,,1000,1000,1000,833.5,1000,,1,,1000,1000,0,0,0,1,0,5,5,126,66,,79,,135,135
LA105HQ,LA10 5HQ,LA,1000,698.9,1000,,21.5,,1000,1000,1000,692.7,1000,,1.3,,1000,1000,0,0,0,4,0,9,9,175,61,,92,,192,192
LA105HR,LA10 5HR,LA,32.4,191.8,1000,,21.7,43,362,1000,4.3,171.1,1000,,3.3,8,338.7,1000,0,0,0,3,2,1,3,176,146,,174,191,178,152
LA105HU,LA10 5HU,LA,1000,833.8,1000,3,,,1000,1000,1000,833.4,1000,0,,,1000,1000,0,1,0,0,0,5,5,182,110,15,,,179,179
LA105HY,LA10 5HY,LA,1000,1000,1000,,,,1000,1000,1000,1000,1000,,,,1000,1000,0,0,0,0,0,5,5,418,112,,,,418,418
