postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LD15AD,LD1 5AD,LD,22,22,23.44,,22,,,,1.2,1.2,1.25,,1.2,,,,0,0,0,5,0,0,0,662,650,,662,,,
LD15AF,LD1 5AF,LD,39.9,43.7,66.06,,17.5,46.7,46.7,,9.7,10,17.69,,4.5,10.7,10.7,,0,0,0,2,18,0,18,494,374,,49,544,544,
LD15AJ,LD1 5AJ,LD,42.3,41.1,48.51,,27,43.8,43.8,,6.7,7,9.12,,6,7.2,7.2,,0,0,0,1,5,0,5,362,287,,177,399,399,
LD15AL,LD1 5AL,LD,55,65.4,160,8.7,13.8,103,103,,10,12.8,30,1,1,21,21,,0,0,3,4,10,0,10,179,128,144,129,209,209,
LD15BA,LD1 5BA,LD,59.9,51.2,80,7.5,15.2,66.1,66.1,,19,12.9,20,1,1,17.5,17.5,,0,0,2,5,18,0,18,434,225,4,30,546,546,
LD15BB,LD1 5BB,LD,23.3,38.8,80,8,20.2,69.8,69.8,,1.2,7.7,20,1,1,17.8,17.8,,0,0,1,5,4,0,4,81,33,21,36,152,152,
LD15BF,LD1 5BF,LD,60.3,52.2,76.33,7,12.7,61.6,61.6,,15.1,13.5,20,1,1,16.3,16.3,,0,1,2,3,27,0,27,625,459,133,183,683,683,
LD15BH,LD1 5BH,LD,73.7,56.1,79.76,8,21,69.7,69.7,,16.7,12.4,20,1,1.1,16.4,16.4,,0,0,2,7,25,0,25,500,134,67,121,600,600,
LD15BL,LD1 5BL,LD,56,55.1,75.76,,,55.1,55.1,,11.9,13.3,20,,,13.3,13.3,,0,0,0,0,12,0,12,527,358,,,527,527,
LD15BP,LD1 5BP,LD,35.7,41.5,76.22,,22.7,52.8,52.8,,8,8.9,20,,2.7,12.6,12.6,,0,0,0,3,5,0,5,325,115,,147,431,431,
LD15BW,LD1 5BW,LD,52.2,43.1,61.19,,14,47.8,47.8,,7.5,8.3,13.96,,0,9.7,9.7,,0,0,0,1,6,0,6,126,85,,13,145,145,
LD15BX,LD1 5BX,LD,38.9,35.1,46.98,,17.4,39.3,39.3,,7.2,6.3,8.74,,2,7.4,7.4,,0,0,0,5,21,0,21,319,208,,197,349,349,
LD15BY,LD1 5BY,LD,54.8,50.9,80,6,,62,62,,10,12.1,20,1,,15,15,,0,0,1,0,4,0,4,126,110,44,,147,147,
LD15BZ,LD1 5BZ,LD,58,54.3,78.75,,13,56.5,56.5,,14,14.4,20,,1,15.2,15.2,,0,0,0,1,19,0,19,411,282,,290,418,418,
LD15DA,LD1 5DA,LD,39.8,47.2,79.22,,23,59.3,59.3,,10,9.9,19.53,,1,14.3,14.3,,0,0,0,2,4,0,4,300,130,,441,230,230,
LD15DB,LD1 5DB,LD,47.4,47.9,79.67,,16.5,63.5,63.5,,10,10.3,20,,1,15,15,,0,0,0,2,4,0,4,398,133,,133,531,531,
LD15DE,LD1 5DE,LD,66.7,55,80,7,17.9,65.7,65.7,,16.3,13.3,20,3,1.7,16.6,16.6,,0,0,1,10,39,0,39,160,74,6,105,179,179,
LD15DG,LD1 5DG,LD,79.7,61.7,79.74,,18.3,77.9,77.9,,20,12.9,20,,1,17.3,17.3,,0,0,0,3,8,0,8,181,126,,10,245,245,
LD15DH,LD1 5DH,LD,79.7,56.2,80,,20.8,79.8,79.8,,20,12.4,20,,1,20,20,,0,0,0,4,6,0,6,146,54,,50,210,210,
LD15DL,LD1 5DL,LD,39.1,109,1000,8,21.8,70.9,187,1000,9.8,16.8,115,1,1.2,18.4,30.5,115,0,0,1,6,7,1,8,204,55,14,74,314,326,409
LD15DP,LD1 5DP,LD,39.8,45.1,80,7,21,55.5,55.5,,10,11,20,0,1,14.3,14.3,,0,0,1,1,6,0,6,730,638,0,349,793,793,
LD15DU,LD1 5DU,LD,22.1,23.7,54.78,10,21.5,55,55,,1.2,2,10,1,1.1,10,10,,0,0,1,8,1,0,1,341,340,443,357,108,108,
