postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LE100AD,LE10 0AD,LE,75.8,56.4,80,,23,78.7,78.7,,19.4,12.3,20,,1,19.7,19.7,,0,0,0,2,3,0,3,307,49,,25,495,495,
LE100AE,LE10 0AE,LE,35,32.8,39.84,,21,35.8,35.8,,6.9,5.8,7.68,,1,7,7,,0,0,0,1,4,0,4,518,278,,3,647,647,
LE100AF,LE10 0AF,LE,79.7,104.2,205,,,104.3,104.3,,19.8,18.5,26.87,,,18.5,18.5,,0,0,0,0,16,0,16,739,529,,,692,692,
LE100AH,LE10 0AH,LE,107,105.9,593,,22.7,126.1,152.1,593,10,9.4,39,,1.1,12.6,14.1,39,0,0,0,10,17,1,18,559,415,,658,403,380,0
LE100AJ,LE10 0AJ,LE,107,114.1,331,,20.5,111.5,129,331,11.5,14.2,36,,1.3,14.6,16.3,36,0,0,0,4,23,2,25,561,423,,384,561,544,350
LE100AQ,LE10 0AQ,LE,107,124.1,460,2,22.6,115.1,170.3,363.3,10,12.3,36,1,1.1,11.9,17.3,36,0,1,0,7,14,4,18,547,235,2,559,514,451,230
LE100AR,LE10 0AR,LE,107,119.4,593,8,22.2,119.9,157.9,462,10,13.1,39,1,1.2,15.3,17.7,37.5,0,0,1,6,16,2,18,447,443,15,536,409,417,479
LE100AS,LE10 0AS,LE,79.7,111.3,331,,22,92.8,118.5,331,19.5,17.3,36,,1.3,16.5,18.6,36,0,0,0,3,33,4,37,787,563,,490,733,726,666
LE100AU,LE10 0AU,LE,78,75.9,107,,,75.9,75.9,,10,10.7,19.99,,,10.7,10.7,,0,0,0,0,7,0,7,292,114,,,251,251,
LE100AX,LE10 0AX,LE,79.9,101,593,,22.7,92.7,108.3,593,10,14.2,39,,1.3,14.6,15.4,39,0,0,0,3,31,1,32,644,497,,695,639,619,0
