postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LL111AB,LL11 1AB,LL,80,124.3,1000,,,93.4,124.3,665,20,22.8,115,,,19.4,22.8,82.5,0,0,0,0,35,2,37,502,421,,,433,488,1455
LL111AH,LL11 1AH,LL,72.9,55.4,80,,22.3,77.7,77.7,,20,12.5,20,,1.3,20,20,,0,0,0,4,6,0,6,65,41,,23,82,82,
LL111BB,LL11 1BB,LL,49.6,47.6,79.91,8,19,79.7,79.7,,10.5,10.5,20,1,1,20,20,,0,0,1,2,3,0,3,121,22,17,54,161,161,
LL111BE,LL11 1BE,LL,15.3,33.1,80,8,16,80,80,,1.6,6.6,20,1,1.5,20,20,,0,0,1,4,2,0,2,64,63,0,38,84,84,
LL111BU,LL11 1BU,LL,14.1,23.6,54.83,,15.8,55,55,,0.6,2.5,9.99,,0.5,10,10,,0,0,0,4,1,0,1,99,81,,52,291,291,
LL111BX,LL11 1BX,LL,54.8,50.3,77.57,,19.6,60,60,,13.2,12.4,20,,2,15.8,15.8,,0,0,0,7,22,0,22,111,55,,53,109,109,
LL111EF,LL11 1EF,LL,50.4,66.9,460,1,18,52.3,72.7,460,12.1,12.4,36,0,1,12.3,13.5,36,1,0,0,1,19,1,20,1082,619,0,0,1012,1082,2403
LL111EH,LL11 1EH,LL,52,111.9,593,7,,64.9,123.6,593,11,14,39,1,,12.5,15.4,39,0,0,1,0,8,1,9,447,386,6,,503,447,0
LL111EL,LL11 1EL,LL,51,99.5,593,,18.3,84.1,111.1,462,11.8,14,39,,1,14.2,15.8,37.5,0,0,0,4,26,2,28,624,442,,104,700,654,50
LL111EP,LL11 1EP,LL,43.4,48.3,80,,20.2,55.7,55.7,,10,11,20,,1,13.6,13.6,,0,0,0,5,19,0,19,414,277,,275,451,451,
LL111EW,LL11 1EW,LL,40.4,46.1,78.11,,18.5,62,62,,10,10,19.98,,1.3,15,15,,0,0,0,4,7,0,7,205,29,,8,288,288,
LL111HF,LL11 1HF,LL,54.8,51.3,80,0,20.3,68.8,68.8,,10,10.4,20,0,1,15.2,15.2,,1,0,0,4,10,0,10,129,123,0,77,137,137,
LL111HR,LL11 1HR,LL,23.4,33.9,80,7.5,22.7,55.5,55.5,,1.3,5.5,20,0.5,1,11.5,11.5,,0,0,2,3,4,0,4,471,412,3,228,769,769,
LL111LG,LL11 1LG,LL,79.7,63.4,80,,23,71.4,71.4,,20,15.2,20,,1,18,18,,0,0,0,1,5,0,5,103,63,,2,123,123,
LL111LW,LL11 1LW,LL,24.4,42.3,79.67,,20.3,75.5,75.5,,1.2,8.6,19.98,,1,20,20,,0,0,0,3,2,0,2,49,19,,73,14,14,
LL111PA,LL11 1PA,LL,54.7,49.7,80,7.5,19.9,56.7,56.7,,14.9,13.2,20,0.5,2.1,15.7,15.7,,0,0,2,8,46,0,46,388,302,94,173,429,429,
LL111RY,LL11 1RY,LL,39.9,50.1,79.67,,24,69.8,69.8,,10,10.4,20,,1,17.3,17.3,,0,0,0,3,4,0,4,64,29,,5,76,76,
LL111SA,LL11 1SA,LL,23.1,20.6,39.88,2,20.3,40,40,,1.2,2.5,10,0,0.7,10,10,,0,1,0,3,1,0,1,151,59,57,25,472,472,
