postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LN105DS,LN10 5DS,LN,54.8,50.6,79.66,9,11,60,60,,10,12.5,20,1,0,15.2,15.2,,0,0,2,1,13,0,13,502,301,218,81,578,578,
LN105DT,LN10 5DT,LN,47,58.2,330,6.9,16.3,79.6,98.8,330,9.9,11.2,30,0.9,1.3,19,19.8,30,1,1,5,4,12,1,13,279,243,118,337,367,348,124
LN105DU,LN10 5DU,LN,54.8,49.6,79.67,4.7,29,61.5,61.5,,12.2,13.1,20,0.7,19,15.5,15.5,,1,0,2,1,13,0,13,586,382,307,2570,453,453,
LN105DX,LN10 5DX,LN,4.2,6.5,17.44,3,13.7,,,,0.9,1.1,3.15,0.7,2,,,,3,2,1,3,0,0,0,40,45,34,51,,,
LN105DY,LN10 5DY,LN,78.1,57.2,79.75,6.3,,65.7,65.7,,19.5,13.9,20,1.3,,16.1,16.1,,0,0,3,0,18,0,18,434,157,229,,469,469,
LN105EJ,LN10 5EJ,LN,66.4,52.8,79.75,,19.3,75,75,,14.8,11.6,20,,1.8,18.2,18.2,,0,0,0,4,6,0,6,829,300,,970,734,734,
LN105EQ,LN10 5EQ,LN,14.1,15.3,20.02,,15.3,,,,1.2,1.1,1.21,,1.2,,,,0,0,0,6,0,0,0,274,133,,274,,,
LN105ET,LN10 5ET,LN,43.4,49.6,79.66,7,,55.7,55.7,,12.4,12.8,20,1,,14.6,14.6,,0,0,1,0,7,0,7,283,99,69,,313,313,
LN105EX,LN10 5EX,LN,54.8,51.5,79.67,,23.2,55.5,55.5,,10,12.5,20,,3.8,13.7,13.7,,0,0,0,5,36,0,36,296,175,,112,322,322,
LN105EY,LN10 5EY,LN,43.1,42.9,68.73,,24,49.2,49.2,,9.8,8.6,19.86,,1.5,11,11,,0,0,0,2,6,0,6,463,244,,571,427,427,
LN105HH,LN10 5HH,LN,32,43.5,79.67,,24.7,57.5,57.5,,5.5,7.8,20,,2.7,11.8,11.8,,0,0,0,3,4,0,4,496,122,,625,399,399,
