postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LS101AP,LS10 1AP,LS,79.7,76,156.17,,19,82.3,82.3,,20,17.7,29.2,,1,19.6,19.6,,0,0,0,1,9,0,9,1164,1057,,68,898,898,
LS101BG,LS10 1BG,LS,12.7,29.6,76.33,7,11.8,59,59,,1.1,6.1,20,1,1,13.8,13.8,,0,1,1,4,4,0,4,27,19,0,7,40,40,
LS101BJ,LS10 1BJ,LS,78.1,158.9,1000,,,82.5,158.9,1000,19.5,18.8,30.02,,,18.8,17.3,0,0,0,0,0,11,1,12,1067,748,,,992,1067,1885
LS101BL,LS10 1BL,LS,79.7,56.4,79.67,4.3,,78.7,78.7,,20,14.3,20,1,,20,20,,0,3,0,0,7,0,7,62,54,11,,66,66,
LS101BW,LS10 1BW,LS,77.8,72.7,159.97,,12.5,84.8,84.8,,19.5,16.7,30.03,,1,19.8,19.8,,0,0,0,2,10,0,10,528,530,,358,562,562,
LS101BZ,LS10 1BZ,LS,63.3,57.5,159.34,8,11,71,71,,17.9,13.7,29.97,1,1,17.4,17.4,,0,0,1,3,14,0,14,784,630,400,43,914,914,
LS101DB,LS10 1DB,LS,64.7,61.2,79.67,,,61.2,61.2,,19.8,16.6,20,,,16.7,16.7,,0,0,0,0,6,0,6,558,603,,,558,558,
LS101DH,LS10 1DH,LS,72.6,69.4,159.95,7.3,12,78.1,78.1,,19.5,15.6,29.21,1,1,17.7,17.7,,0,0,3,1,28,0,28,609,497,250,171,663,663,
LS101EA,LS10 1EA,LS,69.7,72.2,500,7.6,17,71,80.8,500,19.5,15.2,20,0.8,1,16.5,16.1,0,0,1,4,1,43,1,44,623,454,86,819,659,651,322
LS101EB,LS10 1EB,LS,73,62.3,77.05,6,,73.4,73.4,,19.5,16.4,20,1,,19.4,19.4,,0,0,1,0,5,0,5,985,392,109,,1161,1161,
LS101ED,LS10 1ED,LS,75.7,90.1,500,8,11,83.2,101.1,414.5,19.5,17.4,49.95,1,1,18.4,18.7,25,0,0,4,1,35,2,37,571,366,142,1,646,633,405
LS101EL,LS10 1EL,LS,18.5,16.6,21.5,8.3,18.4,,,,1.1,1.1,1.28,1,1.1,,,,0,0,4,18,0,0,0,236,234,121,249,,,
LS101ET,LS10 1ET,LS,14.5,28.5,79.75,7.6,13.8,60,60,,1.2,5.8,20,0.9,1,14.1,14.1,,0,0,7,5,7,0,7,40,16,7,58,53,53,
LS101EU,LS10 1EU,LS,80,114.3,330,,,78.3,114.3,330,20,21.4,50,,,16.7,21.4,50,0,0,0,0,6,1,7,451,420,,,408,451,715
LS101GA,LS10 1GA,LS,4.5,67.5,550,3.9,,94.7,232.8,440,0.8,11.1,75,0.8,,21.7,38,62.5,0,11,2,0,3,2,5,326,158,141,,688,809,991
LS101GB,LS10 1GB,LS,4,41.5,330,3.8,,120,162,330,0.8,7.6,50,0.6,,25,30,50,0,14,2,0,4,1,5,177,139,110,,261,285,381
LS101GD,LS10 1GD,LS,5.8,5.9,7.57,5.8,,,,,0.8,0.8,0.78,0.8,,,,,0,1,4,0,0,0,0,230,159,230,,,,
LS101GE,LS10 1GE,LS,67.5,84.1,330,4.2,,110,132,330,15,15.9,50,0.7,,22.2,25,50,0,5,1,0,9,1,10,469,444,111,,592,684,1513
LS101GG,LS10 1GG,LS,2.9,3,4,3,,,,,0.8,0.7,0.95,0.7,,,,,0,19,0,0,0,0,0,174,85,165,,,,
LS101GH,LS10 1GH,LS,3.1,29.2,160,3.1,,120,120,,0.8,6.1,30,0.7,,25,25,,1,6,0,0,2,0,2,204,184,148,,400,400,
LS101GJ,LS10 1GJ,LS,120,172.7,1000,5.5,,105.8,198.5,450,25,31.1,165,0.8,,21.1,35.8,75.7,0,1,3,0,19,7,26,661,547,49,,667,755,992
LS101GL,LS10 1GL,LS,55,78.2,330,4,,102,140,330,10,14,50,0.6,,20,25,50,0,4,1,0,5,1,6,372,326,193,,460,521,830
LS101GN,LS10 1GN,LS,67.5,93.7,550,4.7,,75.2,104.4,440,15,18.1,75,0.7,,16.5,20.2,62.5,0,2,1,0,23,2,25,387,295,73,,388,409,652
LS101GY,LS10 1GY,LS,54.3,48.7,110.53,6.2,19,57.6,57.6,,15.6,13.1,20,1.2,1,15.8,15.8,,0,1,4,1,27,0,27,441,371,18,686,478,478,
LS101GZ,LS10 1GZ,LS,58.9,53.1,108.55,3.5,13.5,62,62,,16.1,13.7,20,1,1,16.2,16.2,,0,2,0,2,20,0,20,296,235,28,177,320,320,
LS101HF,LS10 1HF,LS,60.6,52.1,79.98,6,20,59.5,59.5,,19.3,14.3,20,1,1,16.6,16.6,,0,1,2,1,23,0,23,483,438,44,93,557,557,
LS101HG,LS10 1HG,LS,58.7,51.9,77.16,6.4,28,60.3,60.3,,19.5,15.9,20,1,17,18.4,18.4,,0,1,4,1,30,0,30,521,419,122,568,568,568,
LS101HN,LS10 1HN,LS,55.1,55.2,156.09,7.7,10,63.9,63.9,,16,13.6,29.3,1,1,16,16,,0,1,5,1,38,0,38,506,371,57,88,588,588,
LS101HP,LS10 1HP,LS,65.4,63.2,79.67,8,,66.7,66.7,,19.5,17.6,20,1,,18.6,18.6,,0,0,1,0,16,0,16,588,471,11,,624,624,
LS101HQ,LS10 1HQ,LS,57.4,51.8,75.35,8,,56.7,56.7,,19.5,16.1,20,1.5,,17.7,17.7,,0,0,2,0,18,0,18,601,593,39,,664,664,
LS101HR,LS10 1HR,LS,54.2,50.3,71.45,8,,52.7,52.7,,17,14.9,20,1,,15.6,15.6,,0,0,2,0,35,0,35,846,653,128,,863,863,
