postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
LU11AR,LU1 1AR,LU,79.7,106.9,331,,21.3,103.9,116.5,329.5,19.4,16.8,49.96,,1.3,17.1,18.5,43,0,0,0,4,34,2,36,881,757,,568,872,867,782
LU11BH,LU1 1BH,LU,23.2,21,24.38,4,23,,,,1.1,1.2,1.29,1,1.1,,,,0,1,0,9,0,0,0,536,453,445,546,,,
LU11BL,LU1 1BL,LU,50.7,55.5,80,,18.5,59.6,59.6,,13.5,13.8,20,,1.5,15.2,15.2,,0,0,0,2,18,0,18,467,376,,223,495,495,
LU11BP,LU1 1BP,LU,20.6,19.9,23.37,,20,,,,1.1,1.1,1.24,,1,,,,0,0,0,6,0,0,0,396,484,,397,,,
LU11BQ,LU1 1BQ,LU,39.8,40.3,54.77,,24,43.2,43.2,,9.6,7.6,10,,1,8.7,8.7,,0,0,0,1,6,0,6,346,247,,114,385,385,
LU11BT,LU1 1BT,LU,78.9,79.2,154.73,4,,94.2,94.2,,19.8,18.1,29.4,0,,21.6,21.6,,0,1,0,0,5,0,5,228,196,206,,233,233,
LU11BU,LU1 1BU,LU,79.8,106.3,593,8,19,95.6,113.6,461.3,12.5,15,39,1,4.5,14.8,15.9,37,0,0,1,4,58,3,61,606,461,289,517,601,597,534
LU11BW,LU1 1BW,LU,79.6,63.3,159.09,9,22.5,79.2,79.2,,20,14.9,29.98,0.5,4,19.1,19.1,,0,0,2,2,12,0,12,330,61,34,384,316,316,
LU11BX,LU1 1BX,LU,107,83.5,205,8,15,89.2,89.2,,10,9.9,21,1,1,10.6,10.6,,0,0,1,1,25,0,25,493,379,352,718,450,450,
LU11BY,LU1 1BY,LU,107,137.3,460,,,108,137.3,460,10,13.4,36,,,11.3,13.3,36,0,0,0,0,11,1,12,310,316,,,268,258,152
LU11BZ,LU1 1BZ,LU,39.5,44.2,76.5,,27,46.7,46.7,,9.4,9.6,20,,4,10.4,10.4,,0,0,0,2,14,0,14,617,438,,187,635,635,
LU11DD,LU1 1DD,LU,65.4,70.8,205,8,19,87.3,87.3,,10,12.3,21,0,1,15.6,15.6,,0,0,1,1,7,0,7,225,99,13,40,250,250,
LU11DF,LU1 1DF,LU,78.1,101.6,331,,19.5,97.4,111.6,331,10,14,36,,1.3,14.2,15.5,36,0,0,0,4,31,2,33,670,479,,288,655,676,1008
LU11DG,LU1 1DG,LU,103.2,128.8,593,7,18,102.6,134.7,417.7,18.8,17.1,39,1,1,15.8,17.9,36.5,0,0,1,2,53,6,59,802,686,113,396,763,760,726
LU11DJ,LU1 1DJ,LU,107,133,460,3,17.5,111.4,142,356.2,19.5,18.3,49.92,1,1,16.9,19.6,38.8,0,1,0,2,35,5,40,756,716,9,940,719,728,788
LU11DL,LU1 1DL,LU,107,115.1,331,,16,114.5,121.3,331,17,15.6,36,,1,15.9,16.5,36,0,0,0,2,31,1,32,818,726,,841,633,637,772
LU11DN,LU1 1DN,LU,66.6,77.1,460,6.5,13.5,77.6,93.5,460,10,12.3,36,5,1,13.9,14.8,36,0,1,1,4,23,1,24,712,700,192,744,760,751,540
LU11DP,LU1 1DP,LU,78.1,84.7,331,6,13,88.5,96.1,331,19,15,36,1,1,16.6,17.3,36,0,0,1,4,31,1,32,745,737,391,737,678,688,977
LU11DQ,LU1 1DQ,LU,78.1,113.4,331,,27,87.9,115.4,329.6,19.5,17.8,49.94,,10,15,18,41.6,0,0,0,1,39,5,44,904,745,,353,879,896,1028
LU11DU,LU1 1DU,LU,80,86.8,160,,,86.8,86.8,,20,17.9,30,,,17.9,17.9,,0,0,0,0,19,0,19,614,411,,,614,614,
LU11DW,LU1 1DW,LU,107,110.2,331,,20,106.9,123.5,331,10,15,36,,3.3,15.2,16.7,36,0,0,0,4,25,2,27,850,642,,1291,714,753,1241
LU11DY,LU1 1DY,LU,47.3,64.8,205,,19.7,91.8,91.8,,10,10.5,21,,1,16.2,16.2,,0,0,0,3,5,0,5,518,586,,206,705,705,
