postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
M111AD,M11 1AD,M,79.8,144.5,593,,,81,144.5,462,14.8,17.8,39,,,13.9,17.8,37.5,0,0,0,0,10,2,12,534,445,,,572,489,76
M111AE,M11 1AE,M,78.9,103.1,205,4,,119.5,119.5,,20,17.5,21,1,,20.3,20.3,,0,1,0,0,6,0,6,367,259,94,,412,412,
M111AG,M11 1AG,M,78.1,100.9,331,7,12,114.5,134.2,331,19.5,15.3,36,0.5,0.5,19.1,20.6,36,0,1,1,2,10,1,11,774,711,676,408,774,788,929
M111AH,M11 1AH,M,93.5,132.9,331,10,,120.3,150.4,331,19.8,18.5,36,1,,18.5,21,36,0,0,1,0,6,1,7,1200,1240,0,,1194,1200,1240
M111AJ,M11 1AJ,M,36.4,103.3,331,9,,59,127,331,6.3,12.7,36,6,,7.3,14.5,36,0,0,1,0,3,1,4,1118,1058,1058,,1354,1133,471
M111AN,M11 1AN,M,78.9,114,593,5,12.5,104.9,127.1,460.5,19.5,16.6,49.92,0.5,1,16.8,18.5,44.5,0,1,1,2,30,2,32,683,555,134,387,674,693,974
M111AP,M11 1AP,M,71.7,63.5,156.24,5,10,82.4,82.4,,10,12.3,29.18,1,1,16.1,16.1,,0,1,1,1,9,0,9,712,384,323,55,871,871,
M111AQ,M11 1AQ,M,76.5,73,205,5,14,96.1,96.1,,19.5,13.4,21,2,1,17.7,17.7,,0,1,1,2,11,0,11,953,679,228,163,1141,1141,
M111AR,M11 1AR,M,72.2,79.9,205,7,,83.4,83.4,,17.4,15.6,30.04,1,,16.3,16.3,,0,0,1,0,21,0,21,758,549,139,,787,787,
M111AS,M11 1AS,M,70.2,85.8,460,,14,75.4,92.1,460,19.5,16.1,36,,1,16.5,17.4,36,0,0,0,2,22,1,23,739,541,,816,721,700,250
