postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
ME101AF,ME10 1AF,ME,47.4,62.4,205,8,18.5,90.8,90.8,,10,10.4,21,1,1,16.2,16.2,,0,0,1,2,5,0,5,72,20,13,195,35,35,
ME101AJ,ME10 1AJ,ME,77.2,76.5,107,,24,87,87,,13.5,12.6,19.98,,1,14.8,14.8,,0,0,0,1,5,0,5,126,119,,125,76,76,
ME101AN,ME10 1AN,ME,79.7,108.6,331,,,90.1,108.6,331,19.5,20,36,,,18.7,20,36,0,0,0,0,12,1,13,645,582,,,611,645,1062
ME101AP,ME10 1AP,ME,73.7,59.4,107,2,,73.8,73.8,,10,12,20,0,,15,15,,0,1,0,0,4,0,4,314,230,0,,315,315,
ME101AR,ME10 1AR,ME,79.7,113.7,331,,,77.5,113.7,331,20,21.6,36,,,19.2,21.6,36,0,0,0,0,6,1,7,217,140,,,150,186,402
ME101AU,ME10 1AU,ME,107,115.5,593,,18.5,106.7,121.4,593,10,14.8,39,,1,14.9,15.6,39,0,0,0,2,32,1,33,434,331,,240,405,393,0
ME101AX,ME10 1AX,ME,78.1,116.8,593,1,19.5,94.5,140.8,418.3,16.2,15.6,39,1,1.3,16.1,19,37,1,0,0,4,18,3,21,635,412,4,142,707,728,857
ME101AY,ME10 1AY,ME,40,77.6,205,,16,94.4,94.4,,10,11.1,30.02,,1,13.8,13.8,,0,0,0,3,11,0,11,273,124,,706,155,155,
ME101BA,ME10 1BA,ME,92.6,109.4,329.91,,16.3,113.6,128,330,17.5,16.1,50,,1,16.9,19.1,50,0,0,0,3,14,1,15,649,476,,191,730,740,890
ME101BB,ME10 1BB,ME,107,158.7,593,,20,107.7,166,424.3,18.9,18.1,39,,1,14.9,19,36.9,0,0,0,2,31,7,38,592,455,,1029,541,522,442
ME101BD,ME10 1BD,ME,115.1,219.1,593,8,,110.8,242.4,505.7,17.2,19.9,39,0,,14,22,38,0,0,1,0,6,3,9,273,168,61,,342,266,114
ME101BE,ME10 1BE,ME,79.7,102.9,159.01,,,102.8,102.8,,20,21,30,,,21,21,,0,0,0,0,5,0,5,200,197,,,200,200,
ME101BJ,ME10 1BJ,ME,107,113,331,,19,108.2,116.4,331,19.4,16.3,36,,1,16.2,16.9,36,0,0,0,1,26,1,27,1017,548,,14,1017,979,0
ME101BL,ME10 1BL,ME,66.3,116.4,593,,17,73.6,118.7,461.6,13.1,15.7,39,,1,13.2,16,37.2,0,0,0,1,38,5,43,1083,893,,718,1081,1016,519
ME101BN,ME10 1BN,ME,39.8,87.1,593,6.5,19,75.4,102.1,462,9.8,10.9,39,1,3.3,10.9,12.7,37.5,0,1,1,4,27,2,29,1126,726,23,1026,1212,1177,693
ME101BP,ME10 1BP,ME,69.8,97.9,205,,16,104.8,104.8,,13.7,13.9,21,,1,14.9,14.9,,0,0,0,1,12,0,12,651,696,,441,669,669,
ME101BQ,ME10 1BQ,ME,107,171.9,593,,,101.7,171.9,593,19.5,17.3,39,,,13.7,17.3,39,0,0,0,0,6,1,7,219,181,,,219,187,0
ME101BS,ME10 1BS,ME,107,123.8,460,,,101,123.8,374,14.8,16.5,36,,,14.8,16.5,36,0,0,0,0,33,3,36,467,281,,,392,441,981
ME101BU,ME10 1BU,ME,71.7,96.2,331,7,11,94.1,101.8,331,14.9,15,36,1,10,14.9,15.6,36,0,0,1,1,30,1,31,611,596,263,114,571,579,795
