postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
MK100BA,MK10 0BA,MK,38.8,32.8,67.11,3.3,19,51.3,51.3,,7.3,8.2,19.95,1.3,3,12.6,12.6,,1,5,1,1,12,0,12,91,35,4,53,122,122,
MK100BD,MK10 0BD,MK,64.9,51.7,79.74,4,30,74.7,74.7,,20,14.2,20,1,10,20,20,,0,1,0,1,3,0,3,232,114,87,0,280,280,
MK107AA,MK10 7AA,MK,70.1,115.4,1000,6,,76.8,118.8,750,19.5,16.7,29.31,1,,16.6,15.6,0,0,0,1,0,30,2,32,908,639,192,,896,930,1440
MK107AB,MK10 7AB,MK,65,209.9,1000,,,69.9,209.9,875,12.5,29.3,220,,,13.2,25.5,83.8,0,0,0,0,19,4,23,745,504,,,621,712,1147
MK107AD,MK10 7AD,MK,65.8,110.1,330,,,76.2,110.1,330,13.4,20.4,50,,,15.9,20.5,50,0,0,0,0,13,2,15,372,309,,,358,372,462
MK107AE,MK10 7AE,MK,69.7,70.1,160,2,,73.2,73.2,,19.5,16.8,30,0,,17.6,17.6,,0,1,0,0,22,0,22,576,395,2,,603,603,
MK107AF,MK10 7AF,MK,79.5,259.7,1000,,,87.3,259.7,776.7,19.7,32.2,115,,,13.9,24.2,55,0,0,0,0,9,3,12,989,756,,,993,907,648
MK107AG,MK10 7AG,MK,75.2,135.7,500,,11,80.8,145.3,500,19.5,16.4,20,,8,15.7,13.3,0,0,0,0,1,11,2,13,918,1074,,129,889,978,1468
MK107AH,MK10 7AH,MK,80,163.3,550,,,107.7,163.3,525,20,26.8,75,,,23.1,25,37.5,0,0,0,0,13,2,15,640,689,,,628,640,715
MK107AJ,MK10 7AJ,MK,79.7,153.4,1000,4,,102.8,162.8,582.5,19.8,20.8,50,1,,19,18.2,12.5,1,0,1,0,28,4,32,855,701,59,,790,878,1492
