postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
ML106AB,ML10 6AB,ML,40,49.2,79.99,5,20.9,67.3,67.3,,10,10.6,20,1,1,16.5,16.5,,0,1,0,10,18,0,18,414,174,208,111,570,570,
ML106AD,ML10 6AD,ML,76.1,62.4,79.98,,19,70.6,70.6,,19,13.9,20,,1,16.3,16.3,,0,0,0,3,16,0,16,485,509,,158,516,516,
ML106AE,ML10 6AE,ML,58.2,59.2,80,,23,65.3,65.3,,14.2,12.8,20,,1,14.7,14.7,,0,0,0,1,6,0,6,556,141,,14,647,647,
ML106AF,ML10 6AF,ML,21.9,32.4,79.76,8,19.3,75.3,75.3,,1.2,5,20,1,1.1,16.7,16.7,,0,0,1,8,3,0,3,42,38,49,29,61,61,
ML106AJ,ML10 6AJ,ML,23.4,45.9,80,,23.3,80,80,,2.5,9,20,,1.7,20,20,,0,0,0,3,2,0,2,206,209,,139,204,204,
ML106AL,ML10 6AL,ML,76.8,72,79.98,,,72,72,,20,18.6,20,,,18.6,18.6,,0,0,0,0,8,0,8,318,69,,,318,318,
ML106AN,ML10 6AN,ML,69,58.3,79.98,8,23,67.8,67.8,,18.9,14.5,20,1,1,17.4,17.4,,0,0,1,1,9,0,9,223,50,23,18,267,267,
ML106AQ,ML10 6AQ,ML,73.2,48.3,79.98,4.5,,77.7,77.7,,17,11.6,20,0.5,,19,19,,1,0,1,0,3,0,3,303,340,13,,497,497,
ML106AR,ML10 6AR,ML,55.5,55.7,70.02,,,55.7,55.7,,19.5,17.1,20,,,17.1,17.1,,0,0,0,0,19,0,19,464,397,,,464,464,
ML106AS,ML10 6AS,ML,78.1,62.1,80,,23.5,68,68,,19.2,14.7,20,,1,16.7,16.7,,0,0,0,2,13,0,13,445,105,,2,479,479,
ML106AU,ML10 6AU,ML,75.1,59.8,79.98,,19,71.6,71.6,,19.5,13.4,20,,1,17,17,,0,0,0,2,7,0,7,294,69,,69,359,359,
ML106AW,ML10 6AW,ML,32.2,45.9,80,,22.1,69.8,69.8,,5.6,9.3,20,,1.1,17.4,17.4,,0,0,0,12,12,0,12,180,92,,69,276,276,
ML106AY,ML10 6AY,ML,73,63.5,77.14,,,63.6,63.6,,20,17,20,,,17,17,,0,0,0,0,5,0,5,606,461,,,606,606,
ML106AZ,ML10 6AZ,ML,28.6,25.2,39.83,5,22.1,33.8,33.8,,5.5,5,10,1,4.1,7,7,,0,1,1,12,9,0,9,539,291,21,405,833,833,
ML106BA,ML10 6BA,ML,54,50.9,79.74,,24.4,57.9,57.9,,10,12,20,,2.6,14.6,14.6,,0,0,0,5,19,0,19,576,503,,268,657,657,
ML106BB,ML10 6BB,ML,54.2,51.5,79.66,,21.8,59.6,59.6,,14.8,12.3,20,,1,15.4,15.4,,0,0,0,6,22,0,22,351,282,,102,419,419,
ML106BD,ML10 6BD,ML,56,51,76.02,,21,66,66,,13.8,11.6,20,,1,17,17,,0,0,0,2,4,0,4,205,123,,300,158,158,
ML106BE,ML10 6BE,ML,68.3,66.1,79.76,,,66.1,66.1,,18.9,16.7,20,,,16.6,16.6,,0,0,0,0,8,0,8,186,74,,,186,186,
ML106BF,ML10 6BF,ML,39.9,42.3,78.12,,22.8,45.8,45.8,,10,11.9,20,,7.1,12.7,12.7,,0,0,0,8,46,0,46,613,458,,628,610,610,
ML106BG,ML10 6BG,ML,47.5,46.5,78.11,8,23,57.4,57.4,,13.9,12.4,20,1,2.7,16.4,16.4,,0,0,1,3,10,0,10,539,158,36,103,720,720,
ML106BH,ML10 6BH,ML,40.2,42.7,78.08,,19.4,49.6,49.6,,12.2,11.4,19.89,,2.9,13.9,13.9,,0,0,0,8,27,0,27,553,267,,384,603,603,
ML106BJ,ML10 6BJ,ML,33.6,31.9,58.51,6.5,21.6,41.2,41.2,,5,5.3,18.37,0.5,2.4,7.6,7.6,,0,1,1,12,19,0,19,856,430,118,676,1002,1002,
ML106BL,ML10 6BL,ML,32.1,32.3,39.88,,26.7,35.2,35.2,,5.5,5.5,7.88,,5.3,5.7,5.7,,0,0,0,3,6,0,6,529,437,,730,429,429,
