postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NG101AB,NG10 1AB,NG,68.9,123.4,593,8,13.5,98.2,145.6,374.7,18.9,16.4,39,1,1,16,19.5,36.5,0,0,1,6,29,6,35,805,289,17,140,606,896,2299
NG101AD,NG10 1AD,NG,67.7,94.2,593,9,,81.6,96.7,593,18.5,15.7,39,1,,15.5,16.2,39,0,0,1,0,33,1,34,613,512,153,,609,591,0
NG101AE,NG10 1AE,NG,68,87.4,593,8.3,12.5,83.9,98.5,593,10,12.5,39,1,1,13.4,14.2,39,0,0,3,2,34,1,35,266,187,105,24,286,278,0
NG101AF,NG10 1AF,NG,107,114.5,331,7.7,11,130.9,140.9,331,10,12.6,36,1,1,14.5,15.6,36,0,1,2,2,19,1,20,430,147,68,79,517,498,142
NG101AG,NG10 1AG,NG,68,93.6,593,7,15.8,80.6,114.9,526.5,10,13,39,1,2.2,14.1,15.9,37.5,0,0,1,6,24,2,26,334,120,149,134,363,374,509
NG101AH,NG10 1AH,NG,107,123.5,205,,,123.6,123.6,,19.4,15.1,21,,,15.1,15.1,,0,0,0,0,7,0,7,292,214,,,292,292,
NG101AJ,NG10 1AJ,NG,107,84.4,205,9,10,101,101,,10,10.5,21,1,1,12.7,12.7,,0,0,1,1,9,0,9,284,149,27,554,282,282,
NG101AL,NG10 1AL,NG,47,77.6,331,6.5,20,81.3,95.2,331,10,10.4,36,2,4.3,10.9,12.3,36,0,1,1,3,17,1,18,327,165,77,68,353,379,826
NG101AN,NG10 1AN,NG,107,71.8,107,9,25,87.6,87.6,,10,7.3,10,1,4,8.7,8.7,,0,0,1,1,7,0,7,293,292,62,366,316,316,
NG101AP,NG10 1AP,NG,64.5,89.6,331,6,14.5,92.1,99.6,331,10,12.9,36,0.5,3,13.6,14.3,36,0,1,1,2,31,1,32,285,132,55,119,276,309,1344
NG101AQ,NG10 1AQ,NG,107,104.5,331,6.5,25.5,94.6,114.3,331,10,14.4,36,1,9.5,13.6,15.4,36,0,1,1,2,33,3,36,353,201,10,100,309,367,1007
NG101AR,NG10 1AR,NG,75.5,139.6,460,5,18,85.2,160.7,356.8,12.9,17.6,36,1,7,13.4,19.7,36,0,1,0,2,13,5,18,243,95,95,46,153,246,490
NG101AU,NG10 1AU,NG,33.7,32.2,36.54,,28,35,35,,5.8,5.8,7.21,,6,6,6,,0,0,0,2,3,0,3,117,38,,81,141,141,
NG101AW,NG10 1AW,NG,38.5,56.6,205,10,16.1,80.2,80.2,,5.7,6.1,21,1,1.6,8.8,8.8,,0,0,1,7,14,0,14,298,166,3,257,318,318,
NG101AY,NG10 1AY,NG,79.7,75.9,205,,,75.9,75.9,,20,14.7,21,,,14.7,14.7,,0,0,0,0,13,0,13,232,115,,,214,214,
NG101AZ,NG10 1AZ,NG,107,121.4,331,,23,111.3,129.6,331,10,15.3,36,,1,14.7,16.5,36,0,0,0,1,11,1,12,418,406,,885,352,344,258
NG101BA,NG10 1BA,NG,93.5,117.1,331,,21,99.1,123.9,331,14.8,15.7,36,,1,14.4,16.8,36,0,0,0,2,25,3,28,562,384,,220,536,566,813
NG101BB,NG10 1BB,NG,93.4,123.9,460,,18.8,105.9,136.2,363.3,12.3,15,36,,1.3,14,16.6,36,0,0,0,4,30,4,34,876,586,,581,865,885,1034
NG101BD,NG10 1BD,NG,43.2,39.4,73.92,2,17.8,58.5,58.5,,8.5,8.9,20,1,2,14.6,14.6,,0,1,0,8,11,0,11,79,18,13,88,72,72,
NG101BF,NG10 1BF,NG,72.7,85.5,331,,19,69.2,91,331,10,13.9,36,,1,13,14.9,36,0,0,0,1,11,1,12,574,416,,98,374,566,2678
NG101BG,NG10 1BG,NG,107,83.7,107,,19,93,93,,10,9.7,16.6,,1,11,11,,0,0,0,1,7,0,7,676,511,,40,573,573,
NG101BH,NG10 1BH,NG,63.9,104.9,331,,18,96.2,129.7,331,10,14,36,,1,14.5,17.6,36,0,0,0,2,6,1,7,393,248,,381,324,397,833
NG101BJ,NG10 1BJ,NG,66.8,69.6,205,,20.2,87.2,87.2,,17,13,21,,1.2,17.2,17.2,,0,0,0,5,14,0,14,345,220,,217,366,366,
NG101BL,NG10 1BL,NG,53.5,93.7,331,,15.7,79.5,106,331,10,11.3,36,,2.7,9.9,12.7,36,0,0,0,3,17,2,19,489,394,,593,427,473,860
NG101BN,NG10 1BN,NG,69.2,104.2,460,,14,96.2,112,460,11.7,14.2,36,,3.5,14.2,15.1,36,0,0,0,2,22,1,23,603,529,,463,525,563,1397
NG101BP,NG10 1BP,NG,107,134.4,593,7,21,84.2,178.6,462,10,12.2,39,1,3,8.8,16,37.5,0,0,1,2,6,2,8,385,282,6,413,481,377,66
NG101BQ,NG10 1BQ,NG,38.6,84.4,331,,16,70.8,99.7,331,6.2,9.2,36,,1,7.9,11,36,0,0,0,2,8,1,9,492,218,,124,584,519,0
NG101BS,NG10 1BS,NG,107,116,460,,19.6,113.3,132.1,395.5,10,12.8,36,,2.4,12.9,14.5,36,0,0,0,5,28,2,30,453,289,,264,439,469,895
NG101BT,NG10 1BT,NG,39,88.6,331,7,13.7,96.6,122.7,331,5.9,9.9,36,1,2.3,10.6,13.4,36,0,0,1,3,8,1,9,586,326,68,130,822,731,0
