postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NN100AA,NN10 0AA,NN,78.1,77.2,107,,,77.2,77.2,,14.1,14.4,20,,,14.4,14.4,,0,0,0,0,12,0,12,288,148,,,288,288,
NN100AD,NN10 0AD,NN,92.6,85.6,205,,22.5,93.5,93.5,,10,11.7,21,,1,13.1,13.1,,0,0,0,2,16,0,16,338,222,,1,317,317,
NN100AH,NN10 0AH,NN,79.9,106.4,331,,26,99.6,110.1,331,19.5,15.8,36,,8,15.2,16.2,36,0,0,0,1,21,1,22,518,471,,0,493,471,0
NN100AL,NN10 0AL,NN,64.3,62.5,79.67,,,62.4,62.4,,14.6,14,20,,,14,14,,0,0,0,0,7,0,7,1298,451,,,1298,1298,
NN100AN,NN10 0AN,NN,205,169.1,331,,,142.2,169.1,331,21,22.6,36,,,20.5,22.7,36,0,0,0,0,6,1,7,371,95,,,350,318,125
NN100AP,NN10 0AP,NN,78.1,64.8,80,,21,70.7,70.7,,19.5,15.7,20,,1,17.7,17.7,,0,0,0,3,22,0,22,766,491,,137,851,851,
NN100AS,NN10 0AS,NN,78.1,108.5,460,8,22,96,119,395.5,19.5,16.9,36,0,1,17.4,18.8,36,0,0,1,2,24,2,26,459,162,1,30,407,492,1514
NN100AT,NN10 0AT,NN,77.2,61.2,79.91,,23.7,68.7,68.7,,17.7,13.7,20,,1.3,16.2,16.2,,0,0,0,3,15,0,15,371,181,,160,413,413,
NN100AY,NN10 0AY,NN,78.1,106.1,593,,21.2,101.6,117,462,11.3,14,39,,1.2,14.7,15.7,37.5,0,0,0,6,45,2,47,470,350,,205,458,444,132
NN100AZ,NN10 0AZ,NN,78.1,118.4,593,10,16.6,97.3,131.8,494.3,10,14.6,39,1,1.2,14.4,16.4,37.5,0,0,1,5,42,4,46,650,425,11,297,674,660,511
