postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NP100AA,NP10 0AA,NP,107,140,593,6,29,121.5,153.6,593,10,15.8,39,1,4.3,15.7,17.3,39,0,0,2,3,41,3,44,337,164,90,273,353,329,0
NP100AB,NP10 0AB,NP,107,139.8,593,0,,111.8,146.8,462,19.5,18.1,39,0,,16.9,18.9,37.5,1,0,0,0,18,2,20,432,206,0,,396,432,764
NP100AD,NP10 0AD,NP,107,159.3,593,,23,98.4,169.1,593,10,15,39,,7,11.7,15.6,39,0,0,0,1,12,2,14,471,469,,17,509,436,0
NP100AE,NP10 0AE,NP,205,240.5,593,4,,102.7,308,462,21,22.3,39,0.5,,16.3,28.4,37.5,0,2,0,0,3,4,7,611,222,28,,850,690,570
NP100AF,NP10 0AF,NP,42.7,88.3,205,,26,93.1,93.1,,9.8,10.5,21,,4,11,11,,0,0,0,1,13,0,13,472,148,,21,507,507,
NP100AG,NP10 0AG,NP,107,150.3,593,5.5,,124.8,191.7,593,17.2,15.4,39,0.5,,16.3,19.6,39,0,1,1,0,6,1,7,204,25,12,,234,200,0
NP100AJ,NP10 0AJ,NP,77.7,80.5,205,5,,92.2,92.2,,10,12.4,21,1,,14.2,14.2,,0,1,1,0,13,0,13,309,122,34,,351,351,
NP100AL,NP10 0AL,NP,50.5,93,460,3,22.7,73.3,108,374,10,11.5,36,1,6,10,13,36,1,1,0,3,23,3,26,267,161,100,184,235,279,617
NP100AN,NP10 0AN,NP,78.1,56.9,107,6,,77.2,77.2,,18.7,12.9,20,1,,17.6,17.6,,0,0,2,0,5,0,5,254,50,0,,203,203,
NP100AP,NP10 0AP,NP,156,268.7,593,,,96.2,268.7,527.5,17.8,22.9,39,,,12.7,22.9,38.3,0,0,0,0,6,4,10,363,222,,,359,290,186
